ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
4239963,James,Jones IV,Air Force,74,195,4,4,DB,Denver,CO,USA,39.7392364,-104.9848623,08031,45904
4239963,James,Jones IV,Air Force,74,195,4,4,DB,Denver,CO,USA,39.7392364,-104.9848623,08031,46103
4401043,Brandon,Lewis,Air Force,69,175,13,3,WR,San Diego,CA,USA,32.7174209,-117.1627714,06073,42789
4405877,TD,Blackmon,Air Force,73,225,27,3,LB,Maryville,TN,USA,35.7564719,-83.9704593,47009,39851
4571641,Warren,Bryan,Air Force,73,205,6,3,QB,Upland,CA,USA,34.09751,-117.6483876,06071,45775
4571648,David,Eure,Air Force,71,185,7,3,DB,Gardena,CA,USA,33.8963593,-118.3053037,06037,44444
4571653,Brandon,Gooding,Air Force,77,240,45,3,LB,Ventura,CA,USA,34.3435092,-119.29560423163717,06111,40380
4571657,Noah,Bush,Air Force,72,215,51,3,LB,Athens,TX,USA,32.2044416,-95.854914,48213,40815
4571663,Kris,Campbell,Air Force,73,315,67,3,OL,Sterling Heights,MI,USA,42.5803122,-83.0302033,26099,41998
4591189,No data,No data,Air Force,75,235,40,1,LB,No data,No data,No data,No data,No data,No data,63696
