ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
4038741,Kato,Nelson,Akron,73,212,1,4,QB,Hollywood,FL,USA,26.0112014,-80.1494901,12011,36423
4045294,Cole,Gest,Akron,69,195,20,4,RB,Lyndhurst,OH,USA,41.520052,-81.488732,39035,36491
4240137,Reggie,Corner Jr.,Akron,69,205,20,2,LB,Canton,OH,USA,40.7989522,-81.3784445,39151,41325
4240414,Zach,Morton,Akron,76,248,99,3,DL,Detroit,MI,USA,42.3315509,-83.0466403,26163,39349
4258185,Jaylen,Kelly-Powell,Akron,72,180,8,4,S,Detroit,MI,USA,42.3315509,-83.0466403,26163,38888
4260320,Andre,Williams,Akron,70,185,17,3,WR,Orlando,FL,USA,28.5421109,-81.3790304,12095,39990
4266602,Chukwudifu,Ogbonna,Akron,74,180,13,3,CB,Marietta,GA,USA,33.9528472,-84.5496148,13067,65739
4361117,Eric,Bentley,Akron,74,284,99,2,DL,Akron,OH,USA,41.083064,-81.518485,39153,42639
4361121,Bryce,Petersen,Akron,74,295,53,4,OL,Mckinleyville,CA,USA,40.9465152,-124.1006205,06023,40231
4363075,Nazir,Sy,Akron,74,308,11,2,DL,Norcross,GA,USA,33.9412127,-84.2135309,13135,65793
4366038,Teon,Dollard,Akron,71,205,7,3,RB,No data,No data,No data,No data,No data,No data,65732
4373397,Gavin,Blunt,Akron,74,180,30,2,WR,Aurora,OH,USA,41.317555,-81.345386,39133,46483
4373400,Vincent,Fonte,Akron,76,290,62,2,OL,Copley,OH,USA,41.0989439,-81.6445685,39153,45803
4373402,Logan,Hawkins,Akron,74,294,98,2,DL,Harrison City,PA,USA,40.3542355,-79.6483764,42129,46233
4373403,Jalen,Hooks,Akron,74,195,29,3,CB,Warren,OH,USA,41.237557,-80.818417,39155,45099
4382471,Jeslord,Boateng,Akron,74,230,9,2,LB,Dublin,OH,USA,40.0992294,-83.1140771,39049,43716
4383093,Timothy,Scippio,Akron,74,213,88,3,WR,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,45388
4426452,Curtis,Fann Jr.,Akron,75,265,98,1,DE,Stillmore,GA,USA,32.442115,-82.2151233,13107,47125
4427026,Adetutu,Daranijo,Akron,70,192,22,2,S,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,48843
4427328,Xavior,Gray,Akron,81,315,77,1,OL,Massillon,OH,USA,40.7967244,-81.5215093,39151,50800
4427777,Quevan,Lawson,Akron,77,242,10,1,DL,Ashburn,GA,USA,31.7059751,-83.6535591,13287,48250
4428386,Kyle,Romenick,Akron,74,200,42,1,P,Fort Mill,SC,USA,35.0073697,-80.9450759,45091,49967
4430089,Michael,Mathison,Akron,70,175,3,2,WR,Covington,GA,USA,33.5967815,-83.8601827,13217,50304
4430392,Julian,Richardson,Akron,75,220,7,2,LB,Albany,GA,USA,31.5782062,-84.1556809,13095,50479
4432276,MyJaden,Horton,Akron,74,190,19,1,S,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,63815
