ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
534454,Ryan,Anderson,Alabama,74,No data,22,No data,LB,Daphne,AL,USA,30.6035255,-87.9036047,01003,22112
535741,Dakota,Ball,Alabama,75,No data,44,No data,DL,Lindale,GA,USA,34.194346,-85.17765061746866,13115,22465
535746,Brandon,Greene,Alabama,77,No data,89,No data,TE,Ellenwood,GA,USA,33.6101096,-84.287978,13063,22161
535747,Adam,Griffith,Alabama,70,No data,99,No data,PK,Calhoun,GA,USA,34.502587,-84.9510542,13129,22686
535761,Dalvin,Tomlinson,Alabama,75,No data,54,No data,DL,McDonaugh,GA,USA,No data,No data,No data,22252
536143,Gehrig,Dieter,Alabama,75,No data,11,No data,WR,South Bend,IN,USA,41.6833813,-86.2500066,18141,22909
545975,Andy,Pappanastos,Alabama,71,190,12,No data,PK,Montgomery,AL,USA,32.3669656,-86.3006485,01101,24951
546359,Cooper,Bateman,Alabama,75,217,18,No data,QB,Murray,UT,USA,40.6667841,-111.888417,49035,25036
546370,O.J.,Howard,Alabama,78,No data,88,No data,TE,Prattville,AL,USA,32.4640245,-86.4596966,01001,24975
551288,Jonathan,Allen,Alabama,75,No data,93,No data,DL,Leesburg,VA,USA,39.1154496,-77.5645446,51107,24972
551289,Anthony,Averett,Alabama,72,185,28,No data,DB,Woodbury,NJ,USA,39.8381691,-75.1526774,34015,25230
551292,Reuben,Foster,Alabama,73,No data,10,No data,LB,Auburn,AL,USA,32.6550905,-85.50364346309962,01081,24963
551293,Robert,Foster,Alabama,74,194,1,No data,WR,Monaca,PA,USA,40.6872885,-80.2714505,42007,24979
551295,Eddie,Jackson,Alabama,72,No data,4,No data,DB,Lauderdale Lakes,FL,USA,26.1667184,-80.2085565,12011,25304
551307,ArDarius,Stewart,Alabama,73,No data,13,No data,WR,Fultondale,AL,USA,33.631438,-86.78332454213484,01073,25042
551309,Tim,Williams,Alabama,76,No data,56,No data,LB,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,25038
559696,Tony,Brown,Alabama,72,198,2,No data,DB,Beaumont,TX,USA,30.0860459,-94.1018461,48245,28217
559698,Shaun Dion,Hamilton,Alabama,72,235,20,No data,LB,Montgomery,AL,USA,32.3669656,-86.3006485,01101,28411
559699,Hootie,Jones,Alabama,74,215,6,No data,DB,Monroe,LA,USA,32.5093109,-92.1193012,22073,28258
559702,Cam,Sims,Alabama,77,214,17,No data,WR,Monroe,LA,USA,32.5093109,-92.1193012,22073,28292
3126345,Ronnie,Clark,Alabama,74,230,5,4,RB,Calera,AL,USA,33.1117845,-86.71671470297731,01117,28278
3126348,Johnny,Dwight,Alabama,75,301,95,4,DL,Rochelle,GA,USA,31.9510105,-83.4562744,13315,28521
3126349,Rashaan,Evans,Alabama,75,234,32,No data,LB,Auburn,AL,USA,32.6550905,-85.50364346309962,01081,28223
3126350,Joshua,Frazier,Alabama,76,315,69,No data,DL,Springdale,AR,USA,36.1867442,-94.1288142,05143,66729
3126352,Da'Shawn,Hand,Alabama,76,288,9,No data,DL,Woodbridge,VA,USA,38.6581723,-77.2497049,51153,28213
3126355,Keith,Holcombe,Alabama,76,236,42,No data,LB,Tuscaloosa,AL,USA,33.2095614,-87.5675258,01125,28491
3126356,Marlon,Humphrey,Alabama,73,No data,26,No data,DB,Hoover,AL,USA,33.3848933,-86.8070484,01073,28220
3126358,Derek,Kief,Alabama,76,204,81,4,WR,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,28430
3126362,Christian,Miller,Alabama,76,244,47,4,LB,Columbia,SC,USA,34.0007493,-81.0343313,45079,28247
3126364,Ross,Pierschbacher,Alabama,76,309,71,4,OL,Cedar Falls,IA,USA,42.5274123,-92.4453179,19013,28282
3126367,Bo,Scarbrough,Alabama,74,235,9,No data,RB,Northport,AL,USA,33.2449315,-87.6728397782913,01125,28224
3126368,JK,Scott,Alabama,78,204,10,No data,P,Denver,CO,USA,39.7392364,-104.9848623,08031,29342
3126369,O.J.,Smith,Alabama,74,320,99,4,DL,Bossier City,LA,USA,32.5369356,-93.6952689,22015,28607
3858944,Blake,Barnett,Alabama,77,225,11,4,QB,Corona,CA,USA,33.8752945,-117.5664449,06065,31880
3858944,Blake,Barnett,Alabama,77,225,11,4,QB,Corona,CA,USA,33.8752945,-117.5664449,06065,55604
3859006,Ronnie,Harrison,Alabama,75,214,15,No data,DB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,32055
3859100,Deionte,Thompson,Alabama,74,196,14,3,DB,Orange,TX,USA,30.0929879,-93.7365549,48361,31903
3925339,Keaton,Anderson,Alabama,73,196,31,3,DB,Florence,AL,USA,34.79981,-87.677251,01077,32448
3925341,Mekhi,Brown,Alabama,77,241,48,No data,LB,Columbus,GA,USA,32.4609764,-84.9877094,13215,31973
3925345,Minkah,Fitzpatrick,Alabama,73,202,29,No data,DB,Old Bridge,NJ,USA,40.414071,-74.3042101,34023,31889
3925347,Damien,Harris,Alabama,71,215,34,4,RB,Berea,KY,USA,37.568694,-84.2963224,21151,31890
3925348,Hale,Hentges,Alabama,77,254,84,4,TE,Jefferson City,MO,USA,38.577359,-92.1724265,29051,32004
3925350,Anfernee,Jennings,Alabama,75,259,33,4,LB,Dadeville,AL,USA,32.831238,-85.7635692,01123,32030
3925352,Xavian,Marks,Alabama,68,174,19,4,WR,Rosenberg,TX,USA,29.5571825,-95.8085623,48157,33618
3925353,Joshua,McMillon,Alabama,75,240,40,4,LB,Memphis,TN,USA,35.1490215,-90.0516285,47157,32102
3925354,Da'Ron,Payne,Alabama,74,308,94,No data,DL,Birmingham,AL,USA,33.5206824,-86.8024326,01073,31888
3925357,Calvin,Ridley,Alabama,73,190,3,No data,WR,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,31870
3925361,Matt,Womack,Alabama,79,325,77,4,OL,Hernando,MS,USA,34.823987,-89.9937018,28033,32479
4040714,Miller,Forristall,Alabama,77,244,87,4,TE,Cartersville,GA,USA,34.1650972,-84.7999383,13015,35553
4040715,Jalen,Hurts,Alabama,74,219,1,4,QB,Channelview,TX,USA,29.7760599,-95.1146533,48201,35360
4040716,Shawn,Jennings,Alabama,73,235,24,4,LB,Dadeville,AL,USA,32.831238,-85.7635692,01123,35775
4040723,T.J.,Simmons,Alabama,74,198,1,4,WR,Pinson,AL,USA,33.706205,-86.67007895992774,01073,35521
4040963,Shyheim,Carter,Alabama,72,191,5,4,DB,Kentwood,LA,USA,30.9382358,-90.5089843,26081,35254
4040965,Raekwon,Davis,Alabama,79,312,99,4,DL,Meridian,MS,USA,32.3643098,-88.703656,28075,35267
4040966,Trevon,Diggs,Alabama,74,207,7,4,DB,Gaithersburg,MD,USA,39.1434406,-77.2013705,24031,35297
4040967,BJ,Emmons,Alabama,72,220,4,4,RB,Morganton,NC,USA,35.7454291,-81.6870837,37023,35218
4040968,Terrell,Lewis,Alabama,77,252,24,3,LB,Washington,DC,USA,38.8949855,-77.0365708,11001,67212
4040969,Jamar,King,Alabama,76,290,90,No data,DL,Detroit,MI,USA,42.3315509,-83.0466403,26163,55175
