ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
533087,John,Law,Appalachian State,72,No data,88,No data,ILB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,23298
548436,Marcus,Cox,Appalachian State,70,No data,14,No data,RB,Dacula,GA,USA,33.9887165,-83.8979573,13135,27238
548441,Kennan,Gilchrist,Appalachian State,74,No data,6,No data,OLB,Abbeville,SC,USA,34.1779495,-82.3792463,45001,27318
548445,Dante,Jones,Appalachian State,71,185,13,No data,WR,Raleigh,NC,USA,35.7803977,-78.6390989,37183,27497
548447,Taylor,Lamb,Appalachian State,74,200,11,No data,QB,Calhoun,GA,USA,34.502587,-84.9510542,13129,27095
548456,Beau,Nunn,Appalachian State,76,300,50,No data,OL,York,SC,USA,34.9940463,-81.2424638,45091,28066
548459,Brandon,Pinckney,Appalachian State,72,190,12,No data,DB,Spartanburg,SC,USA,34.9498007,-81.9320157,45083,28038
548467,Terrence,Upshaw,Appalachian State,70,210,21,No data,RB,Duluth,GA,USA,34.0028569,-84.1441046,13135,26415
548468,George,Vinson,Appalachian State,72,225,30,No data,?,,,USA,33.532005,131.3496745,No data,27350
3123648,Jaylan,Barbour,Appalachian State,70,No data,4,No data,WR,Monroe,NC,USA,34.9854275,-80.5495112,37179,29004
3123650,Eric,Boggs,Appalachian State,75,235,45,No data,ILB,Belton,SC,USA,34.5228881,-82.4942948,45007,31200
3123652,Josh,Boyd,Appalachian State,70,No data,8,No data,RB,Norcross,GA,USA,33.9412127,-84.2135309,13135,29599
3123658,Austin,Exford,Appalachian State,74,201,9,4,DB,Snellville,GA,USA,33.857328,-84.0199108,13135,31103
3123663,Okon,Godwin,Appalachian State,74,250,47,4,DL,Covington,GA,USA,33.5967815,-83.8601827,13217,29862
3123666,Deltron,Hopkins,Appalachian State,68,No data,3,No data,WR,Miami,FL,USA,25.7742658,-80.1936589,12086,30305
3123667,A.J.,Howard,Appalachian State,71,200,10,No data,DB,Hamilton,GA,USA,32.7579107,-84.8749311,13145,30450
3123670,Ike,Lewis,Appalachian State,70,180,2,No data,WR,Simpsonville,SC,USA,34.7370639,-82.2542834,45045,66770
3123674,Shaedon,Meadors,Appalachian State,74,200,6,4,WR,Duncan,SC,USA,34.9378962,-82.1451096,45083,29326
3123675,Jalin,Moore,Appalachian State,71,207,25,4,RB,Shelby,NC,USA,35.2919489,-81.5402112,37045,31743
3123681,Myquon,Stout,Appalachian State,73,286,92,4,DL,China Grove,NC,USA,35.569306,-80.5817318,37159,30851
3123682,Devan,Stringer,Appalachian State,71,200,28,No data,OLB,Gainesville,GA,USA,34.2978794,-83.8240663,13139,30667
3917139,Brody,Barrett,Appalachian State,75,290,68,3,DL,San Juan Capistrano,CA,USA,33.5016932,-117.6625509,06059,34550
3917142,Akeem,Davis-Gaither,Appalachian State,74,215,24,4,LB,Thomasville,NC,USA,35.8831786,-80.081817,37057,33951
3917143,Edward,Davis,Appalachian State,72,230,33,3,ILB,Farmville,NC,USA,35.5954381,-77.5852496,37147,34440
3917144,Jake,Easter,Appalachian State,74,190,9,No data,WR,Pfafftown,NC,USA,36.1526379,-80.3622753,37067,34038
3917145,Anthony,Flory,Appalachian State,74,233,44,4,ILB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,35018
3917146,Desmond,Franklin,Appalachian State,72,205,6,4,DB,Inverness,FL,USA,28.8358176,-82.3303715,12017,34891
3917147,Tae,Hayes,Appalachian State,71,185,17,4,DB,Decatur,AL,USA,34.6060203,-86.9838165,01103,34989
3917148,Victor,Johnson,Appalachian State,77,295,75,4,OL,North Augusta,SC,USA,33.520849999999996,-81.96696923114902,45003,33982
3917152,Devin,Papenheim,Appalachian State,78,262,89,3,TE,Bushnell,FL,USA,28.6644827,-82.1117399,12119,34460
3917153,Collin,Reed,Appalachian State,76,245,87,4,TE,Boiling Springs,SC,USA,35.04136,-81.97882024148419,45083,34491
3917154,Dezmin,Reed,Appalachian State,74,No data,48,No data,OLB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,54961
3917155,Michael,Rubino,Appalachian State,75,215,90,4,PK,Apex,NC,USA,35.7325352,-78.8505516,37183,34868
3917159,Josh,Thomas,Appalachian State,72,205,7,4,DB,Montgomery,AL,USA,32.3669656,-86.3006485,01101,41475
3917160,Mondo,Williams,Appalachian State,71,No data,4,No data,DB,Iowa City,IA,USA,41.6612561,-91.5299106,19103,55018
4036431,Darrynton,Evans,Appalachian State,71,200,3,3,RB,Oak Hill,FL,USA,28.8644338,-80.8544975,12127,38371
4036434,Clifton,Duck,Appalachian State,70,175,4,3,DB,Matthews,NC,USA,35.1170873,-80.723718,37119,38353
4036437,Devonte,Harrison,Appalachian State,73,195,29,2,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,37892
4036442,Matt,Williams,Appalachian State,77,280,55,3,OL,Lehigh Acres,FL,USA,26.6091509,-81.652407,12071,37247
4036445,Jordan,Fehr,Appalachian State,75,230,59,4,LB,Charlotte,NC,USA,35.2272,-80.843083,37119,37940
4036451,Mitchell,McClurg,Appalachian State,No data,No data,No data,No data,WR,Alcoa,TN,USA,35.7895271,-83.9737935,47009,37426
4036452,Chris,Willis,Appalachian State,74,260,99,4,DL,Shelby,NC,USA,35.2919489,-81.5402112,37045,38053
4259184,Ryan,Miller,Appalachian State,74,289,94,3,DT,Charlotte,NC,USA,35.2272,-80.843083,37119,41091
4360784,Baer,Hunter,Appalachian State,74,300,51,4,OL,Clemmons,NC,USA,36.0215258,-80.3819984,37067,37120
