ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
552010,Jack,Banda,Arizona,75,247,92,No data,DE,Grayson,GA,USA,33.8942729,-83.95574,13135,26658
552011,Luca,Bruno,Arizona,76,305,60,No data,DL,Oak Park,CA,USA,34.1792025,-118.7619719,06111,26100
552022,Zach,Green,Arizona,70,229,34,No data,RB,Miami,FL,USA,25.7742658,-80.1936589,12086,25825
552090,DeAndre',Miller,Arizona,75,236,32,No data,DE,Buckeye,AZ,USA,33.3702748,-112.5838673,04013,25495
3122553,Tyrell,Johnson,Arizona,67,164,2,No data,WR,Fort Myers,FL,USA,26.640628,-81.8723084,12071,25601
3122553,Tyrell,Johnson,Arizona,67,164,2,No data,WR,Fort Myers,FL,USA,26.640628,-81.8723084,12071,57476
3133993,Brandon,Dawkins,Arizona,75,218,13,4,QB,Oxnard,CA,USA,34.1976308,-119.1803818,06111,28750
3133995,Cam,Denson,Arizona,71,187,3,No data,WR,Tuscon,AZ,USA,32.3088218,-111.0826643,04019,28361
3133996,Tony,Ellison,Arizona,71,188,9,4,WR,Granite Bay,CA,USA,38.7632346,-121.1638361,06061,29033
3133998,Marcus,Griffin,Arizona,75,305,9,4,DL,Bellevue,WA,USA,47.6144219,-122.1923372,53033,28618
3134003,Kwesi,Mashack,Arizona,68,198,15,No data,CB,Inglewood,CA,USA,33.9562003,-118.353132,06037,29442
3134005,Josh,Pollack,Arizona,70,184,30,4,PK,Highland Park,IL,USA,42.1816919,-87.8003438,17097,29916
3134011,Zach,Werlinger,Arizona,73,195,10,No data,QB,Chandler,AZ,USA,33.3062223,-111.8413317,04013,30759
3134012,Nick,Wilson,Arizona,70,208,28,No data,RB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,28455
3134013,Trevor,Wood,Arizona,78,265,8,No data,TE,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,28833
3821572,Jace,Whittaker,Arizona,71,185,17,4,CB,Oceanside,CA,USA,33.1958696,-117.3794834,06073,29463
3916857,Christian,Poe,Arizona,75,No data,87,No data,WR,Tucson,AZ,USA,32.2228765,-110.9748477,04019,30707
3931422,Dane,Cruikshank,Arizona,73,206,9,No data,CB,Chino Hills,CA,USA,33.9926803,-117.760056,06071,54806
3931424,Demetrius,Flannigan-Fowles,Arizona,74,205,6,4,?,Tuscon,AZ,USA,32.3088218,-111.0826643,04019,33474
3931425,Shun,Brown,Arizona,70,177,6,4,WR,Shreveport,LA,USA,32.5221828,-93.7651944,22017,32595
3931426,Cedric,Peterson,Arizona,73,197,18,4,WR,Moreno Valley,CA,USA,33.937517,-117.2305944,06065,32599
3931429,Anthony,Mariscal,Arizona,70,197,25,3,RB,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,32694
3931431,Sammy,Morrison,Arizona,70,175,41,4,CB,Leesburg,VA,USA,39.1154496,-77.5645446,51107,33185
3931443,Cody,Creason,Arizona,76,295,76,4,OL,Folsom,CA,USA,38.6779591,-121.1760583,06067,32306
3931445,Finton,Connolly,Arizona,77,300,91,4,DT,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,32854
4027927,Steven,Bailey,Arizona,75,314,63,4,OL,Litchfield Park,AZ,USA,33.4933796,-112.3581244,04013,36946
4039596,Lorenzo,Burns,Arizona,71,175,2,4,DB,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,36425
4039597,Jarrius,Wallace,Arizona,73,185,3,4,DB,Villa,LA,USA,39.9653379,-83.7585383,39023,36832
4039598,Gavin,Robertson Jr.,Arizona,73,220,5,No data,LB,Auburn,WA,USA,47.3075369,-122.2301808,53033,36322
4039599,Devaughn,Cooper,Arizona,71,175,1,4,WR,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,35760
4039601,Antonio,Parks,Arizona,69,190,12,4,S,New Orleans,LA,USA,29.9499323,-90.0701156,22071,33101
4039602,Khalil,Tate,Arizona,74,215,14,4,QB,Inglewood,CA,USA,33.9562003,-118.353132,06037,35388
4039605,Chacho,Ulloa,Arizona,71,200,13,4,S,Corona,CA,USA,33.8752945,-117.5664449,06065,35536
4039606,Isaiah,Hayes,Arizona,73,208,33,4,DB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,35936
4039608,Tristan,Cooper,Arizona,74,198,31,4,S,El Paso,TX,USA,31.7754152,-106.4646348,48141,37347
4039611,Jacob,Colacion,Arizona,73,218,34,2,LB,La Habra,CA,USA,33.9330156,-117.944777,06059,36103
4039625,Bryson,Cain,Arizona,77,305,54,3,OT,Temecula,CA,USA,33.4946353,-117.1473661,06065,36307
4039627,Michael,Eletise,Arizona,76,350,76,4,OL,Honolulu,HI,USA,21.304547,-157.8556764,15003,35368
4039629,Jalen,Cochran,Arizona,76,270,81,4,DE,Plymouth,MI,USA,45.0065149,-93.46651,27053,36173
4039630,Jamie,Nunley,Arizona,77,230,85,2,TE,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,33028
4245645,Gary,Brightwell,Arizona,73,218,No data,4,RB,Chester,PA,USA,39.849557,-75.3557458,42045,40303
4245648,Kurtis,Brown,Arizona,73,300,45,3,DL,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,39466
4245653,Brian,Casteel,Arizona,72,185,5,3,WR,Pasadena,CA,USA,34.1476452,-118.1444779,06037,39493
4245655,Tony,Fields II,Arizona,73,220,1,4,LB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,39239
4245656,Rourke,Freeburg,Arizona,74,204,47,3,LB,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,41863
4245661,Lucas,Havrisik,Arizona,74,184,43,4,PK,Riverside,CA,USA,33.9533546,-117.3961623,06065,41100
4245662,Azizi,Hearn,Arizona,73,193,20,3,CB,Oceanside,CA,USA,33.1958696,-117.3794834,06073,39737
4245672,Anthony,Pandy,Arizona,73,222,8,4,LB,Carson,CA,USA,33.8322043,-118.2517547,06037,39754
4245679,Rhett,Rodriguez,Arizona,72,196,4,3,QB,Tucson,AZ,USA,32.2228765,-110.9748477,04019,40364
4245685,Colin,Schooler,Arizona,73,230,17,4,LB,Dana Point,CA,USA,33.4669721,-117.6981075,06059,39198
4245699,Nathan,Tilford,Arizona,74,196,33,3,RB,Fontana,CA,USA,34.0922335,-117.435048,06071,38841
4245702,Kylan,Wilborn,Arizona,74,250,8,4,LB,Northridge,CA,USA,34.2345615,-118.5369316,06037,39972
4245703,Bryce,Wolma,Arizona,76,239,81,4,TE,Saline,MI,USA,42.1667072,-83.7816075,26161,39367
4245704,Scottie,Young Jr.,Arizona,71,204,19,4,S,San Diego,CA,USA,32.7174209,-117.1627714,06073,67843
4245705,Troy,Young,Arizona,72,210,11,3,CB,Prichard,AL,USA,30.7387998,-88.0788889,01097,40111
4259369,Tony,Wallace,Arizona,70,184,8,2,CB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,39720
4259370,Jalen,Harris,Arizona,77,258,49,3,DL,Mesa,AZ,USA,33.4151117,-111.8314773,04013,39112
4372604,Terrence,Johnson,Arizona,74,211,83,4,WR,Tucson,AZ,USA,32.2228765,-110.9748477,04019,33855
4569068,Jose,Ramirez,Arizona,74,238,55,2,DL,Orlando,FL,USA,28.5421109,-81.3790304,12095,40305
4569139,Dante,Diaz-Infante,Arizona,73,262,40,4,DE,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,36994
4569140,Josh,Donovan,Arizona,77,317,56,3,OL,College Station,TX,USA,30.5955289,-96.3071042,48041,40120
