ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
530450,Chad,Voytik,Arkansas State,73,No data,9,No data,QB,Cleveland,TN,USA,35.1595182,-84.8766115,47011,22246
531088,Kendall,Sanders,Arkansas State,72,No data,4,No data,WR,Athens,TX,USA,32.2044416,-95.854914,48213,22144
537832,Austin,Moreton,Arkansas State,73,No data,76,No data,OL,Fort Smith,AR,USA,35.3872218,-94.4248983,05131,24666
538151,Quanterio,Heath,Arkansas State,74,No data,52,No data,LB,Rison,AR,USA,33.9584347,-92.1901454,05025,23473
538153,Chris,Humes,Arkansas State,71,No data,29,No data,DB,Hoover,AL,USA,33.3848933,-86.8070484,01073,22850
538154,Colton,Jackson,Arkansas State,76,No data,61,No data,OL,Ozark,AR,USA,35.4870295,-93.8276965,05047,24004
538157,Warren,Leapheart,Arkansas State,77,No data,82,No data,TE,Morrilton,AR,USA,35.1509173,-92.7440538,05029,24215
545514,Cameron,Echols-Luper,Arkansas State,72,195,23,No data,WR,Ennis,TX,USA,32.3293111,-96.6252679,48139,25606
545949,Jamaris,Hart,Arkansas State,69,No data,22,No data,DB,Florence,AL,USA,34.79981,-87.677251,01077,27052
545953,Mark,Johnson,Arkansas State,74,182,35,No data,DB,Prescott,AR,USA,33.8026107,-93.3810057,05099,27589
545954,Ja'Von,Rolland-Jones,Arkansas State,74,244,11,No data,DE,Mesquite,TX,USA,32.7666103,-96.599472,48113,27797
545961,Chris,Odom,Arkansas State,75,No data,93,No data,DE,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,27266
545962,Dijon,Paschal,Arkansas State,73,209,84,No data,WR,Tallassee,AL,USA,32.5368152,-85.8987271,01051,26096
550842,Money,Hunter,Arkansas State,73,No data,27,No data,DB,Prosper,TX,USA,33.2385763,-96.7866058,48085,26487
3123695,Brandon,Byner,Arkansas State,71,177,28,4,DB,Bessemer,AL,USA,33.3823635,-86.91720475,01073,31327
3123696,Caleb,Caston,Arkansas State,74,240,54,No data,DE,Pascagoula,MS,USA,30.3646795,-88.5585995,28059,31089
3123697,Jarrod,Chandler,Arkansas State,74,223,31,4,DE,Barton,AR,USA,34.5476004,-90.7681675,05107,30571
3123712,Khari,Lain,Arkansas State,70,No data,9,No data,LB,Tyrone,GA,USA,33.4713249,-84.5972005,13113,29933
3123714,Blake,Mack,Arkansas State,75,245,16,No data,TE,Lonoke,AR,USA,34.7839795,-91.8998611,05085,30027
