ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3129120,Bryce,Holland,Army,74,295,65,4,OL,Chandler,AZ,USA,33.3062223,-111.8413317,04013,29826
3916373,Cameron,Johnson,Army,73,190,81,3,WR,Spring,TX,USA,30.0798826,-95.4172549,48201,37885
3916373,Cameron,Johnson,Army,73,190,81,3,WR,Spring,TX,USA,30.0798826,-95.4172549,48201,40741
3916813,James,Nachtigal,Army,72,235,19,4,LB,Fort Atkinson,WI,USA,42.9288944,-88.8370509,55055,30197
3916821,Andy,Davidson,Army,74,235,40,4,RB,Allentown,PA,USA,40.6022059,-75.4712794,42077,34759
3916823,Zach,Saum,Army,77,250,83,4,TE,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,30564
3916829,Jarrod,Jones,Army,70,210,47,4,LB,Prattville,AL,USA,32.4640245,-86.4596966,01001,36678
3916832,Kenneth,Brinson,Army,74,245,56,4,LB,Kennesaw,GA,USA,34.0234337,-84.6154897,13067,32831
3916843,Jeff,Panara,Army,75,260,53,4,OL,Hatboro,PA,USA,40.1746252,-75.106825,42091,34921
3916850,Raymond,Wright,Army,75,285,77,4,DL,Charlotte,NC,USA,35.2272,-80.843083,37119,34378
3916858,Jalen,Sharp,Army,73,190,14,4,DB,Garland,TX,USA,32.912624,-96.6388833,48113,30859
4036923,Kelvin,Hopkins Jr.,Army,70,205,8,4,QB,Charlotte,NC,USA,35.2272,-80.843083,37119,33984
4036925,Jaylon,McClinton,Army,70,200,7,4,DB,Charlotte,NC,USA,35.2272,-80.843083,37119,34101
4036926,Kjetil,Cline,Army,72,205,82,4,WR,Woodbury,MN,USA,44.92317,-92.9588282,27163,36717
4036929,Ryan,Parker,Army,72,230,15,4,LB,Hixson,TN,USA,35.153983,-85.22301235324254,47065,37214
4036931,Zach,Potter,Army,70,200,17,4,P,Terre Haute,IN,USA,39.4667025,-87.4139119,18167,34838
4036932,Jake,Ellington,Army,75,240,18,4,DL,Zebulon,NC,USA,35.8243208,-78.3147199,37183,37849
4036935,Jack,King,Army,74,215,34,4,LB,Matthews,NC,USA,35.1170873,-80.723718,37119,38171
4036943,Ryan,Velez,Army,71,200,26,4,DB,Fountain Hills,AZ,USA,33.6117105,-111.7173613,04013,67595
4036944,Donavan,Lynch,Army,72,215,11,4,LB,Noblesville,IN,USA,40.0455918,-86.0085955,18057,34376
4036945,Cam,Jones,Army,72,200,20,4,DB,Dacula,GA,USA,33.9887165,-83.8979573,13135,45718
4036945,Cam,Jones,Army,72,200,20,4,DB,Dacula,GA,USA,33.9887165,-83.8979573,13135,46712
4036945,Cam,Jones,Army,72,200,20,4,DB,Dacula,GA,USA,33.9887165,-83.8979573,13135,67380
4036949,Connor,Slomka,Army,72,240,25,4,RB,Wexford,PA,USA,40.6264561,-80.055891,42003,34372
4036953,Jacob,Covington,Army,74,260,57,4,DL,Liberty Hill,TX,USA,30.6649119,-97.9225161,48491,34872
4036954,Alex,Herndon,Army,74,260,60,4,OL,Savannah,GA,USA,32.0809263,-81.0911768,13051,67658
4036959,Cole,Christiansen,Army,74,225,54,4,LB,Suffolk,VA,USA,36.7282096,-76.5835703,51800,67715
4036961,Jake,Baumert,Army,75,300,63,4,OL,Lucas,TX,USA,33.0842854,-96.5766577,48085,34538
4036966,Jack,Sides,Army,74,285,75,4,OL,Dallas,TX,USA,32.7762719,-96.7968559,48113,38027
4036969,Glen,Coates,Army,72,195,6,4,WR,Davidson,NC,USA,35.4993031,-80.8486846,37119,34874
4240949,Mike,Johnson,Army,75,285,59,4,OL,Hinsdale,IL,USA,41.794528,-87.92761808245767,17043,35007
4258443,Dean,Ngendakuriyo,Army,70,192,21,4,DB,Richmond,VA,USA,37.5385087,-77.43428,51760,41942
4258447,Christian,Anderson,Army,73,195,4,3,QB,Bronx,NY,USA,40.85048545,-73.84040355802088,36005,40792
4258457,Javhari,Bourdeau,Army,69,188,8,4,DB,Miramar,FL,USA,25.975911449999998,-80.33472128115224,12011,38259
4258460,Zack,Boobas,Army,70,180,21,3,RB,Nicholson,GA,USA,34.1139993,-83.4315488,13157,41945
4258461,Dominic,Distefano,Army,69,190,19,4,RB,Pflugerville,TX,USA,30.4393696,-97.6200043,48453,38398
4258463,Artice,Hobbs IV,Army,69,190,32,4,RB,Covington,GA,USA,33.5967815,-83.8601827,13217,37844
4258466,Jeremiah,Lowery,Army,74,255,43,4,LB,Elmore,AL,USA,32.5387448,-86.3149712,01051,41231
4258468,Aaron,Jones,Army,73,240,37,2,LB,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,38358
4258478,Gavin,Bassett,Army,73,215,44,3,LB,Farmington,MN,USA,44.6402434,-93.1435497,27037,38003
4258482,Kyle,O'Connor,Army,73,225,48,4,LS,North Canton,OH,USA,40.875891,-81.4023356,39151,42204
4258485,Jon,Rhattigan,Army,73,245,47,4,LB,Naperville,IL,USA,41.7728699,-88.1479278,17043,42201
4258502,Peyton,Reeder,Army,78,300,76,4,OL,Rome,GA,USA,34.257038,-85.1646726,13115,38048
4258503,Luke,McCleery,Army,77,290,68,4,OL,Keller,TX,USA,32.9299655,-97.2271249,48439,41247
4258518,Michael,Leisle,Army,72,185,6,3,PK,Ponte Vedra Beach,FL,USA,30.2396865,-81.3856384,12109,41893
4260811,James,Gibson,Army,73,220,2,4,DB,Centreville,VA,USA,38.8403909,-77.4288769,51059,33828
4362090,Mike,Williams,Army,75,244,39,1,DE,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,42136
4362090,Mike,Williams,Army,75,244,39,1,DE,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,43433
4373726,Tyhier,Tyler,Army,68,185,2,2,QB,Newport News,VA,USA,36.9786449,-76.4321089,51700,42702
4373728,Akyah,Miranda,Army,69,180,4,2,DB,Belton,SC,USA,34.5228881,-82.4942948,45007,42790
4373730,Jabari,Laws,Army,69,185,1,3,QB,Upper Marlboro,MD,USA,38.8165274,-76.7519753,24033,42478
4373731,Michael,Roberts,Army,75,235,14,3,WR,Charlotte,NC,USA,35.2272,-80.843083,37119,42596
4373735,Clay,Czyzynski,Army,72,200,15,2,QB,Glencoe,IL,USA,42.1350268,-87.7581188,17031,41867
4373739,Julian,McDuffie,Army,71,182,3,3,CB,Snellville,GA,USA,33.857328,-84.0199108,13135,42226
4373740,Caleb,John,Army,70,195,6,3,CB,Lanham,MD,USA,38.9670551,-76.8619166,24033,41843
4373741,Cade,Barnard,Army,75,235,40,3,RB,Seminole,TX,USA,32.7189926,-102.6449101,48165,44647
4373748,Cedrick,Cunningham,Army,72,215,22,3,DB,Cassatt,SC,USA,34.3647389,-80.4353898,45055,41864
4373749,Nate,Jones,Army,74,215,36,2,LB,Charlotte,NC,USA,35.2272,-80.843083,37119,42032
4373751,Sean,Eckert,Army,75,220,87,3,WR,Centreville,VA,USA,38.8403909,-77.4288769,51059,42094
4373752,Ton,Evans,Army,68,185,30,2,RB,Sharpsburg,GA,USA,33.3392842,-84.6485417,13077,41079
4373758,Brooks,Hosea,Army,72,185,37,3,P,Marietta,GA,USA,33.9528472,-84.5496148,13067,41924
4373759,Markens,Pierre,Army,71,205,25,3,RB,Belle Glade,FL,USA,26.6845104,-80.6675577,12099,41975
4373764,Chris,Cameron,Army,76,260,85,3,TE,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,41466
4373767,Kaelin,Byrd,Army,71,205,48,2,RB,Milton,GA,USA,34.1321631,-84.300666,13121,41632
4373772,Kemonte,Yow,Army,73,240,49,3,LB,Dallas,TX,USA,32.7762719,-96.7968559,48113,42578
4373774,Nick,Kotok,Army,74,260,79,2,OL,Moon Township,PA,USA,40.5061,-80.2082,42003,46465
4373776,Mason,Kolinchak,Army,74,280,56,3,OL,Huntington Beach,CA,USA,33.6783336,-118.0000166,06059,46780
4373787,Noah,Knapp,Army,72,285,65,3,OL,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,42262
4373788,Dean,Powell,Army,73,290,67,3,OL,Buford,GA,USA,34.1206564,-84.0043513,13135,41236
4373792,Kamaron,Holloway,Army,75,280,51,3,OL,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,41463
4373798,Eddie,Crutchfield,Army,75,225,85,2,TE,Charlotte,NC,USA,35.2272,-80.843083,37119,42227
4373800,Kwabena,Bonsu,Army,76,280,97,3,DL,Austell,GA,USA,33.8126059,-84.6343783,13067,44718
