ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3676004,Jay Jay,Wilson,Auburn,75,249,42,4,LB,Valencia,CA,USA,34.1466768,-117.2725427,06071,32193
3843227,Bailey,Sharp,Auburn,77,305,66,4,OL,Marietta,GA,USA,33.9528472,-84.5496148,13067,32310
3916924,Jeremiah,Dinson,Auburn,72,191,20,4,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,33070
3916926,Javaris,Davis,Auburn,70,180,13,4,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,32147
3916927,Will,Hastings,Auburn,70,174,33,4,WR,Little Rock,AR,USA,34.7464809,-92.2895948,05119,34110
3916939,Kaleb,Kim,Auburn,76,300,54,4,OL,Buford,GA,USA,34.1206564,-84.0043513,13135,32129
3916943,Mike,Horton,Auburn,76,325,64,4,OL,Atlanta,GA,USA,33.7490987,-84.3901849,13121,32596
3916944,Marquel,Harrell,Auburn,75,309,77,4,OL,Fairburn,GA,USA,33.5670562,-84.5810418,13121,32089
4035494,Marlon,Davidson,Auburn,75,278,3,4,DE,Greenville,AL,USA,31.8295972,-86.6177517,01013,35213
4035495,Derrick,Brown,Auburn,77,318,5,4,DT,Sugar Hill,GA,USA,34.1064895,-84.0335197,13135,35192
4035497,Kam,Martin,Auburn,70,189,9,4,RB,Port Arthur,TX,USA,29.8988618,-93.9288723,48245,35444
4035500,Eli,Stove,Auburn,72,191,12,4,WR,Niceville,FL,USA,30.5168639,-86.482172,12091,35305
4035502,Marquis,McClain,Auburn,74,224,17,3,WR,Crestview,FL,USA,30.7621326,-86.5705084,12091,35796
4035505,Daniel,Thomas,Auburn,71,209,24,4,DB,Montgomery,AL,USA,32.3669656,-86.3006485,01101,36654
4035507,Malik,Miller,Auburn,71,235,32,3,RB,Huntsville,AL,USA,34.729847,-86.5859011,01089,35619
4035518,Prince Tega,Wanogho,Auburn,79,305,76,4,OL,Delta State,No data,Nigeria,No data,No data,No data,31969
4047458,Nick,Coe,Auburn,77,291,91,3,DE,Asheboro,NC,USA,35.7079146,-79.8136446,37151,35452
4242510,Big Kat,Bryant,Auburn,77,250,1,4,DE,Cordele,GA,USA,31.9635074,-83.7823938,13081,67825
4242511,Devan,Barrett,Auburn,72,195,22,4,RB,Tampa,FL,USA,27.9477595,-82.458444,12057,38791
4242513,Jordyn,Peters,Auburn,73,200,15,4,DB,Muscle Shoals,AL,USA,34.7451786,-87.6686733,01033,39351
4242514,Malcolm,Askew,Auburn,71,186,16,4,DB,Mccalla,AL,USA,33.3062319,-87.0241656,01073,38840
4242515,Chandler,Wooten,Auburn,75,232,31,4,LB,Acworth,GA,USA,34.0659329,-84.6768796,13067,39034
4242516,Noah,Igbinoghene,Auburn,71,200,4,3,DB,Trussville,AL,USA,33.626629,-86.5549335251678,01073,38911
4242517,Traivon,Leonard,Auburn,72,214,14,4,DB,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,39738
4242519,Anders,Carlson,Auburn,77,220,26,4,PK,Colorado Springs,CO,USA,38.8339578,-104.8253485,08041,39867
4242520,JaTarvious,Whitlow,Auburn,72,210,28,2,RB,Lafayette,AL,USA,32.898333,-85.400556,39003,39151
4242521,K.J.,Britt,Auburn,72,243,33,4,LB,Oxford,AL,USA,33.5853695,-85.91428175037092,01121,39925
4242526,John Samuel,Shenker,Auburn,76,249,47,4,TE,Albany,GA,USA,31.5782062,-84.1556809,13095,40151
4242527,Nick,Brahms,Auburn,76,302,52,4,OL,Navarre,FL,USA,30.4019789,-86.8700821,12113,38787
4242528,T.D.,Moultry,Auburn,74,253,99,4,LB,Birmingham,AL,USA,33.5206824,-86.8024326,01073,67820
4242529,Tashawn,Manning,Auburn,76,335,56,4,OL,Apopka,FL,USA,28.6779683,-81.5115214,12095,36163
4242530,Brodarious,Hamm,Auburn,78,334,59,4,OL,Griffin,GA,USA,33.2467807,-84.2640904,13255,35518
4242531,Bill,Taylor,Auburn,75,220,60,3,LS,Northport,AL,USA,33.2449315,-87.6728397782913,01125,40580
4242533,Austin,Troxell,Auburn,79,305,68,4,OL,Huntsville,AL,USA,34.729847,-86.5859011,01089,38811
4242537,Alec,Jackson,Auburn,77,323,65,4,OL,Montgomery,AL,USA,32.3669656,-86.3006485,01101,39255
4242538,Tyrone,Truesdell,Auburn,74,335,94,4,DT,Augusta,GA,USA,33.4709714,-81.9748429,13245,39077
4361329,Joey,Gatewood,Auburn,77,221,2,3,QB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,42956
4361330,Christian,Tutt,Auburn,71,192,6,3,DB,Thomson,GA,USA,33.4707348,-82.5045956,13189,43183
4361331,Jamien,Sherwood,Auburn,74,220,20,3,DB,Jensen Beach,FL,USA,27.2379528,-80.23898988902575,12085,43164
4361332,Shedrick,Jackson,Auburn,74,196,11,4,WR,Hoover,AL,USA,33.3848933,-86.8070484,01073,43299
4361334,Smoke,Monday,Auburn,75,199,21,4,S,Atlanta,GA,USA,33.7490987,-84.3901849,13121,43065
4361335,Josh,Marsh,Auburn,74,219,36,2,LB,Decatur,AL,USA,34.6060203,-86.9838165,01103,44108
