ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
504906,Bryan,Douglas,Boise State,69,No data,No data,No data,CB,Los Angeles ,CA,USA,34.0536909,-118.2427666,06037,18532
504908,Grant,Hedrick,Boise State,72,No data,9,No data,QB,Independence,OR,USA,44.8560029,-123.1913034,41053,18441
504909,Tyler,Horn,Boise State,77,No data,69,No data,DT,Meridian,ID,USA,43.6086295,-116.392326,16001,19008
504910,Holden,Huff,Boise State,78,No data,85,No data,TE,Rocklin,CA,USA,38.7907339,-121.2357828,06061,19388
504911,Jeremy,Ioane,Boise State,70,No data,10,No data,S,Honolulu,HI,USA,21.304547,-157.8556764,15003,18955
504912,Darren,Lee,Boise State,73,No data,44,No data,?,Susanville,CA,USA,40.4162842,-120.6530063,06035,18626
504915,Matt,Miller,Boise State,75,No data,2,No data,WR,Helena,MT,USA,46.5927425,-112.0362771,30049,17853
504918,Troy,Ware,Boise State,74,No data,14,No data,WR,Oceanside,CA,USA,33.1958696,-117.3794834,06073,18086
517330,Jay,Ajayi,Boise State,72,No data,27,No data,RB,Plano,TX,USA,33.0136764,-96.6925096,48085,20238
517334,Dallas,Burroughs,Boise State,69,No data,81,No data,WR,Meridian,ID,USA,43.6086295,-116.392326,16001,21031
517340,Taylor,Loffler,Boise State,75,No data,24,No data,S,Kelowna,BC,Canada,No data,No data,No data,21203
517341,Dillon,Lukehart,Boise State,73,No data,28,No data,S,Eagle,ID,USA,43.6954424,-116.3540138,16001,21116
517347,Darian,Thompson,Boise State,74,No data,4,No data,S,Lancaster,CA,USA,34.6981064,-118.1366153,06037,20684
531739,Chaz,Anderson,Boise State,70,No data,6,No data,WR,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,22593
531741,Steven,Baggett,Boise State,75,No data,70,No data,OL,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,23321
531745,Donte,Deayon,Boise State,69,No data,5,No data,CB,Rialto,CA,USA,34.1064001,-117.3703235,06071,22722
531746,Devan,Demas,Boise State,68,No data,26,No data,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,22782
531747,Jack,Fields,Boise State,69,No data,21,No data,RB,El Paso,TX,USA,31.7754152,-106.4646348,48141,22882
531748,Tyler,Gray,Boise State,76,No data,36,No data,?,Templeton,CA,USA,35.5496939,-120.7060049,06079,21595
531749,Elliot,Hoyte,Boise State,76,No data,96,No data,DT,Tavistock,,United Kingdom,No data,No data,No data,24378
531750,Chanceller,James,Boise State,74,No data,3,No data,S,Spring Valley,CA,USA,39.0800023,-122.5963989,06033,22950
531753,Sam,McCaskill,Boise State,75,No data,94,No data,DE,Eugene,OR,USA,44.0505054,-123.0950506,41039,24630
531756,Connor,Peters,Boise State,76,No data,89,No data,TE,Antioch,CA,USA,38.0049214,-121.805789,06013,53758
531758,Chris,Santini,Boise State,73,No data,25,No data,LB,San Jose,CA,USA,37.3361905,-121.8905833,06085,22855
531759,Sean,Wale,Boise State,74,No data,19,No data,P,La Habra,CA,USA,33.9330156,-117.944777,06059,24765
531760,Ben,Weaver,Boise State,72,No data,51,No data,?,Klein,TX,USA,30.0477196,-95.5324412,48201,22633
531761,Shane,Williams-Rhodes,Boise State,66,No data,1,No data,WR,Spring,TX,USA,30.0798826,-95.4172549,48201,22943
546221,Tyler,Rausa,Boise State,69,No data,49,No data,PK,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,54073
546222,Jake,Roh,Boise State,75,227,88,No data,TE,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,25873
546224,Thomas,Sperbeck,Boise State,72,No data,82,No data,WR,Carmichael,CA,USA,38.62709845,-121.32224222755409,06067,26441
546229,Tanner,Vallejo,Boise State,73,No data,20,No data,LB,Penn Valley,CA,USA,39.1948165,-121.19264637070282,06057,25598
546286,Kamalei,Correa,Boise State,75,No data,8,No data,DL,Honolulu ,HI,USA,21.304547,-157.8556764,15003,25860
546287,Alec,Dhaenens,Boise State,75,246,87,No data,TE,Fruitland,ID,USA,44.0076639,-116.9165461,16075,25876
546288,Ryan,Finley,Boise State,76,212,15,4,QB,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,25574
546289,Cameron,Hartsfield,Boise State,70,197,37,No data,S,Allen,TX,USA,33.1031744,-96.6705503,48085,27447
546292,Mercy,Maston,Boise State,71,No data,9,No data,CB,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,53847
546296,Jonathan,Moxey,Boise State,70,No data,2,No data,CB,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,26819
546297,Cleshawn,Page,Boise State,69,No data,3,No data,CB,Los Angeles ,CA,USA,34.0536909,-118.2427666,06037,54026
