ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3858274,Luc,Bequette,Boston College,74,295,93,4,DL,Little Rock,AR,USA,34.7464809,-92.2895948,05119,33355
4033745,Danny,Dalton,Boston College,76,255,15,4,TE,Marshfield,MA,USA,42.091769,-70.7055941,25023,35686
4035342,Mike,Palmer,Boston College,73,200,18,4,DB,Endwell,NY,USA,42.1188265,-76.02255801314774,36007,37348
4035344,John,Lamot,Boston College,72,230,28,4,LB,Graham,NC,USA,36.0690258,-79.4005756,37001,37144
4035352,Brandon,Barlow,Boston College,76,258,44,4,DL,Cohoes,NY,USA,42.7742446,-73.7001187,36001,36814
4035356,Max,Richardson,Boston College,72,230,14,4,LB,Duluth,GA,USA,34.0028569,-84.1441046,13135,36578
4035362,Ray,Marten,Boston College,75,250,86,4,TE,Belle Harbor,NY,USA,40.577552,-73.8485768,36081,36446
4035363,Bryce,Morais,Boston College,76,252,90,4,DL,Grayson,GA,USA,33.8942729,-83.95574,13135,36031
4035364,Grant,Carlson,Boston College,71,190,95,4,P,Missouri City,TX,USA,29.6185669,-95.5377215,48157,37307
4239935,Tate,Haynes,Boston College,73,190,7,3,DB,San Diego,CA,USA,32.7174209,-117.1627714,06073,40510
4239938,CJ,Lewis,Boston College,75,216,11,4,WR,Hamden,CT,USA,41.3959287,-72.8968716,09009,39397
4239940,Jahmin,Muse,Boston College,72,212,8,4,DB,Elizabeth,NJ,USA,40.6639916,-74.2107006,34039,39696
4239941,Travis,Levy,Boston College,71,203,23,4,RB,Olney,MD,USA,39.1532123,-77.0668408,24031,39513
4239942,Paul,Theobald Jr.,Boston College,74,228,36,3,LB,Caldwell,NJ,USA,40.8398218,-74.2765366,34013,39884
4239943,Brandon,Sebastian,Boston College,72,179,10,4,DB,West Haven,CT,USA,41.2706527,-72.9470471,09009,39333
4239944,Hunter,Long,Boston College,77,253,80,3,TE,Exeter,NH,USA,42.981477,-70.9478343,33015,40262
4239945,Drew,McQuarrie,Boston College,77,240,89,3,TE,Weare,NH,USA,43.094966,-71.73111,33011,40384
4239947,Isaiah,McDuffie,Boston College,73,224,55,3,LB,Buffalo,NY,USA,42.8867166,-78.8783922,36029,39717
4239949,Ben,Petrula,Boston College,77,314,64,4,OL,Freehold,NJ,USA,40.2601096,-74.2737573,34025,39347
