ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3910654,Tyree,Thompson,Buffalo,73,225,27,4,LB,Pacoima,CA,USA,34.2625025,-118.427027,06037,56149
3916574,Dev,Lamour,Buffalo,74,205,28,4,S,Montreal,PQ,Canada,No data,No data,No data,34778
3916620,Devon,Russell,Buffalo,69,185,12,4,CB,Elkton,MD,USA,39.6065073,-75.8330934,24015,34776
4040825,Theo,Anderson,Buffalo,70,215,2,3,RB,Largo,FL,USA,27.9094665,-82.7873244,12103,36497
4040828,Roy,Baker,Buffalo,74,200,18,4,S,Hialeah,FL,USA,25.8575963,-80.2781057,12086,37029
4040829,Justin,Mulbah,Buffalo,71,220,21,4,LB,Laurel,MD,USA,39.0992752,-76.8483061,24033,37312
4040832,Tyrone,Hill,Buffalo,73,200,1,4,DB,Passaic,NJ,USA,40.8567663,-74.1284764,34031,36549
4040834,Matt,Otwinowski,Buffalo,74,225,42,4,LB,LaPorte,IN,USA,41.6105983,-86.7225227,18091,38183
4040842,Kayode,Awosika,Buffalo,77,315,73,4,OL,Plymouth,MN,USA,45.0065149,-93.46651,27053,37256
4040847,Jake,Fuzak,Buffalo,77,300,59,4,OL,Williamsville,NY,USA,42.9637836,-78.7377258,36029,38193
4044537,Taylor,Riggins,Buffalo,74,250,49,4,DE,Webster,NY,USA,43.212285,-77.429994,36055,36643
4044544,Ray,Thomas-Ishman,Buffalo,77,320,71,4,OL,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,67314
4049294,Antonio,Nunn,Buffalo,71,200,1,4,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,37942
4239714,Kyle,Vantrease,Buffalo,75,220,7,3,QB,Stow,OH,USA,41.1596261,-81.4406258,39153,40497
4239718,Ali,Abbas,Buffalo,70,180,15,4,CB,Irvington,NJ,USA,40.7323235,-74.2348684,34013,42602
4239719,Malcolm,Koonce,Buffalo,75,250,50,4,DE,Peekskill,NY,USA,41.289811,-73.9204922,36119,57539
4239721,Julien,Bourassa,Buffalo,78,255,85,2,TE,Laval,PQ,Canada,No data,No data,No data,42524
4241865,E.J.,Brown,Buffalo,71,205,7,4,S,Stone Mountain,GA,USA,33.8080924,-84.1706273,13089,65880
4257183,Isaiah,King,Buffalo,70,190,4,3,CB,Norfolk,VA,USA,36.8462923,-76.2929252,51710,42415
4257184,Tim,Terry Jr.,Buffalo,74,225,5,3,LB,Pittsburgh,PA,USA,40.4416941,-79.9900861,42003,40736
4257186,Aapri,Washington,Buffalo,69,185,3,3,CB,Charlotte,NC,USA,35.2272,-80.843083,37119,39763
4257191,Wankeith,Akin Jr.,Buffalo,70,175,11,3,CB,Roseland,NJ,USA,40.8206555,-74.2937595,34013,41772
4257193,Ja'Varius,Harrison,Buffalo,71,225,34,3,LB,Quincy,FL,USA,30.5871948,-84.5832619,12039,41910
4257197,Jeremiah,Riordan,Buffalo,74,225,57,4,LS,Plymouth,MI,USA,45.0065149,-93.46651,27053,42387
4257199,Jacob,Gall,Buffalo,74,305,66,3,OL,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,42658
4257204,Frendy,Darelus,Buffalo,77,250,99,3,DE,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,41656
4362447,Matt,Myers,Buffalo,76,220,10,2,QB,West Seneca,NY,USA,42.83943505,-78.74650290662323,36029,45709
4362449,Max,Michel,Buffalo,74,230,6,2,DE,Elizabeth,NJ,USA,40.6639916,-74.2107006,34039,45750
4362450,James,Patterson,Buffalo,72,230,8,3,LB,Glenn Dale,MD,USA,38.9876104,-76.8205265,24033,41178
4362452,Jaret,Patterson,Buffalo,69,195,26,3,RB,Glenn Dale,MD,USA,38.9876104,-76.8205265,24033,41784
4362465,Mike,Novitsky,Buffalo,77,295,50,3,OL,Victor,NY,USA,42.9825634,-77.4088794,36069,45967
4362470,LeMaro,Smith Jr.,Buffalo,75,210,16,2,WR,Cleveland,OH,USA,41.5051613,-81.6934446,39035,45588
4362471,Eddie,Wilson,Buffalo,76,325,11,4,DL,Jersey City,NJ,USA,40.7281575,-74.0776417,34017,45016
4362495,Cory,Gross Jr.,Buffalo,74,205,1,2,S,Rochester,NY,USA,43.157285,-77.615214,36055,45204
4373454,Dylan,McDuffie,Buffalo,72,215,8,2,RB,Amherst,NY,USA,42.9783924,-78.7997616,36029,45072
4426600,Jordan,Avissey,Buffalo,77,285,96,1,DT,Paris,No data,France,No data,No data,No data,49594
4426600,Jordan,Avissey,Buffalo,77,285,96,1,DT,Paris,No data,France,No data,No data,No data,68015
4426998,Javien,Cuff,Buffalo,74,180,19,1,WR,Vero Beach,FL,USA,27.6387163,-80.3975399,12061,49339
4427242,Marcus,Fuqua,Buffalo,72,200,10,1,S,Southfield,MI,USA,42.4733689,-83.2218731,26125,49565
4427769,Anthony,Laudicina,Buffalo,78,295,76,1,OL,Villanova,PA,USA,40.0373323,-75.3490769,42045,50271
4428253,Bence,Polgar,Buffalo,75,300,74,2,OL,Wayne,NJ,USA,40.9491723,-74.2376802,34031,49927
4428477,Caelan,Shepard,Buffalo,78,310,77,1,OL,Annapolis,MD,USA,38.9786401,-76.492786,24003,49997
4428580,Tyler,Stephens,Buffalo,78,230,80,1,TE,Newton Falls,OH,USA,41.18839,-80.978147,39155,49341
4428628,Caleb,Tate,Buffalo,72,210,25,1,LB,Tampa,FL,USA,27.9477595,-82.458444,12057,48589
4429357,Trevor,Bycznski,Buffalo,77,235,4,1,QB,Berea,OH,USA,41.3661614,-81.8543026,39035,48689
4429454,Ron,Cook Jr.,Buffalo,69,190,2,2,RB,Temple Hills,MD,USA,38.8140024,-76.9455296,24033,49805
4429629,Jelani,Foster,Buffalo,73,200,14,1,WR,Laurel,MD,USA,39.0992752,-76.8483061,24033,49768
4429769,Michael,Ford Jr.,Buffalo,75,285,65,1,OL,Homewood,IL,USA,41.5573283,-87.6654739,17031,64373
4429983,Georell,Kidd,Buffalo,74,260,98,1,DT,Miami,FL,USA,25.7742658,-80.1936589,12086,50215
4430015,Kyler,Laing,Buffalo,73,240,55,1,DE,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,48586
4430402,Larry,Robbins,Buffalo,68,185,29,1,CB,Miami,FL,USA,25.7742658,-80.1936589,12086,49842
4430778,Tyrece,Woods Jr.,Buffalo,74,295,95,2,DT,Detroit,MI,USA,42.3315509,-83.0466403,26163,48564
4430995,Kolbe,Burrell,Buffalo,69,190,21,1,RB,Jenkintown,PA,USA,40.0959385,-75.1256812,42091,63985
4431182,No data,No data,Buffalo,77,200,38,1,DE,No data,No data,No data,No data,No data,No data,63397
4433868,No data,No data,Buffalo,69,195,28,1,S,No data,No data,No data,No data,No data,No data,63816
4565763,Deondre,Doiron,Buffalo,76,285,72,1,OL,London,ON,CAN,No data,No data,No data,64136
4566381,Casey,Case,Buffalo,78,210,6,1,QB,Winter Park,FL,USA,26.13784445,-81.75399813758739,12021,63821
4574312,Trey,Franklin,Buffalo,69,165,10,1,CB,Robins Afb,GA,USA,32.5990717,-83.5832763,13153,50207
4574316,Mark,Davis,Buffalo,74,195,22,1,CB,Bradenton,FL,USA,27.4989278,-82.5748194,12081,49616
4574317,Rich,Miller,Buffalo,73,230,30,3,LB,Detroit,MI,USA,42.3315509,-83.0466403,26163,48576
4574319,Evan,Davis,Buffalo,70,210,37,2,LS,Fair Haven,NJ,USA,40.3606653,-74.0381947,34025,50516
4574327,Marlyn,Johnson,Buffalo,76,200,83,1,WR,Ambler,PA,USA,40.1545535,-75.2215651,42091,48342
4576176,Lonnie,Rice,Buffalo,72,220,12,1,LB,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,64317
4576186,Trevor,Borland,Buffalo,75,240,34,1,TE,Bolingbrook,IL,USA,41.7003302,-88.0717708,17197,64914
4576192,No data,No data,Buffalo,72,265,90,1,DT,No data,No data,No data,No data,No data,No data,63007
4585069,Michael,Tetteh,Buffalo,75,260,93,1,DT,Bronx,NY,USA,40.85048545,-73.84040355802088,36005,64140
4608737,Tyler,Doty,Buffalo,77,315,78,1,OL,Gasport,NY,USA,43.193281,-78.5766372935035,36063,64985
4608737,Tyler,Doty,Buffalo,77,315,78,1,OL,Gasport,NY,USA,43.193281,-78.5766372935035,36063,75212
4608758,Caron,Robinson,Buffalo,69,185,28,1,RB,No data,No data,No data,No data,No data,No data,65030
4693852,Tyree,O'Neil,Buffalo,73,190,82,3,WR,Portland,OR,USA,45.5202471,-122.6741949,41051,65822
