ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3858274,Luc,Bequette,California,74,295,93,4,DL,Little Rock,AR,USA,34.7464809,-92.2895948,05119,33355
3858276,Jaylinn,Hawkins,California,74,210,6,4,S,Buena Park,CA,USA,33.870413,-117.9962165,06059,32126
3863561,Zeandae,Johnson,California,76,290,44,4,DE,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,33532
3912408,Ben,Schrider,California,75,240,98,4,LB,Berkeley,CA,USA,37.8708393,-122.2728639,06001,34961
3917586,Steven,Coutts,California,76,215,37,4,P,Brisbane,,Australia,No data,No data,No data,34585
4035823,Devon,Modster,California,74,225,6,4,QB,Mission Viejo,CA,USA,33.5965685,-117.659405,06059,35482
4035823,Devon,Modster,California,74,225,6,4,QB,Mission Viejo,CA,USA,33.5965685,-117.659405,06059,56551
4035848,Jordan,Duncan,California,73,205,2,4,WR,Hattiesburg,MS,USA,31.3271189,-89.2903392,28035,35601
4035857,Cameron,Goode,California,75,235,19,4,LB,Spring,TX,USA,30.0798826,-95.4172549,48201,36967
4035859,Traveon,Beck,California,69,165,22,4,CB,Paramount,CA,USA,33.898917,-118.171005,06037,35951
4035861,Camryn,Bynum,California,72,200,24,4,CB,Corona,CA,USA,33.8752945,-117.5664449,06065,36012
4035864,Gentle,Williams,California,75,295,64,4,OL,Florence,MS,USA,32.1534836,-90.1311971,28121,36841
4035870,Jake,Curhan,California,78,330,71,4,OL,Larkspur,CA,USA,37.9340915,-122.5352539,06041,36060
4035875,Evan,Weaver,California,75,235,89,4,LB,Spokane,WA,USA,47.6579425,-117.4212265,53063,36092
4035877,Chinedu,Udeogu,California,76,270,91,3,LB,Inverness,IL,USA,42.1180815,-88.0961865,17031,37008
4035878,Tevin,Paul,California,76,260,96,3,LB,Austin,TX,USA,30.2711286,-97.7436995,48453,36842
4046519,Kekoa,Crawford,California,73,180,11,4,WR,Rancho Santa Margarita,CA,USA,33.6408845,-117.6029341,06059,35303
4242402,Elijah,Hicks,California,71,200,3,4,S,Long Beach,CA,USA,33.7690164,-118.1916048,06037,38959
4242406,Gabriel,Cherry,California,77,280,92,2,DE,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,39689
4242408,Chase,Garbers,California,74,225,7,3,QB,Newport Beach,CA,USA,33.6170092,-117.9294401,06059,38957
4242410,Jeremiah,Hawkins,California,68,180,10,3,WR,Buena Park,CA,USA,33.870413,-117.9962165,06059,39329
4242411,Ben,Moos,California,76,230,15,2,LB,Pullman,WA,USA,46.7304268,-117.173895,53075,39847
4242412,Poutasi,Poutasi,California,76,340,70,3,OL,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,39532
4242413,Gavin,Reinwald,California,75,235,84,3,TE,Elk Grove,CA,USA,38.4087993,-121.3716178,06067,41716
4242414,Michael,Saffell,California,74,290,53,4,OL,Huntington Beach,CA,USA,33.6783336,-118.0000166,06059,40031
4242415,Daniel,Scott,California,74,200,32,3,S,Pasadena,CA,USA,34.1476452,-118.1444779,06037,40217
4242416,Branden,Smith,California,70,175,18,3,CB,Lancaster,CA,USA,34.6981064,-118.1366153,06037,39673
4360475,Chigozie,Anusiem,California,73,200,7,2,CB,La Habra,CA,USA,33.9330156,-117.944777,06059,43445
4360479,Jasper,Friis,California,79,340,77,1,OL,Starnberg,No data,Germany,No data,No data,No data,44051
4361415,Isaiah,Humphries,California,71,215,25,3,S,Rowlett,TX,USA,32.9029017,-96.56388,48113,43384
4372716,Nikko,Remigio,California,70,185,4,3,WR,Orange,CA,USA,33.7872568,-117.8503088,06059,43227
4372722,Joseph,Ogunbanjo,California,75,240,13,2,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,43600
4372724,Parker,Bosche,California,76,225,40,2,LB,Berkeley,CA,USA,37.8708393,-122.2728639,06001,46642
4372727,Slater,Zellers,California,73,225,45,2,LS,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,45226
4372729,JH,Tevis,California,76,280,47,2,DE,Piedmont,CA,USA,37.8243715,-122.231635,06001,44275
4372730,Nick,Alftin,California,77,225,88,2,TE,Woodside,CA,USA,37.4299388,-122.2538557,06081,43851
4372732,Evan,Tattersall,California,74,230,54,2,LB,Granite Bay,CA,USA,38.7632346,-121.1638361,06061,43731
4372735,Zach,Angelillo,California,74,225,42,2,FB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,45429
4372736,Miles,Owens,California,78,350,95,1,OL,Oakland,CA,USA,37.8044557,-122.2713563,06001,43875
4372738,Matthew,Cindric,California,76,295,73,2,OL,Sammamish,WA,USA,47.6088445,-122.0423067,53033,44023
4372739,Will,Craig,California,77,285,74,2,OL,Granite Bay,CA,USA,38.7632346,-121.1638361,06061,43199
4372740,Brandon,Mello,California,78,290,78,2,OL,Clayton,CA,USA,37.9410341,-121.9357925,06013,43852
4372741,McCallan,Castles,California,77,235,82,1,TE,South Lake Tahoe,CA,USA,38.9332411,-119.9843482,06017,43300
4372742,Monroe,Young,California,72,205,14,2,WR,Las Cruces,NM,USA,32.3140354,-106.7798078,35013,44522
4372744,Aaron,Maldonado,California,75,275,97,3,NT,La Puente,CA,USA,34.01979,-117.9503677,06037,43599
4426577,Blake,Antzoulatos,California,74,235,51,1,LB,Simi Valley,CA,USA,34.2694474,-118.781482,06111,47597
4426770,Spencer,Brasch,California,76,200,13,1,QB,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,47356
4426994,Braxten,Croteau,California,77,255,52,2,LB,Peoria,AZ,USA,33.5806115,-112.2372942,04013,47495
4427100,Brian,Driscoll,California,76,305,60,1,OL,San Diego,CA,USA,32.7174209,-117.1627714,06073,48669
4427226,Cal,Frank,California,79,270,66,1,OL,Westlake Village,CA,USA,34.1460234,-118.8061794,06037,49717
4427602,Myles,Jernigan,California,75,205,33,1,LB,Grand Prairie,TX,USA,32.657368000000005,-97.02846624175038,48113,47856
4427891,Jaylen,Martin,California,74,180,30,1,CB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,47832
4427997,McKade,Mettauer,California,76,300,72,2,OL,The Woodlands,TX,USA,30.1734194,-95.504686,48339,47592
4428035,Elijah,Mojarro,California,76,240,81,1,TE,Orange,CA,USA,33.7872568,-117.8503088,06059,47833
4428201,Orin,Patu,California,76,230,48,1,LB,Seattle,WA,USA,47.6038321,-122.3300624,53033,47352
4428290,Ryan,Puskas,California,75,235,59,1,LB,Peoria,AZ,USA,33.5806115,-112.2372942,04013,48234
4428305,Gunnar,Rask,California,74,305,94,1,NT,Concord,CA,USA,37.9768525,-122.0335624,06013,50126
4428382,Brayden,Rohme,California,78,280,63,1,OL,Chandler,AZ,USA,33.3062223,-111.8413317,04013,48046
4428930,Craig,Woodson,California,72,195,26,1,S,Grand Prairie,TX,USA,32.657368000000005,-97.02846624175038,48113,48345
4429316,DeCarlos,Brooks,California,69,195,25,1,RB,Chandler,AZ,USA,33.3062223,-111.8413317,04013,47750
4430325,Makai,Polk,California,75,200,10,3,WR,Richmond,CA,USA,37.9357576,-122.3477486,06013,48078
4430793,Curley,Young Jr.,California,73,220,41,1,LB,Pflugerville,TX,USA,30.4393696,-97.6200043,48453,47614
4569238,Lucas,Allen,California,74,205,87,1,WR,Moraga,CA,USA,37.834897,-122.12883,06013,50424
4569240,Ben,Coleman,California,76,320,62,1,OL,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,47434
4569249,Kyle,Smith,California,75,230,50,1,LB,Los Gatos,CA,USA,37.226611,-121.9746797,06085,47686
4569251,Miles,Williams,California,72,180,13,1,S,Mansfield,TX,USA,32.5631924,-97.1416768,48439,47696
4570135,Brett,Johnson,California,77,290,90,2,DL,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,47215
