ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
530931,Faton,Bauta,Colorado State,75,No data,5,No data,QB,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,22470
532689,Nolan,Peralta,Colorado State,75,No data,32,No data,TE,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,24718
532692,Johnny,Schupp,Colorado State,77,No data,98,No data,DL,Vacaville,CA,USA,38.3565773,-121.9877444,06095,24710
532696,Jordon,Vaden,Colorado State,75,No data,11,No data,DB,Henderson,CO,USA,39.9205405,-104.8658084,08001,23217
532699,Fred,Zerblis,Colorado State,74,No data,54,No data,OL,Grayson,GA,USA,33.8942729,-83.95574,13135,24621
533047,Kevin,Davis,Colorado State,74,No data,33,No data,LB,Fountain,CO,USA,38.70437675,-104.71025954018519,08041,23487
546237,Deonte,Clyburn,Colorado State,72,230,12,No data,LB,Louisville,KY,USA,38.2542376,-85.759407,21111,27684
546238,Evan,Colorito,Colorado State,76,250,43,No data,LB,Beaverton,OR,USA,45.4871723,-122.8037804,41067,26354
546252,Elroy,Masters Jr.,Colorado State,No data,No data,No data,No data,WR,No data,No data,No data,No data,No data,No data,26865
546258,Bryce,Peters,Colorado State,70,No data,24,No data,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,26706
546259,Adrian,Robinson,Colorado State,77,No data,85,No data,DL,Charlotte,NC,USA,35.2272,-80.843083,37119,27762
546261,Kiel,Robinson,Colorado State,74,230,15,No data,LB,San Marcos,CA,USA,33.1433723,-117.1661449,06073,27154
546263,Jake,Schlager,Colorado State,71,195,8,No data,S,McCook,NE,USA,40.2006859,-100.6257666,31145,27290
546264,Tyree,Simmons,Colorado State,71,No data,5,No data,DB,Gardena,CA,USA,33.8963593,-118.3053037,06037,27285
546267,Nick,Stevens,Colorado State,75,215,7,No data,QB,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,26027
546268,Justin,Sweet,Colorado State,70,185,29,No data,S,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,26791
546270,Xavier,Williams,Colorado State,75,No data,84,No data,WR,San Diego,CA,USA,32.7174209,-117.1627714,06073,27832
550169,Dalyn,Dawkins,Colorado State,69,185,1,No data,RB,Louisville,KY,USA,38.2542376,-85.759407,21111,25687
3124385,Wyatt,Bryan,Colorado State,73,175,96,4,PK,Larkspur,CO,USA,39.2288481,-104.8844945,08035,31700
3124391,Colton,Foster,Colorado State,75,295,99,No data,DL,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,31074
3124392,John,Freismuth,Colorado State,77,225,80,No data,TE,Loveland,CO,USA,40.385549,-105.04436132094955,08069,30590
3124398,Shun,Johnson,Colorado State,71,170,17,No data,CB,Denver,CO,USA,39.7392364,-104.9848623,08031,31117
3124399,Devin,Jones,Colorado State,70,No data,28,No data,CB,Vallejo,CA,USA,38.1040864,-122.2566367,06095,31051
3124459,Kevin,Nutt Jr.,Colorado State,70,190,10,No data,CB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,30051
3124513,Trey,Smith,Colorado State,72,195,27,No data,WR,Castle Rock,CO,USA,39.3724232,-104.8586706,08035,30846
3124516,Demontrie,Taylor,Colorado State,70,No data,7,No data,DB,Denton,TX,USA,33.2150386,-97.1330516,48121,31182
3124517,Tre,Thomas,Colorado State,74,223,52,4,LB,Denver,CO,USA,39.7392364,-104.9848623,08031,30373
3124520,Josh,Watson,Colorado State,74,240,55,4,LB,Blue Springs,MO,USA,39.017316,-94.282265,29095,30327
3124521,Marcus,Wilson,Colorado State,70,190,23,No data,WR,Aurora,CO,USA,39.729432,-104.8319196,08005,31035
3917065,O'Shea,Jackson,Colorado State,73,No data,56,No data,DL,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,34674
3917067,Olabisi,Johnson,Colorado State,72,203,81,4,WR,Lakewood,CO,USA,39.631108499999996,-105.11005818223015,08059,33681
3917068,Richard,King,Colorado State,76,275,95,3,DL,Aurora,CO,USA,39.729432,-104.8319196,08005,33987
