ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
530478,Thomas,Sirk,East Carolina,76,220,10,No data,QB,Glen St. Mary,FL,USA,30.2757913,-82.1606689,12003,23131
545643,Randall,Anderson,East Carolina,76,257,90,No data,DE,New Castle,DE,USA,39.6620572,-75.5663132,10003,57386
546631,Tyshon,Dye,East Carolina,71,220,22,No data,RB,Elberton,GA,USA,34.1112226,-82.8670839,13105,25121
546643,Korrin,Wiggins,East Carolina,72,200,15,No data,DB,Durham,NC,USA,35.996653,-78.9018053,37063,25619
552789,Austin,Barnes,East Carolina,71,217,17,No data,P,Fairview Heights,IL,USA,38.5889386,-89.990382,17163,27809
552937,Davon,Grayson,East Carolina,74,187,85,No data,WR,Suffolk,VA,USA,36.7282096,-76.5835703,51800,27210
552945,Mike,Myers,East Carolina,72,283,92,No data,DT,Goose Creek,SC,USA,32.9961038,-80.0387292,45015,27600
552946,Travis,Phillips,East Carolina,71,178,14,No data,DB,Montpelier,VA,USA,37.8212538,-77.6844345,51085,27253
552949,Xavier,Smith,East Carolina,74,190,10,3,LB,Raleigh,NC,USA,35.7803977,-78.6390989,37183,26821
559728,Derrell,Scott,East Carolina,71,194,24,No data,RB,Havelock,NC,USA,34.8785,-76.9014457,37049,28335
3116053,Gaelin,Elmore,East Carolina,78,275,87,No data,DL,Somerset,WI,USA,45.1244108,-92.6735365,55109,28882
3116463,Tyree,Owens,East Carolina,76,285,56,No data,DL,Oviedo,FL,USA,28.6702526,-81.2084941,12117,55701
3126139,Anthony,Scott,East Carolina,69,200,3,4,RB,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,29697
3126140,Malik,Gray,East Carolina,73,197,4,No data,WR,Inman,SC,USA,35.0470617,-82.0901088,45083,30854
3126141,Corey,Seargent,East Carolina,72,179,5,4,DB,Rock Hill,SC,USA,34.9248667,-81.0250784,45091,29922
3126145,Quay,Johnson,East Carolina,70,184,23,No data,WR,Knightdale,NC,USA,35.7878975,-78.4822938,37183,30506
3126146,Ray,Tillman,East Carolina,73,215,21,4,LB,Lithonia,GA,USA,33.7123305,-84.1051939,13089,29638
3126147,Joe,Carter,East Carolina,74,223,30,No data,ILB,Ponte Vedra,FL,USA,30.2274645,-81.3800824,12109,31083
3126152,Shaun,James,East Carolina,76,263,50,4,DT,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,29895
3126157,Messiah,Rice,East Carolina,77,294,78,No data,OL,Orangeburg,SC,USA,33.4918203,-80.8556476,45075,29532
3126158,Stephen,Baggett,East Carolina,77,247,86,No data,TE,Beaufort,SC,USA,32.4315813,-80.6698286,45013,30159
3126159,Terrell,Green,East Carolina,76,200,15,4,WR,Charleston,SC,USA,32.7876012,-79.9402728,45019,30241
3126160,Trevon,Brown,East Carolina,74,215,88,4,WR,Wilmington ,NC,USA,34.2257282,-77.9447107,37129,27421
3126162,Demage,Bailey,East Carolina,77,294,97,No data,DL,Clayton,NC,USA,35.650711,-78.4563914,37101,27342
3843216,Tim,Irvin,East Carolina,69,197,1,3,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,32142
3914177,Tony,Baird,East Carolina,75,225,41,3,DE,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,30756
3914182,Deondre,Farrier,East Carolina,73,191,1,4,WR,Orlando,FL,USA,28.5421109,-81.3790304,12095,32828
4038512,Sean,Bailey,East Carolina,78,322,75,4,OL,Cumming,GA,USA,34.2073196,-84.1401926,13117,36858
4038513,Keyshawn,Canady,East Carolina,72,189,31,2,DB,Wallace,NC,USA,34.735724,-77.9952628,37061,36722
4038514,Tahj,Deans,East Carolina,74,184,8,2,WR,Bailey,NC,USA,35.7809129,-78.118429,37127,36372
4038515,Jack,Doyle,East Carolina,76,285,68,3,OL,Wake Forest,NC,USA,35.9803138,-78.5103731,37183,37135
4038516,Kendall,Futrell,East Carolina,74,226,44,4,DL,Winterville,NC,USA,35.5290511,-77.4010762,37147,37117
4038518,Colby,Gore,East Carolina,71,180,26,4,DB,Little River,SC,USA,33.8727006,-78.6232583,45051,33879
4038519,Cortez,Herrin,East Carolina,75,342,70,4,OL,Saluda,SC,USA,34.0015232,-81.7720522,45081,36772
4038520,Reid,Herring,East Carolina,75,203,9,3,QB,Raleigh,NC,USA,35.7803977,-78.6390989,37183,36397
4038521,Hussein,Howe,East Carolina,69,175,6,4,RB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,35891
4038524,Gardner,Minshew,East Carolina,74,216,5,No data,QB,Brandon,MS,USA,32.2731475,-89.9868058,28121,33639
4038524,Gardner,Minshew,East Carolina,74,216,5,No data,QB,Brandon,MS,USA,32.2731475,-89.9868058,28121,55303
4038560,Branden,Pena,East Carolina,74,288,54,4,OL,Salinas,CA,USA,36.6744117,-121.6550372,06053,55410
4038561,Jalen,Price,East Carolina,74,279,93,4,DL,Williamston,NC,USA,35.8546039,-77.0555114,37117,37786
4038562,Chance,Purvis,East Carolina,76,233,46,3,DL,Meridian,MS,USA,32.3643098,-88.703656,28075,37319
4038563,Raequan,Purvis,East Carolina,74,301,89,2,DT,Plymouth,NC,USA,35.8668281,-76.7485555,37187,37078
4038564,Aaron,Ramseur,East Carolina,73,223,51,4,LB,Shelby,NC,USA,35.2919489,-81.5402112,37045,37366
4038565,D'Ante,Smith,East Carolina,76,274,67,4,OL,Augusta,GA,USA,33.4709714,-81.9748429,13245,36563
4038568,Kenyon,Taylor,East Carolina,74,182,45,2,WR,High Point,NC,USA,35.9556924,-80.0053176,37081,37455
4038569,Alex,Turner,East Carolina,74,274,94,4,DL,Houston,TX,USA,29.7589382,-95.3676974,48201,38207
4038571,Anthony,Watley,East Carolina,75,240,80,4,TE,Jacksonville,FL,USA,30.3321838,-81.655651,12031,37133
4239389,Taijh,Alston,East Carolina,76,250,12,3,DL,Vass,NC,USA,35.2562684,-79.2822491,37125,40098
4239390,Bruce,Bivens,East Carolina,72,229,5,4,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,40739
4239400,Kingsley,Ifedi,East Carolina,75,222,2,1,QB,Charlotte,NC,USA,35.2272,-80.843083,37119,39800
4239405,Darius,Pinnix Jr.,East Carolina,72,224,40,3,RB,Burlington,NC,USA,36.0956918,-79.4377991,37001,41054
4239409,John,Spellacy,East Carolina,73,290,58,3,OL,Westlake,OH,USA,41.4553232,-81.9179174,39035,40956
4239411,Mydreon,Vines,East Carolina,73,180,19,3,WR,Greenville,NC,USA,35.612661,-77.3663538,37147,40853
4257572,Duce,Fuller,East Carolina,70,167,89,1,WR,Greenville,NC,USA,35.612661,-77.3663538,37147,41690
