ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3125825,Ross,Williams,Eastern Michigan,71,174,14,4,DB,Birmingham,MI,USA,42.5467012,-83.2113192,01073,31340
3125827,Lemar,Harris,Eastern Michigan,74,199,16,4,WR,Raleigh,NC,USA,35.7803977,-78.6390989,37183,29580
3125830,Ian,Eriksen,Eastern Michigan,70,207,25,4,RB,Clarkston,MI,USA,42.735863,-83.4188304,26125,31198
3125833,Shaq,Vann,Eastern Michigan,70,222,5,4,RB,South Bend,IN,USA,41.6833813,-86.2500066,18141,29861
3125839,Kyle,Rachwal,Eastern Michigan,75,237,51,4,LB,Lapeer,MI,USA,43.0514161,-83.3188341,26087,30329
3125853,Jeremiah,Harris,Eastern Michigan,77,251,90,4,DL,Lambertville,MI,USA,41.7658819,-83.6279921,26115,31134
3134271,Jesse,Kelly,Eastern Michigan,73,199,21,4,PK,Ventura,CA,USA,34.3435092,-119.29560423163717,06111,42643
3144983,Tyler,Wiegers,Eastern Michigan,76,227,12,4,QB,Lake Orion,MI,USA,42.7844752,-83.2396612,26125,28661
3916616,Isaac,Holder,Eastern Michigan,71,170,11,4,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,34382
3916617,Ikie,Calderon,Eastern Michigan,69,182,7,4,DB,Neptune,NJ,USA,40.2239981,-74.0478216,34025,55090
3916628,Jaylen,Pickett,Eastern Michigan,73,224,6,4,LB,Zephyrhills,FL,USA,28.2336196,-82.1811947,12101,34431
3916632,Brody,Hoying,Eastern Michigan,71,210,24,4,DB,Coldwater,OH,USA,40.4797688,-84.628291,39107,33781
3916635,Breck,Turner,Eastern Michigan,73,210,33,4,RB,Norwalk,OH,USA,41.2425531,-82.6157331,39077,33246
3916642,Clay,Holford,Eastern Michigan,74,255,91,4,DL,Carrollton,TX,USA,32.9537349,-96.8902816,48113,34549
3916651,Eddie,Daugherty,Eastern Michigan,67,170,40,4,WR,Mentor,OH,USA,41.6661573,-81.339552,39085,34750
3916653,Bryce,Kemp,Eastern Michigan,77,250,88,4,TE,Baxter,IA,USA,41.8260998,-93.1515905,19099,34559
3916655,Maxx,Crosby,Eastern Michigan,77,247,92,3,DL,Colleyville,TX,USA,32.8809603,-97.155012,48439,34739
