ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
513571,Anthon,Samuel,Florida International,72,No data,6,No data,RB,Miami,FL,USA,25.7742658,-80.1936589,12086,21526
515612,Richard,Leonard,Florida International,69,No data,3,No data,CB,Miami,FL,USA,25.7742658,-80.1936589,12086,21043
519984,Ya'Keem,Griner,Florida International,76,No data,80,No data,TE,Starke,FL,USA,29.9443488,-82.1101137,12007,21943
519999,Clinton,Taylor,Florida International,70,No data,5,No data,WR,Miami,FL,USA,25.7742658,-80.1936589,12086,21276
536559,Chris,Ayers,Florida International,72,No data,16,No data,P,Hollywood,FL,USA,26.0112014,-80.1494901,12011,24364
536561,Lamarq,Caldwell,Florida International,72,No data,36,No data,RB,Tampa,FL,USA,27.9477595,-82.458444,12057,23712
536562,Marques,Cheeks,Florida International,75,No data,94,No data,DT,New Orleans,LA,USA,29.9499323,-90.0701156,22071,23525
536563,Davison,Colimon,Florida International,73,No data,35,No data,S,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,24277
536564,Jordan,Davis,Florida International,73,No data,18,No data,S,Tampa,FL,USA,27.9477595,-82.458444,12057,24407
536569,Josh,Glanton,Florida International,75,No data,24,No data,DL,Haines City,FL,USA,28.1067315,-81.6287423,12105,24524
536576,Dieugot,Joseph,Florida International,78,No data,78,No data,OT,Orlando,FL,USA,28.5421109,-81.3790304,12095,24155
536580,Jeremiah,McKinnon,Florida International,73,No data,7,No data,CB,Miami,FL,USA,25.7742658,-80.1936589,12086,23977
536590,Leonard,Washington,Florida International,72,No data,98,No data,DT,New Orleans,LA,USA,29.9499323,-90.0701156,22071,24418
536591,Deonte,Wilson,Florida International,72,No data,28,No data,S,Daytona Beach,FL,USA,29.2108147,-81.0228331,12127,24821
551255,Jordan,Budwig,Florida International,76,311,66,4,G,Ft. Lauderdale,FL,USA,26.1223084,-80.1433786,12011,26851
551261,Jordan,Guest,Florida International,76,221,57,No data,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,27450
551264,Xavier,Hines,Florida International,71,No data,27,No data,CB,Miami,FL,USA,25.7742658,-80.1936589,12086,26180
551270,Wilkenson,Myrtil,Florida International,72,No data,38,No data,CB,Orlando,FL,USA,28.5421109,-81.3790304,12095,27621
551272,Shug,Oyegunle,Florida International,69,No data,9,No data,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,27151
551276,Alfonso,Randolph,Florida International,71,No data,37,No data,RB,Ocala,FL,USA,29.1871986,-82.1400923,12083,27346
551279,Jonnu,Smith,Florida International,75,No data,87,No data,TE,Ocala,FL,USA,29.1871986,-82.1400923,12083,27275
551283,Vontarius,West,Florida International,72,No data,29,No data,LB,Bartow,FL,USA,27.885186599999997,-81.81408775862916,12105,26069
551284,Treyvon,Williams,Florida International,72,230,52,4,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,27090
3128840,Alex,Gardner,Florida International,70,192,1,No data,RB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,30022
3128843,Alex,McGough,Florida International,75,218,12,No data,QB,Tampa,FL,USA,27.9477595,-82.458444,12057,29890
3128844,Dennis,Turner,Florida International,73,175,6,No data,WR,Ft. Lauderdale,FL,USA,26.1223084,-80.1433786,12011,29494
3128845,Mark,Bruno,Florida International,70,No data,22,No data,DB,Pembroke Pines,FL,USA,26.02322025,-80.34123906625615,12011,30280
3128846,Napoleon,Maxwell,Florida International,72,215,23,4,RB,Saint Petersburg,FL,USA,27.7703796,-82.6695085,12103,30676
3128850,Fred,Russ,Florida International,72,228,41,No data,LB,Tampa,FL,USA,27.9477595,-82.458444,12057,30852
3128852,Thomas,Owens,Florida International,73,198,81,No data,WR,Boynton Beach,FL,USA,26.5256179,-80.0666026,12099,31320
3128853,Anthony,Wint,Florida International,72,224,53,No data,LB,Homestead,FL,USA,25.4718946,-80.4759905,12086,30257
3128859,Kai,Absheer,Florida International,77,310,79,4,OL,Oakland Park,FL,USA,26.180144300000002,-80.13720059548373,12011,31386
3128861,Anthony,Johnson,Florida International,75,266,91,No data,DL,Kingsland,GA,USA,30.7999563,-81.6898261,13039,30621
3128862,John,Broome,Florida International,74,245,92,4,DL,Plant City,FL,USA,28.01806015,-82.11848198507127,12057,30530
3128863,Jermaine,Sheriff,Florida International,74,275,99,4,DL,Ft. Lauderdale,FL,USA,26.1223084,-80.1433786,12011,30991
3914305,Anthony,Jones,Florida International,71,215,2,4,RB,Miami,FL,USA,25.7742658,-80.1936589,12086,33379
3914306,Christian,Alexander,Florida International,75,225,8,3,QB,Lakeland,FL,USA,28.0394654,-81.9498042,12105,33249
3914308,Kenyatta,Anderson,Florida International,72,No data,21,No data,DB,St. Petersburg,FL,USA,27.7703796,-82.6695085,12103,33394
3914309,Tyree,Johnson,Florida International,69,185,31,3,DB,Miami Gardens,FL,USA,25.9423108,-80.23976495072381,12086,30853
3914313,Fermin,Silva,Florida International,74,240,9,4,DL,Miami,FL,USA,25.7742658,-80.1936589,12086,33095
3921630,Stone,Wilson,Florida International,70,180,6,3,P,Nokomis,FL,USA,27.1192213,-82.4442629,12115,34325
3921634,Emmanuel,Lubin,Florida International,73,190,20,4,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,33940
3921636,Collin,Olsen,Florida International,72,228,32,3,RB,Port Orange,FL,USA,29.101628050000002,-81.01059617608054,12127,34427
3921639,Milord,Juste,Florida International,73,285,46,4,DL,Palm Beach Gardens,FL,USA,26.8418256,-80.13590694666684,12099,33934
3921645,Julian,Williams,Florida International,71,190,5,No data,WR,Suwanee,GA,USA,34.0514898,-84.0712997,13135,35011
4046364,Shane,McGough,Florida International,74,302,55,4,OL,Tampa,FL,USA,27.9477595,-82.458444,12057,37872
