ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
514121,Lamarcus,Brutus,Florida State,72,No data,42,No data,DB,Port St. Lucie,FL,USA,27.2939333,-80.3503283,12111,20186
515409,Everett,Golson,Florida State,72,No data,6,No data,QB,Myrtle Beach,SC,USA,33.6956461,-78.8900409,45051,19837
517364,Tyler,Hunter,Florida State,71,No data,1,No data,DB,Valdosta,GA,USA,30.8327022,-83.2784851,13185,19991
517381,Keelin,Smith,Florida State,75,No data,37,No data,DB,Fort Pierce,FL,USA,27.4467056,-80.3256056,12111,19886
517382,Terrance,Smith,Florida State,76,No data,24,No data,LB,Decatur,GA,USA,33.7737582,-84.296069,13089,19844
530282,Cason,Beatty,Florida State,75,No data,38,No data,P,Charlotte,NC,USA,35.2272,-80.843083,37119,23604
530299,Sean,Maguire,Florida State,75,No data,10,No data,QB,Sparta,NJ,USA,41.0401567,-74.6310081,34037,22599
530301,Reggie,Northrup,Florida State,73,No data,5,No data,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,22369
530302,Mario,Pender,Florida State,70,No data,7,No data,RB,Cape Coral,FL,USA,26.6059432,-81.9806771,12071,22073
530303,Justin,Shanks,Florida State,74,No data,92,No data,DT,Prattville,AL,USA,32.4640245,-86.4596966,01001,22192
535422,Roberto,Aguayo,Florida State,73,No data,19,No data,PK,Mascotte,FL,USA,28.5783313,-81.8867452,12069,22809
546778,Nate,Andrews,Florida State,72,214,29,No data,DB,Fairhope,AL,USA,30.507956,-87.89742922432941,01003,25649
546794,Ryan,Green,Florida State,70,204,7,No data,RB,St. Petersburg,FL,USA,27.7703796,-82.6695085,12103,25006
546798,Ro'Derrick,Hoskins,Florida State,75,240,18,No data,LB,Orlando,FL,USA,28.5421109,-81.3790304,12095,25362
546801,Jeremy,Kerr,Florida State,78,No data,85,No data,TE,St. Petersburg,FL,USA,27.7703796,-82.6695085,12103,26383
546810,Jalen,Ramsey,Florida State,73,No data,8,No data,DB,Smyrna,TN,USA,35.9828413,-86.5186045,47149,24971
546812,Freddie,Stevenson,Florida State,73,No data,23,No data,FB,Bartow,FL,USA,27.885186599999997,-81.81408775862916,12105,25303
546813,Matthew,Thomas,Florida State,76,227,6,No data,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,24964
546814,DeMarcus,Walker,Florida State,76,No data,44,No data,DE,Jacksonville,FL,USA,30.3321838,-81.655651,12031,24992
546815,Marquez,White,Florida State,72,No data,27,No data,DB,Dothan,AL,USA,31.2237434,-85.3933906,01069,25272
546816,Kermit,Whitfield,Florida State,68,No data,8,No data,WR,Orlando,FL,USA,28.5421109,-81.3790304,12095,25228
546817,Jesus,Wilson,Florida State,70,No data,3,No data,WR,Miami,FL,USA,25.7742658,-80.1936589,12086,25445
3116593,Dalvin,Cook,Florida State,71,No data,4,No data,RB,Miami,FL,USA,25.7742658,-80.1936589,12086,28221
3116599,Stephen,Gabbard,Florida State,74,248,47,No data,LS,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,30938
3116602,Trey,Marshall,Florida State,72,210,20,No data,DB,Lake City,FL,USA,30.1896756,-82.6392899,12023,28379
3122915,Demarcus,Christmas,Florida State,76,308,90,4,DT,Bradenton,FL,USA,27.4989278,-82.5748194,12081,28346
3122917,Alec,Eberle,Florida State,76,295,54,4,OL,Mechanicsville,VA,USA,37.6193174,-77.3369627,51085,28662
3122919,Ja'Vonn,Harrison,Florida State,74,No data,13,No data,WR,Lakeland,FL,USA,28.0394654,-81.9498042,12105,28406
3122920,Ryan,Izzo,Florida State,77,245,81,No data,TE,Highland Lakes,NJ,USA,41.1732669,-74.45902935626548,34037,28675
3122921,Malique,Jackson,Florida State,72,170,28,No data,WR,Jesup,GA,USA,31.6074365,-81.8853924,13305,28753
3122924,Fredrick,Jones,Florida State,74,303,55,4,DT,Miami,FL,USA,25.7742658,-80.1936589,12086,29585
3122926,Ermon,Lane,Florida State,75,209,7,No data,DB,Homestead,FL,USA,25.4718946,-80.4759905,12086,28232
3122927,Rick,Leonard,Florida State,79,306,76,No data,OL,Middletown,MD,USA,39.4437567,-77.5454038,24021,28547
3122930,Derrick,Nnadi,Florida State,73,312,91,No data,DT,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,28307
3122932,Jacob,Pugh,Florida State,76,229,16,No data,OLB,Dade City,FL,USA,28.3647248,-82.1959178,12101,28279
3122934,Brock,Ruble,Florida State,80,325,71,4,OL,La Plata,MD,USA,38.5292877,-76.9752514,24017,28715
3122935,Travis,Rudolph,Florida State,73,No data,15,No data,WR,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,28251
3122936,Mavin,Saunders,Florida State,77,256,89,4,TE,Bimini,BS,Bahamas,No data,No data,No data,28463
3122939,Johnathan,Vickers,Florida State,73,235,26,4,TE,Quincy,FL,USA,30.5871948,-84.5832619,12039,28693
3122940,Arthur,Williams,Florida State,76,316,12,4,OL,Waycross,GA,USA,31.2135511,-82.3540178,13299,29120
3691739,Derwin,James,Florida State,75,211,3,No data,DB,Haines City,FL,USA,28.1067315,-81.6287423,12105,31864
3692779,Da'Vante,Phillips,Florida State,73,206,5,No data,WR,Miami,FL,USA,25.7742658,-80.1936589,12086,31958
3692942,George,Campbell,Florida State,76,183,15,4,WR,Clearwater,FL,USA,27.9658533,-82.8001026,12103,31878
3693033,Jacques,Patrick,Florida State,75,235,19,4,RB,Orlando,FL,USA,28.5421109,-81.3790304,12095,31899
3693166,Josh,Sweat,Florida State,77,250,9,No data,DE,Chesapeake,VA,USA,36.7183708,-76.2466798,51550,31867
3693281,Calvin,Brewton,Florida State,72,184,4,4,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,32167
3921561,Deondre,Francois,Florida State,73,204,12,3,QB,Orlando,FL,USA,28.5421109,-81.3790304,12095,31924
3921562,Marcus,Lewis,Florida State,73,197,8,4,DB,Prince George's County,MD,USA,38.803929,-76.8518695,24033,31998
3921563,Tarvarus,McFadden,Florida State,74,198,4,No data,DB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,31874
3921564,Auden,Tate,Florida State,77,225,18,No data,WR,Irmo,SC,USA,34.08846885,-81.18021121302588,45063,32123
3921565,A.J.,Westbrook,Florida State,72,193,19,4,DB,Daytona Beach,FL,USA,29.2108147,-81.0228331,12127,32257
3921569,Cole,Minshew,Florida State,77,330,70,4,OL,Pridgen,GA,USA,31.6966654,-82.9233528,13069,32392
3921571,Nyqwan,Murray,Florida State,71,185,80,4,WR,Orlando,FL,USA,28.5421109,-81.3790304,12095,32558
3921572,Jalen,Wilkerson,Florida State,77,273,30,No data,DE,Douglas,GA,USA,31.5088073,-82.8498654,13069,32327
3921574,Kevin,Robledo,Florida State,72,184,89,4,PK,Thousand Oaks,CA,USA,34.17142715,-118.91058772974445,06111,33170
4052022,Trey,Carter,Florida State,73,295,63,4,OL,Gainesville,FL,USA,29.6519684,-82.3249846,12001,38556
4241674,Josh,Newman,Florida State,72,200,21,3,S,St. Augustine,FL,USA,29.8946952,-81.3145395,12109,40703
