ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
550588,Delvon,Hardaway,Fresno State,73,No data,82,No data,WR,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,26459
3116390,Michiah,Quick,Fresno State,71,187,2,4,DB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,28264
3124537,KeeSean,Johnson,Fresno State,74,198,3,4,WR,Palo Alto,CA,USA,37.4443293,-122.1598465,06085,66922
3124538,Jamire,Jordan,Fresno State,71,170,1,4,WR,Lancaster,CA,USA,34.6981064,-118.1366153,06037,30369
3124547,Kyle,Riddering,Fresno State,78,237,89,4,TE,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,30116
3127332,Marcus,McMaryion,Fresno State,74,203,6,4,QB,Dinuba,CA,USA,36.5432837,-119.3870656,06107,29203
3133352,Matthew,Boateng,Fresno State,72,174,26,4,CB,Toronto,ON,Canada,No data,No data,No data,29778
3886823,Ricky,McCoy,Fresno State,74,303,99,4,DL,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,32967
3918043,Jared,Rice,Fresno State,77,243,16,4,TE,Modesto,CA,USA,37.6390972,-120.9968782,06099,33038
3918044,Mike,Bell,Fresno State,75,205,4,3,DB,Moreno Valley,CA,USA,33.937517,-117.2305944,06065,32784
3918046,James,Bailey,Fresno State,73,225,7,4,LB,Austin,TX,USA,30.2711286,-97.7436995,48453,33433
3918056,Patrick,Belony,Fresno State,73,310,94,4,DT,N. Miami Beach,FL,USA,25.9331488,-80.1625463,12086,54929
4034844,Derrion,Grim,Fresno State,73,195,7,4,WR,Stockton,CA,USA,37.9577016,-121.2907796,06077,35965
4040892,Deonte,Perry,Fresno State,72,191,17,4,DB,Canoga Park,CA,USA,34.2010776,-118.5978259,06037,36472
4040893,Jeffrey,Allison,Fresno State,72,250,9,3,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,37168
4040895,Jaron,Bryant,Fresno State,73,185,14,4,DB,Fort Worth,TX,USA,32.753177,-97.3327459,48439,37271
4040899,Justin,Rice,Fresno State,74,225,3,4,LB,Modesto,CA,USA,37.6390972,-120.9968782,06099,36586
4040901,Juju,Hughes,Fresno State,71,188,23,4,DB,Hanford,CA,USA,36.3274502,-119.6456844,06031,67293
4040902,Bryson,Oglesby,Fresno State,71,205,25,4,DB,Sugar Land,TX,USA,29.6196787,-95.6349463,48157,32715
4040903,Saevion,Johnson,Fresno State,72,228,24,4,RB,Pearland,TX,USA,29.5639758,-95.2864299,48039,38225
4040906,Andrew,Wright,Fresno State,78,234,31,4,DE,Buena Park,CA,USA,33.870413,-117.9962165,06059,37902
4040909,Tainoa,Foster,Fresno State,74,200,50,2,LB,Honolulu,HI,USA,21.304547,-157.8556764,15003,37444
4040910,Netane,Muti,Fresno State,75,307,52,3,OL,Wahiawa,HI,USA,21.500624100000003,-158.0166720181598,15003,37821
4040913,Christian,Cronk,Fresno State,77,305,58,4,OL,Oceanside,CA,USA,33.1958696,-117.3794834,06073,33774
4040915,Quireo,Woodley,Fresno State,76,320,66,3,OL,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,36295
4040919,Kevin,Atkins,Fresno State,75,320,90,4,DT,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,37442
4056054,Leevel,Tatum III,Fresno State,73,259,44,4,DL,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,36594
4242991,Chris,Coleman,Fresno State,71,183,8,3,WR,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,41830
4242993,Anthoula,Kelly,Fresno State,70,183,6,4,DB,Glena Park,TX,USA,No data,No data,No data,30617
4242994,Wylan,Free,Fresno State,74,175,4,3,DB,Compton,CA,USA,33.894927,-118.226624,06037,39793
4243001,Zane,Pope,Fresno State,74,200,2,3,WR,Moorpark,CA,USA,34.285558,-118.8820414,06111,40622
4243003,Ronnie,Rivers,Fresno State,69,195,20,4,RB,Brentwood,CA,USA,37.9317766,-121.6960266,06013,40890
4243004,Jordan,Mims,Fresno State,72,203,7,3,RB,East Palo Alto,CA,USA,37.4688273,-122.1410751,06081,40634
4243007,Richard,Cage,Fresno State,74,207,42,3,LB,Corona,CA,USA,33.8752945,-117.5664449,06065,40301
4243010,Syrus,Tuitele,Fresno State,78,318,65,4,OL,Chico,CA,USA,39.7284945,-121.8374777,06007,39996
4243013,Dontae,Bull,Fresno State,79,335,72,3,OL,Victoria,BC,CAN,No data,No data,No data,41257
4361314,Isaiah,Johnson,Fresno State,75,250,18,3,DE,Modesto,CA,USA,37.6390972,-120.9968782,06099,43680
4373896,Shawn,Dourseau,Fresno State,71,191,27,2,S,Perris,CA,USA,33.7825194,-117.2286478,06065,45427
4373897,Sherwin,King Jr.,Fresno State,72,200,31,2,LB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,45623
4373909,Leonard,Payne Jr.,Fresno State,74,303,55,2,DT,Downey,CA,USA,33.942215,-118.1235646,06037,46301
4570449,Keric,Wheatfall,Fresno State,74,175,1,4,WR,Cypress,TX,USA,29.9691116,-95.6971686,48201,41479
