ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
545840,Kyler,Neal,Georgia State,71,215,25,No data,RB,Dallas,GA,USA,33.9237141,-84.8407732,13223,66531
545845,Mackendy,Cheridor,Georgia State,77,275,5,No data,DE,Decatur,GA,USA,33.7737582,-84.296069,13089,66503
545847,Trey,Payne,Georgia State,72,225,42,No data,LB,Warner Robins,GA,USA,32.6200973,-83.606568,13153,66605
545854,Daniel,Zeigler,Georgia State,77,240,54,No data,LS,Snellville,GA,USA,33.857328,-84.0199108,13135,66613
545857,Sebastian,Willer,Georgia State,77,285,74,No data,OT,Calhoun,GA,USA,34.502587,-84.9510542,13129,66593
550226,Conner,Manning,Georgia State,73,205,7,No data,QB,Lake Forest,CA,USA,33.6469261,-117.6859213,06059,26076
3124849,Chandon,Sullivan,Georgia State,71,195,10,No data,CB,Winder,GA,USA,33.9919085,-83.7184368,13013,31180
3124850,Emiere,Scaife,Georgia State,74,230,12,No data,TE,Charlotte,NC,USA,35.2272,-80.843083,37119,30115
3124855,Antreal,Allen,Georgia State,71,195,21,No data,S,Auburn,AL,USA,32.6550905,-85.50364346309962,01081,29569
3124857,Jerome,Smith,Georgia State,70,180,16,4,CB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,31243
3124861,B.J.,Clay,Georgia State,72,190,29,No data,CB,Dacula,GA,USA,33.9887165,-83.8979573,13135,27900
3124864,Ronald,Peterkin,Georgia State,72,185,31,No data,S,Stone Mountain,GA,USA,33.8080924,-84.1706273,13089,30923
3124866,Malik,Ricks,Georgia State,73,240,32,No data,DE,Lithonia,GA,USA,33.7123305,-84.1051939,13089,29973
3124868,Michael,Shaw,Georgia State,76,230,44,4,OLB,Suwanee,GA,USA,34.0514898,-84.0712997,13135,31242
3124882,Niemus,Bryant,Georgia State,73,225,34,No data,OLB,Columbus,GA,USA,32.4609764,-84.9877094,13215,31181
3128537,Todd,Boyd,Georgia State,71,185,15,No data,WR,Moultrie,GA,USA,31.179998,-83.7887928,13071,31175
3917540,Aaron,Winchester,Georgia State,74,190,11,3,QB,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,34072
3917542,Taz,Bateman,Georgia State,68,190,8,4,RB,Inglewood,CA,USA,33.9562003,-118.353132,06037,54952
3917543,Kendrick,Dorn,Georgia State,72,205,1,No data,WR,Fontana,CA,USA,34.0922335,-117.435048,06071,55035
3917546,Penny,Hart,Georgia State,68,180,18,3,WR,Buford,GA,USA,34.1206564,-84.0043513,13135,34203
3917548,Chase,Middleton,Georgia State,74,235,5,4,LB,Lilburn,GA,USA,33.8901036,-84.1429719,13135,33750
3917549,Ed,Curney,Georgia State,71,220,2,4,LB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,29899
3917555,Ari,Werts,Georgia State,76,235,88,No data,TE,Stone Mountain,GA,USA,33.8080924,-84.1706273,13089,30057
