ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
500215,Synjyn,Days,Georgia Tech,74,No data,10,No data,RB,Marietta,GA,USA,33.9528472,-84.5496148,13067,17977
500217,Shawn,Green,Georgia Tech,72,No data,97,No data,DL,Grayson,GA,USA,33.8942729,-83.95574,13135,17370
500218,Deon,Hill,Georgia Tech,72,No data,31,No data,RB,Phenix City,AL,USA,32.4709761,-85.0007653,01113,17693
500220,Isaiah,Johnson,Georgia Tech,74,No data,1,No data,S,Tyrone,GA,USA,33.4713249,-84.5972005,13113,17737
500225,Quayshawn,Nealy,Georgia Tech,73,No data,54,No data,LB,Lakeland,FL,USA,28.0394654,-81.9498042,12105,18113
500226,Charles,Perkins,Georgia Tech,72,No data,21,No data,RB,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,17799
500231,Tony,Zenon,Georgia Tech,68,No data,9,No data,RB,Albany,GA,USA,31.5782062,-84.1556809,13095,19182
513702,Jamal,Golden,Georgia Tech,72,No data,4,No data,DB,Wetumpka,AL,USA,32.5437448,-86.2119127,01051,20886
513703,Zach,Laskey,Georgia Tech,73,No data,37,No data,RB,Peachtree City,GA,USA,33.3967829,-84.5957629,13113,21024
513706,Jabari,Hunt-Days,Georgia Tech,75,No data,32,No data,LB,Marietta,GA,USA,33.9528472,-84.5496148,13067,19902
513712,Anthony,Harrell,Georgia Tech,74,No data,2,No data,LB,Tampa,FL,USA,27.9477595,-82.458444,12057,20546
513717,Tyler,Marcordes,Georgia Tech,76,No data,35,No data,LB,Normal,IL,USA,40.5117699,-88.9944815,17113,21135
513727,Darren,Waller,Georgia Tech,77,No data,88,No data,WR,Acworth,GA,USA,34.0659329,-84.6768796,13067,20470
517037,Corey,Dennis,Georgia Tech,74,No data,16,No data,WR,Troy,AL,USA,31.8087678,-85.969951,01109,21240
