ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3914611,Darius,Gilbert,Houston,75,200,29,4,S,Springhill,LA,USA,33.0059692,-93.4668396,22119,34434
3914623,Leroy,Godfrey,Houston,75,240,4,4,DL,Missouri City,TX,USA,29.6185669,-95.5377215,48157,33617
3914624,Jordan,Milburn,Houston,73,235,45,4,LB,Galveston,TX,USA,29.299328,-94.7945882,48167,34168
3914628,Jarrid,Williams,Houston,78,310,62,4,OL,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,34745
3914630,Josh,Jones,Houston,79,310,74,4,OL,Richmond,TX,USA,29.5821811,-95.7607832,48157,41856
3915427,Patrick,Carr,Houston,70,205,21,4,RB,The Woodlands,TX,USA,30.1734194,-95.504686,48339,32521
3915978,Nathan,Fox,Houston,74,227,45,3,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,32535
3932236,Colin,Samuel,Houston,74,200,29,4,CB,Long Beach,CA,USA,33.7690164,-118.1916048,06037,32186
4038558,Isaiah,Chambers,Houston,77,265,94,3,DL,Houston,TX,USA,29.7589382,-95.3676974,48201,35313
4039062,Kyle,Porter,Houston,69,210,22,4,RB,Katy,TX,USA,29.7857853,-95.8243956,48157,35450
4039284,Terry,Mark,Houston,73,195,17,4,WR,Lufkin,TX,USA,31.3386242,-94.7288558,48005,32743
4039294,Mulbah,Car,Houston,71,209,34,4,RB,Austin,TX,USA,30.2711286,-97.7436995,48453,35905
4039295,Keith,Corbin,Houston,74,200,2,4,WR,Beaumont,TX,USA,30.0860459,-94.1018461,48245,36033
4039296,Aymiel,Fleming,Houston,75,295,5,4,DL,La Marque,TX,USA,29.3685674,-94.9713134,48167,37034
4039299,Braylon,Jones,Houston,76,315,52,4,OL,Tyler,TX,USA,32.3512601,-95.3010624,48423,36298
4039300,D'Eriq,King,Houston,71,195,1,4,QB,Manvel,TX,USA,29.4664706,-95.355714,48039,35602
4039301,Courtney,Lark,Houston,74,200,9,4,WR,Bellaire,TX,USA,29.7057858,-95.4588299,48201,35461
4039302,Keenan,Murphy,Houston,75,298,77,4,OL,Crosby,TX,USA,29.9118885,-95.0621941,48201,36162
4039305,Javian,Smith,Houston,75,193,19,3,CB,Richmond,TX,USA,29.5821811,-95.7607832,48157,37297
4039306,Ka'Darian,Smith,Houston,73,186,16,4,CB,Spring,TX,USA,30.0798826,-95.4172549,48201,37137
4039307,Marquez,Stevenson,Houston,72,190,5,4,WR,Shreveport,LA,USA,32.5221828,-93.7651944,22017,35883
4039555,Jordan,Carmouche,Houston,74,230,40,3,LB,Manvel,TX,USA,29.4664706,-95.355714,48039,35732
4039555,Jordan,Carmouche,Houston,74,230,40,3,LB,Manvel,TX,USA,29.4664706,-95.355714,48039,56289
4047647,Deontay,Anderson,Houston,74,230,2,4,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,35235
4240251,Bryson,Smith,Houston,72,170,1,3,WR,Tyler,TX,USA,32.3512601,-95.3010624,48423,39805
4240253,Jeremy,Singleton,Houston,72,185,13,3,WR,New Orleans,LA,USA,29.9499323,-90.0701156,22071,39410
4240255,Grant,Stuard,Houston,73,225,No data,4,LB,Conroe,TX,USA,30.3118769,-95.4560512,48339,41409
4240257,Elijah,Gooden,Houston,73,215,26,3,LB,Boling,TX,USA,29.2624925,-95.9397985,48481,40682
4240259,Amaud,Willis-Dalton,Houston,73,200,27,3,LB,Cypress,TX,USA,29.9691116,-95.6971686,48201,39408
4240260,Alexander,Duke,Houston,74,245,30,3,DL,Bellaire,TX,USA,29.7057858,-95.4588299,48201,39821
4240261,Derek,Parish,Houston,74,245,31,3,DL,Pearland,TX,USA,29.5639758,-95.2864299,48039,39762
4240262,Dalton,Witherspoon,Houston,68,182,47,4,PK,Moore,OK,USA,35.3395135,-97.4867045,40027,55858
