ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
553235,Matt,Linehan,Idaho,75,239,10,No data,QB,Dallas,TX,USA,32.7762719,-96.7968559,48113,27666
553242,Reuben,Mwehla,Idaho,70,174,26,No data,WR,Lubbock,TX,USA,33.5635206,-101.879336,48303,27411
3124886,Dorian,Clark,Idaho,72,185,20,No data,DB,Leander,TX,USA,30.5586046,-97.8444364,48491,31043
3124888,Aaron,Duckworth,Idaho,68,203,23,No data,RB,Ewa Beach,HI,USA,21.315603,-158.008804,15003,30161
3124892,Michael,Garner,Idaho,71,178,88,No data,WR,Lubbock,TX,USA,33.5635206,-101.879336,48303,29889
3124898,Tony,Lashley,Idaho,73,239,33,No data,?,Chicago,IL,USA,41.8755616,-87.6244212,17031,27336
3124907,Isaiah,Saunders,Idaho,70,225,21,No data,RB,Ewa Beach,HI,USA,21.315603,-158.008804,15003,27539
3124911,David,Ungerer,Idaho,69,170,2,No data,WR,Lubbock,TX,USA,33.5635206,-101.879336,48303,31413
3918077,Jante,Boston,Idaho,70,176,7,No data,WR,Lubbock,TX,USA,33.5635206,-101.879336,48303,34441
3918078,Denzal,Brantley,Idaho,72,211,4,No data,DB,Leander,TX,USA,30.5586046,-97.8444364,48491,33908
3918079,Cade,Coffey,Idaho,73,189,15,No data,PK,Lancaster,TX,USA,32.5920798,-96.7561083,48113,34950
3918081,Zion,Dixon,Idaho,76,303,70,No data,OL,Royse City,TX,USA,32.9761045,-96.331334,48397,34128
3918089,Mike,Linehan,Idaho,74,234,40,4,LB,Highland Park,TX,USA,32.831563,-96.80077329849314,48113,34639
4048910,Charles,Akanno,Idaho,73,245,43,No data,LB,Chicago,IL,USA,41.8755616,-87.6244212,17031,37252
4048911,Arie,Anderson,Idaho,73,302,93,No data,DL,Andrews,TX,USA,32.3187158,-102.5457155,48003,55573
4048912,Qendarrion,Barnett,Idaho,72,177,31,No data,DB,Leander,TX,USA,30.5586046,-97.8444364,48491,38248
4048915,Aikeem,Coleman,Idaho,75,275,97,No data,DL,Andrews,TX,USA,32.3187158,-102.5457155,48003,55564
4048917,Rahsaan,Crawford,Idaho,70,326,55,No data,DL,Andrews,TX,USA,32.3187158,-102.5457155,48003,38361
4048922,Ty,Graham,Idaho,72,205,10,No data,LB,Chicago,IL,USA,41.8755616,-87.6244212,17031,38073
4048923,Josh,Herman,Idaho,73,254,45,No data,FB,North Richland Hills,TX,USA,32.8342952,-97.2289029,48439,55553
4048924,Lloyd,Hightower,Idaho,70,173,5,No data,DB,Leander,TX,USA,30.5586046,-97.8444364,48491,38044
4048932,Alfonso,Onunwor,Idaho,73,195,1,No data,WR,Lubbock,TX,USA,33.5635206,-101.879336,48303,55526
4048933,Mason,Petrino,Idaho,71,173,4,No data,WR,Lubbock,TX,USA,33.5635206,-101.879336,48303,38420
4048937,Dylan,Thigpen,Idaho,71,179,28,No data,RB,Ewa Beach,HI,USA,21.315603,-158.008804,15003,37085
4245271,Tyrese,Dedmon,Idaho,73,180,27,No data,DB,Leander,TX,USA,30.5586046,-97.8444364,48491,42392
4245273,Christian,Elliss,Idaho,75,215,1,No data,LB,Chicago,IL,USA,41.8755616,-87.6244212,17031,41736
4245275,Jalen,Hoover,Idaho,70,170,25,No data,DB,Leander,TX,USA,30.5586046,-97.8444364,48491,42641
4245280,Wyryor,Noil,Idaho,72,180,6,No data,DB,Leander,TX,USA,30.5586046,-97.8444364,48491,41320
4245281,Colton,Richardson,Idaho,76,230,19,No data,QB,Lewiston,ID,USA,46.4195913,-117.0216144,16069,42622
4245282,Ben,Taliulu,Idaho,73,255,44,No data,DL,Andrews,TX,USA,32.3187158,-102.5457155,48003,42707
