ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
500502,Earnest,Thomas,Illinois,74,No data,9,No data,DB,Orchard Lake,MI,USA,42.5869558,-83.36895696372882,26125,17976
502905,Martize,Barr,Illinois,71,No data,9,No data,WR,Washington D.C.,DC,USA,38.8949855,-77.0365708,11001,18684
502905,Martize,Barr,Illinois,71,No data,9,No data,WR,Washington D.C.,DC,USA,38.8949855,-77.0365708,11001,54052
515453,Jon,Davis,Illinois,75,No data,3,No data,TE,Louisville,KY,USA,38.2542376,-85.759407,21111,19754
515454,Reilly,O'Toole,Illinois,76,No data,4,No data,QB,Wheaton,IL,USA,41.8646959,-88.1101709,17043,20148
515455,Donovonn,Young,Illinois,72,No data,5,No data,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,20625
515457,Josh,Ferguson,Illinois,70,No data,6,No data,RB,Naperville,IL,USA,41.7728699,-88.1479278,17043,20683
515462,Justin,DuVernois,Illinois,73,No data,18,No data,P,Plantation,FL,USA,26.1265258,-80.25786123765101,12011,21107
515465,Eaton,Spence,Illinois,72,No data,27,No data,DB,Belle Glade,FL,USA,26.6845104,-80.6675577,12099,21138
515471,Matt,LaCosse,Illinois,78,No data,11,No data,TE,Naperville,IL,USA,41.7728699,-88.1479278,17043,20098
530630,V'Angelo,Bentley,Illinois,70,No data,2,No data,DB,Cleveland,OH,USA,41.5051613,-81.6934446,39035,22991
530631,Taylor,Barton,Illinois,73,No data,3,No data,DB,Orlando,FL,USA,28.5421109,-81.3790304,12095,23685
530633,Jevaris,Little,Illinois,72,No data,15,No data,DB,St. Petersburg,FL,USA,27.7703796,-82.6695085,12103,24426
530634,Ryan,Frain,Illinois,74,No data,13,No data,P,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,23923
530669,Justin,Hardee,Illinois,73,No data,19,No data,WR,Cleveland,OH,USA,41.5051613,-81.6934446,39035,23467
530670,Devin,Church,Illinois,68,No data,23,No data,RB,Southfield,MI,USA,42.4733689,-83.2218731,26125,22860
530678,Mike,Svetina,Illinois,74,No data,40,No data,LB,Brunswick,OH,USA,41.2456819,-81.8275398,39103,24385
530680,Mason,Monheim,Illinois,73,No data,43,No data,LB,Orrville,OH,USA,40.8436664,-81.7640212,39169,23218
530682,T.J.,Neal,Illinois,73,No data,17,No data,LB,McKeeseport,PA,USA,No data,No data,No data,22843
530684,Joe,Spencer,Illinois,76,No data,71,No data,OL,Mason,OH,USA,39.3600586,-84.309939,39165,22554
534652,Wes,Lunt,Illinois,76,No data,12,No data,QB,Rochester,IL,USA,39.7494943,-89.5317603,36055,22394
