ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
513031,Jake,Reed,Indiana,76,No data,50,No data,C,Columbus,IN,USA,39.2014405,-85.9213796,18005,20346
535794,Jacob,Bailey,Indiana,77,No data,70,No data,OL,Carmel,IN,USA,39.9788017,-86.1189257,18057,23146
535803,Anthony,Corsaro,Indiana,75,No data,88,No data,TE,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,24580
535807,Dawson,Fletcher,Indiana,72,No data,29,No data,LB,West Chester,OH,USA,39.3303357,-84.408275,39017,23830
535812,Ricky,Jones,Indiana,70,No data,4,No data,WR,Sarasota,FL,USA,27.3364347,-82.5306527,12115,24139
535815,Nick,Mangieri,Indiana,77,No data,56,No data,DE,Peoria,IL,USA,40.6938609,-89.5891008,17143,22755
535825,Nate,Sudfeld,Indiana,78,No data,7,No data,QB,Modesto,CA,USA,37.6390972,-120.9968782,06099,22524
535829,Andrew,Wilson,Indiana,71,No data,21,No data,RB,Columbus,IN,USA,39.2014405,-85.9213796,18005,24907
545359,T.J.,Simmons,Indiana,72,No data,2,No data,LB,Lakeland,FL,USA,28.0394654,-81.9498042,12105,26722
551950,Marcus,Oliver,Indiana,73,No data,44,No data,LB,Hamilton,OH,USA,39.3995067,-84.5613428,39017,26676
552904,Jordan,Howard,Indiana,73,No data,8,No data,RB,Gardendale,AL,USA,33.6601033,-86.8127702,01073,27049
553463,Patrick,Dougherty,Indiana,77,No data,58,No data,DL,Aurora,OH,USA,41.317555,-81.345386,39133,26847
553464,Chase,Dutra,Indiana,73,212,30,No data,DB,Brownsburg,IN,USA,39.8433769,-86.3977736,18063,26029
553465,Rashard,Fant,Indiana,70,180,16,No data,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,25302
553466,Danny,Friend,Indiana,77,260,58,No data,OL,Morris,IL,USA,41.3573813,-88.421565,17063,25893
553468,Isaac,Griffith,Indiana,72,No data,17,No data,WR,Fort Wayne,IN,USA,41.0799898,-85.1386015,18003,25964
553469,Nate,Hoff,Indiana,74,310,74,No data,DL,Solon,OH,USA,41.3897764,-81.4412259,39035,23853
553471,Darius,Latham,Indiana,77,No data,98,No data,DT,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,25179
553473,Griffin,Oakes,Indiana,70,198,92,No data,PK,Greenwood,IN,USA,39.6136578,-86.1066526,18081,28131
3128244,Delroy,Baker,Indiana,78,317,71,4,OL,Ocala,FL,USA,29.1871986,-82.1400923,12083,28866
3128248,Dominique,Booth,Indiana,73,No data,3,No data,WR,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,28451
3128251,Simmie,Cobbs Jr.,Indiana,76,220,1,No data,WR,Oak Park,IL,USA,41.8878145,-87.7887615,17031,29171
