ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
531441,Ron,Coluzzi,Iowa,71,No data,17,No data,P,Naperville,IL,USA,41.7728699,-88.1479278,17043,24766
535839,Greg,Mabin,Iowa,74,No data,88,No data,WR,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,23325
535840,Anthony,Gair,Iowa,74,No data,12,No data,DB,Plano,TX,USA,33.0136764,-96.6925096,48085,22928
535844,C.J.,Beathard,Iowa,74,No data,16,No data,QB,Franklin,TN,USA,35.925193,-86.8689365,47187,23130
535847,Jaleel,Johnson,Iowa,76,No data,67,No data,DL,Lombard,IL,USA,41.8864687,-88.0201536,17043,22242
535850,Faith,Ekakitie,Iowa,75,No data,56,No data,DL,Brampton,ON,Canada,No data,No data,No data,22233
545365,Jonathan,Parker,Iowa,68,185,2,No data,CB,St. Louis,MO,USA,38.6268039,-90.1994097,29510,27077
545373,LeShun,Daniels Jr.,Iowa,No data,No data,No data,No data,RB,No data,No data,No data,No data,No data,No data,26092
545375,Desmond,King,Iowa,71,No data,14,No data,DB,Detroit,MI,USA,42.3315509,-83.0466403,26163,26073
545423,Akrum,Wadley,Iowa,71,195,25,No data,RB,Newark,NJ,USA,40.735657,-74.1723667,34013,27451
545427,Josey,Jewell,Iowa,74,236,43,No data,?,Decorah,IA,USA,43.3033056,-91.7857092,19191,27231
545428,George,Kittle,Iowa,76,No data,46,No data,TE,Norman,OK,USA,35.2225717,-97.4394816,40027,23540
545443,Ike,Boettger,Iowa,78,307,75,No data,OL,Cedar Falls,IA,USA,42.5274123,-92.4453179,19013,26201
545444,Derrick,Mitchell Jr.,Iowa,No data,No data,No data,No data,RB,No data,No data,No data,No data,No data,No data,25951
3140643,Ben,Niemann,Iowa,75,230,44,No data,LB,Sycamore,IL,USA,41.9889173,-88.6867538,17037,29687
3144980,Mick,Ellis,Iowa,70,No data,2,No data,PK,Allen,TX,USA,33.1031744,-96.6705503,48085,29748
3144982,Marcel,Joly,Iowa,71,202,26,No data,RB,Hyattsville,MD,USA,38.9529442,-76.9408647,24033,29369
3144983,Tyler,Wiegers,Iowa,76,227,12,4,QB,Lake Orion,MI,USA,42.7844752,-83.2396612,26125,28661
3144984,Joshua,Jackson,Iowa,73,192,15,No data,DB,Corinth,TX,USA,33.1540091,-97.0647322,48121,31210
3144985,Miles,Taylor,Iowa,70,203,19,No data,DB,Silver Spring,MD,USA,38.9959461,-77.0276231,24031,28925
3144989,Aaron,Mends,Iowa,72,228,31,4,LB,Kansas City,MO,USA,39.100105,-94.5781416,29095,29260
3144991,Parker,Hesse,Iowa,75,261,40,4,DE,Waukon,IA,USA,43.2694208,-91.475695,19005,29439
3145001,Jay,Scheel,Iowa,73,No data,3,No data,WR,Mount Auburn,IA,USA,42.2549381,-92.0926834,19011,28575
3145005,Matt,Nelson,Iowa,80,295,96,4,DE,Cedar Rapids,IA,USA,41.9758872,-91.6704053,19113,28786
3894828,Jerminic,Smith,Iowa,73,No data,9,No data,WR,Garland,TX,USA,32.912624,-96.6388833,48113,32894
3894829,Ryan,Boyle,Iowa,73,208,11,No data,WR,West Des Moines,IA,USA,41.5645337,-93.7595281,19153,32799
3894830,Michael,Ojemudia,Iowa,73,200,11,4,DB,Farmington Hills,MI,USA,42.4853125,-83.3771553,26125,33608
3894832,Drew,Cook,Iowa,77,252,18,4,TE,Iowa City,IA,USA,41.6612561,-91.5299106,19103,33222
3894835,Angelo,Garbutt,Iowa,74,235,8,No data,LB,Carrollton,TX,USA,32.9537349,-96.8902816,48113,32984
3894839,Jack,Hockaday,Iowa,73,235,48,4,LB,Forsyth,IL,USA,39.9325368,-88.9511912,17115,33177
3894842,Garret,Jansen,Iowa,74,280,53,3,DL,Pella,IA,USA,41.4080534,-92.9163091,19125,33736
3894846,Levi,Paulsen,Iowa,77,305,66,4,OL,Moville,IA,USA,42.488796,-96.07243,19193,32308
3894847,Landan,Paulsen,Iowa,77,305,68,4,OL,Moville,IA,USA,42.488796,-96.07243,19193,32299
3894849,James,Daniels,Iowa,76,295,78,No data,OL,Warren,OH,USA,41.237557,-80.818417,39155,32188
3894850,Adrian,Falconer,Iowa,73,192,82,No data,WR,Leesburg,FL,USA,28.810823,-81.8778582,12069,33528
3894851,Nate,Vejvoda,Iowa,77,250,85,4,LS,Homer Glen,IL,USA,41.6000318,-87.9381112,17197,33339
3894853,Brady,Reiff,Iowa,75,277,91,4,DL,Parkston,SD,USA,43.395007,-97.984421,46067,32905
3894856,Anthony,Nelson,Iowa,79,271,98,3,DE,Urbandale,IA,USA,41.6274552,-93.7380624,19153,33153
4036121,Toks,Akinribade,Iowa,72,208,22,No data,RB,Brownsburg,IN,USA,39.8433769,-86.3977736,18063,35804
4036126,Cedric,Boswell,Iowa,71,181,18,4,DB,Beverly Hills,MI,USA,34.0696501,-118.3963062,06037,36581
4036131,Noah,Fant,Iowa,77,241,87,3,TE,Omaha,NE,USA,41.2587459,-95.9383758,31055,35715
4036132,Chauncey,Golston,Iowa,77,270,57,4,DL,Detroit,MI,USA,42.3315509,-83.0466403,26163,36035
4036133,T.J.,Hockenson,Iowa,77,250,38,2,TE,Chariton,IA,USA,41.0147507,-93.3072514,19117,36590
4036134,Amani,Hooker,Iowa,72,210,27,3,DB,Minneapolis,MN,USA,44.9772995,-93.2654692,27053,35738
4036137,Amani,Jones,Iowa,71,244,52,4,LB,Chicago,IL,USA,41.8755616,-87.6244212,17031,36576
4036138,Cedrick,Lattimore,Iowa,75,295,95,4,DL,Redford,MI,USA,42.3944,-83.2974,29179,35672
4036140,Romeo,McKnight,Iowa,77,260,11,4,DE,Crystal Lake,IL,USA,42.2411344,-88.3161965,17111,35876
4036144,Emmanuel,Rugamba,Iowa,71,194,5,4,DB,Naperville,IL,USA,41.7728699,-88.1479278,17043,35864
4036149,Nate,Stanley,Iowa,76,243,4,4,QB,Menomonie,WI,USA,44.8755183,-91.9193422,55033,35710
4036149,Nate,Stanley,Iowa,76,243,4,4,QB,Menomonie,WI,USA,44.8755183,-91.9193422,55033,67225
4036153,Kristian,Welch,Iowa,75,239,34,4,LB,Iola,WI,USA,44.5080338,-89.1306665,55135,36765
4036155,Devonte,Young,Iowa,72,203,17,4,DB,Waldorf,MD,USA,38.6263882,-76.9106581,24017,36246
4036156,Toren,Young,Iowa,71,223,28,3,RB,Madison,WI,USA,43.074761,-89.3837613,55025,36805
4240589,Tristan,Wirfs,Iowa,77,322,74,3,OL,Mount Vernon,IA,USA,41.9222443,-91.4171209,19113,38947
4240593,Ryan,Gersonde,Iowa,76,197,2,4,P,Milwaukee,WI,USA,43.0349931,-87.922497,55079,41099
