ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
501565,Pete,Thomas,Louisiana Monroe,78,No data,4,No data,QB,El Cajon,CA,USA,32.7947731,-116.9625269,06073,17774
505202,Centarius,Donald,Louisiana Monroe,73,No data,5,No data,RB,Columbia,LA,USA,32.1052,-92.0779,45079,19322
505222,Cordero,Smith,Louisiana Monroe,71,No data,10,No data,S,Garland,TX,USA,32.912624,-96.6388833,48113,19326
512345,Brayle,Brown,Louisiana Monroe,74,No data,12,No data,QB,Shawnee,OK,USA,35.3272928,-96.9253004,40125,21779
512346,Tyler,Cain,Louisiana Monroe,67,No data,3,No data,WR,West Monroe,LA,USA,32.5184775,-92.1476353,22073,21874
512347,Earnest,Carrington,Louisiana Monroe,72,No data,9,No data,QB,Humble,TX,USA,29.9988312,-95.2621553,48201,21363
512348,Rashon,Ceaser,Louisiana Monroe,72,No data,2,No data,WR,Clinton,LA,USA,30.8657,-91.0157,36065,21750
512349,Caleb,Gammel,Louisiana Monroe,75,No data,26,No data,WR,Pineville,LA,USA,31.3224044,-92.4343035,21013,21834
512354,Hunter,Kissinger,Louisiana Monroe,74,No data,48,No data,LB,Springdale,AR,USA,36.1867442,-94.1288142,05143,21821
512355,Mitch,Lane,Louisiana Monroe,73,No data,7,No data,S,Pine Bluff,AR,USA,34.2157064,-92.0140402,05069,21582
512356,Justin,Manton,Louisiana Monroe,74,No data,17,No data,P,Prairieville,LA,USA,30.3029721,-90.9720451,01065,21699
512357,DeVontae,McNeal,Louisiana Monroe,70,No data,28,No data,RB,Quitman,TX,USA,32.7957722,-95.4518285,48499,21735
512361,Cody,Robinson,Louisiana Monroe,73,No data,5,No data,LB,Des Arc,AR,USA,34.9770353,-91.4951307,05117,21616
512362,Harley,Scioneaux,Louisiana Monroe,77,No data,88,No data,TE,Reserve,LA,USA,30.0538131,-90.5517534,20013,21761
531488,Justin,Backus,Louisiana Monroe,74,No data,20,No data,S,Mesquite,TX,USA,32.7666103,-96.599472,48113,24294
531490,Trey,Caldwell,Louisiana Monroe,69,No data,24,No data,CB,Richardson,TX,USA,32.9481789,-96.7297206,48113,24553
531492,Tony,Cook,Louisiana Monroe,76,No data,80,No data,WR,DeSoto,TX,USA,32.6061241,-96.865612653687,48113,24537
531565,Alex,Johnson,Louisiana Monroe,71,No data,19,No data,S,Fort Worth,TX,USA,32.753177,-97.3327459,48439,24141
531569,Alec,Osborne,Louisiana Monroe,75,No data,89,No data,TE,Geismar,LA,USA,30.2043633,-91.0226013,22005,23902
531570,Lenzy,Pipkins,Louisiana Monroe,72,No data,1,No data,CB,Mansfield,TX,USA,32.5631924,-97.1416768,48439,24073
546121,Brian,Williams,Louisiana Monroe,75,218,1,No data,WR,Bogalusa,LA,USA,30.7910204,-89.8486858,22117,27875
546126,Grant,Dotsy,Louisiana Monroe,70,No data,27,No data,CB,Rowlett,TX,USA,32.9029017,-96.56388,48113,27719
546131,Roland,Jenkins,Louisiana Monroe,71,204,2,No data,S,New Orleans,LA,USA,29.9499323,-90.0701156,22071,27434
546133,Jarred,Dunn,Louisiana Monroe,72,225,5,No data,LB,Monroe,LA,USA,32.5093109,-92.1193012,22073,27617
546141,De'Vonte,Haggerty,Louisiana Monroe,71,No data,8,No data,WR,Tyler,TX,USA,32.3512601,-95.3010624,48423,57393
3124943,Junior,Williams,Louisiana Monroe,71,No data,8,No data,CB,Olathe,KS,USA,38.8838856,-94.81887,20091,54551
3124944,Garrett,Smith,Louisiana Monroe,73,203,13,No data,QB,Spring Branch,TX,USA,29.885073249999998,-98.4196833729311,48091,30227
3124945,Tyrone,Carter,Louisiana Monroe,72,No data,16,No data,WR,Rayville,LA,USA,32.4773643,-91.7548473,22083,54552
3124948,Marcus,Hubbard,Louisiana Monroe,69,179,9,4,CB,Rowlett,TX,USA,32.9029017,-96.56388,48113,30870
3124949,Wesley,Thompson,Louisiana Monroe,73,194,6,4,S,Tyler,TX,USA,32.3512601,-95.3010624,48423,30868
3124950,Ben,Luckett,Louisiana Monroe,71,229,24,No data,RB,Palestine,TX,USA,31.7621153,-95.6307891,48001,30869
3124951,Kaylon,Watson,Louisiana Monroe,72,No data,25,No data,RB,Mexia,TX,USA,31.307819000000002,-96.62978728122914,48293,30697
3124952,Aaron,Townsend,Louisiana Monroe,72,174,31,No data,CB,Fort Worth,TX,USA,32.753177,-97.3327459,48439,31140
3124953,Sterling,Doss,Louisiana Monroe,72,254,48,No data,DE,Slidell,LA,USA,30.2751945,-89.7811745,22103,27430
3124954,David,Griffith,Louisiana Monroe,73,201,14,4,LB,Plano,TX,USA,33.0136764,-96.6925096,48085,30619
3124955,Cody,McGuire,Louisiana Monroe,75,247,47,No data,TE,Monroe,LA,USA,32.5093109,-92.1193012,22073,31067
3124964,Marcus,Green,Louisiana Monroe,68,188,3,4,WR,Pontotoc,MS,USA,34.2478831,-88.998673,28115,31241
3124965,D'Marius,Gillespie,Louisiana Monroe,73,208,10,4,WR,Olive Branch,MS,USA,34.9617605,-89.8295315,28033,30608
3124969,Shaquille,Warren,Louisiana Monroe,74,243,45,4,DL,Tyler,TX,USA,32.3512601,-95.3010624,48423,30848
4053912,Ajalen,Holley,Louisiana Monroe,70,No data,21,No data,WR,Hot Springs,AR,USA,34.5038393,-93.0552437,05051,24279
