ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
505012,Taylor,Burch,Louisiana Tech,76,No data,8,No data,QB,Monroe,LA,USA,32.5093109,-92.1193012,22073,18174
512185,Sanford,Seay,Louisiana Tech,74,No data,18,No data,WR,Leesburg,GA,USA,31.7324556,-84.1711966,13177,54360
512764,Beau,Fitte,Louisiana Tech,72,No data,6,No data,LB,Port Sulphur,LA,USA,29.4804947,-89.6939531,22075,21346
512771,Tevin,King,Louisiana Tech,67,No data,26,No data,WR,Moultrie,GA,USA,31.179998,-83.7887928,13071,21933
512772,Le'Vander,Liggins,Louisiana Tech,70,No data,13,No data,DB,Leesville,LA,USA,31.1435194,-93.260998,22115,21680
531302,Adairius,Barnes,Louisiana Tech,71,No data,21,No data,CB,Port Gibson,MS,USA,31.9609914,-90.9839943,28021,22946
531303,Kentrell,Brice,Louisiana Tech,71,No data,23,No data,S,Ruston,LA,USA,32.5232053,-92.637927,22061,23361
531306,Grant,Childress,Louisiana Tech,72,No data,87,No data,WR,Tyler,TX,USA,32.3512601,-95.3010624,48423,24505
531310,Kenneth,Dixon,Louisiana Tech,70,No data,28,No data,RB,Strong,AR,USA,33.1103602,-92.3565792,05139,22980
531315,Lloyd,Grogan,Louisiana Tech,73,No data,11,No data,S,Morgan City,LA,USA,29.6993748,-91.20677,22101,22918
531316,Ryan,Higgins,Louisiana Tech,74,No data,14,No data,QB,Hutto,TX,USA,30.5427638,-97.5468898,48491,23577
545659,Jonathan,Barnes,Louisiana Tech,69,182,10,No data,PK,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,27925
545669,Carlos,Henderson,Louisiana Tech,71,No data,1,No data,WR,New Orleans,LA,USA,29.9499323,-90.0701156,22071,26306
545671,Eddie,Johnson,Louisiana Tech,75,No data,88,No data,WR,Midlothian,TX,USA,32.482361,-96.9944489,48139,53833
545674,Thomas,McDonald,Louisiana Tech,76,No data,33,No data,S,Houston,TX,USA,29.7589382,-95.3676974,48201,54049
545675,Logan,McPherson,Louisiana Tech,70,No data,43,No data,P,Fort Payne,AL,USA,34.4442547,-85.7196893,01049,27911
545676,Terrell,Pinson,Louisiana Tech,74,No data,31,No data,LB,Tupelo,MS,USA,34.2576067,-88.7033859,28081,53907
545677,Trent,Taylor,Louisiana Tech,68,No data,5,No data,WR,Shreveport,LA,USA,32.5221828,-93.7651944,22017,26678
545678,Nick,Thomason,Louisiana Tech,73,No data,24,No data,LB,Muscle Shoals,AL,USA,34.7451786,-87.6686733,01033,53888
545680,Xavier,Woods,Louisiana Tech,71,No data,7,No data,S,West Monroe,LA,USA,32.5184775,-92.1476353,22073,26242
3122755,Price,Wilson,Louisiana Tech,73,No data,10,No data,QB,Marietta,GA,USA,33.9528472,-84.5496148,13067,29886
3122756,Alex,Woodall,Louisiana Tech,75,255,19,4,TE,Summit,MS,USA,31.2837867,-90.4684315,28113,29860
3122757,Jarred,Craft,Louisiana Tech,72,222,3,No data,RB,Haughton,LA,USA,32.5326514,-93.5040627,22015,30429
3122761,Secdrick,Cooper,Louisiana Tech,72,211,2,No data,S,Marrero,LA,USA,29.8993723,-90.1003506,22051,31121
3122763,Marcus,Gaines,Louisiana Tech,66,161,16,No data,WR,Covington,LA,USA,30.4754702,-90.1009108,21117,30360
3122766,Jaylon,Ferguson,Louisiana Tech,77,269,45,4,DE,St. Francisville,LA,USA,30.7807244,-91.3763353,17101,29787
3122770,Deldrick,Canty,Louisiana Tech,74,269,50,No data,DE,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,29989
3122771,Russell,Farris,Louisiana Tech,71,232,31,No data,LB,Ventress,LA,USA,30.6818525,-91.4081679,22077,30462
3122778,Shane,Carpenter,Louisiana Tech,78,314,66,4,OL,Walker,LA,USA,30.4879678,-90.8614878,27021,30587
3122779,Kirby,Wixson,Louisiana Tech,76,No data,73,No data,OL,Pearl,MS,USA,32.2745912,-90.1320311,28121,54484
3122782,Michael,Rodriguez,Louisiana Tech,78,291,75,4,OL,La Porte,TX,USA,29.6657838,-95.0193729,48201,30339
3122784,Marlon,Watts,Louisiana Tech,74,197,13,No data,WR,New Orleans,LA,USA,29.9499323,-90.0701156,22071,30861
3122785,Cedric,Johnson,Louisiana Tech,74,312,91,No data,DT,Rowlett,TX,USA,32.9029017,-96.56388,48113,28962
3914387,Theron,Williams,Louisiana Tech,70,203,25,4,S,New Orleans,LA,USA,29.9499323,-90.0701156,22071,34118
