ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
531423,Karmichael,Dunbar,Louisiana,74,No data,55,No data,DL,Prior Lake,MN,USA,44.7133271,-93.4226873,27139,24268
531425,Jared,Johnson,Louisiana,77,No data,7,No data,WR,Minden,LA,USA,32.6154278,-93.2868354,32005,24726
531426,Dominick,Jones,Louisiana,71,No data,20,No data,DB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,24204
531428,Tre'maine,Lightfoot,Louisiana,72,No data,4,No data,LB,Patterson,LA,USA,29.6933,-91.3021,06099,23867
531430,Jalen,Nixon,Louisiana,74,No data,6,No data,QB,Lafayette,LA,USA,30.2240897,-92.0198427,22055,24068
545808,Troy,McCollum,Louisiana,72,178,19,No data,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,25679
545809,Elijah,McGuire,Louisiana,71,No data,15,No data,RB,Houma,LA,USA,29.5957696,-90.7195348,22109,25908
545810,Devin,Scott,Louisiana,71,187,18,No data,WR,Harvey,LA,USA,29.9035387,-90.0772944,17031,26730
545811,Simeon,Thomas,Louisiana,75,197,8,No data,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,25969
545814,Tracy,Walker,Louisiana,74,200,23,No data,DB,Brunswick,GA,USA,31.1499528,-81.4914894,13127,27868
546033,Anthony,Jennings,Louisiana,74,No data,10,No data,QB,Marietta,GA,USA,33.9528472,-84.5496148,13067,25170
546098,Nick,Byrne,Louisiana,75,No data,81,No data,TE,Rogers,AR,USA,36.3320197,-94.1185366,05007,26786
546102,Darius,Hoggins,Louisiana,67,177,23,No data,RB,Coconut Creek,FL,USA,26.271462800000002,-80.18180791688866,12011,27217
3124912,Jordan,Davis,Louisiana,75,217,3,No data,QB,Spring,TX,USA,30.0798826,-95.4172549,48201,30363
3124915,Travis,Crawford,Louisiana,71,191,7,No data,DB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,30604
3124916,Lorenzo,Cryer,Louisiana,74,176,11,No data,DB,Jefferson,LA,USA,33.5228184,-86.9164513,01073,31071
3124918,Corey,Turner,Louisiana,73,204,6,4,DB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,30731
3124919,Gabe,Fuselier,Louisiana,71,No data,13,No data,WR,St. Martinville,LA,USA,30.1252011,-91.8334498,22099,30526
3124929,Adrian,Goodacre,Louisiana,76,311,77,4,OL,Carthage,TX,USA,32.1570412,-94.338114,48365,30864
3124934,Taboris,Lee,Louisiana,74,295,92,No data,DT,Ackerman,MS,USA,33.3101243,-89.1728434,28019,31010
3124936,LaDarrius,Kidd,Louisiana,75,317,98,4,DT,Gulfport,MS,USA,30.3674198,-89.0928155,28047,30554
3139669,Ryheem,Malone,Louisiana,69,187,13,4,WR,Houston,TX,USA,29.7589382,-95.3676974,48201,30940
3917569,Ja'Marcus,Bradley,Louisiana,73,195,2,4,WR,Ackerman,MS,USA,33.3101243,-89.1728434,28019,33550
3917570,Dion,Ray,Louisiana,72,215,8,3,WR,New Orleans,LA,USA,29.9499323,-90.0701156,22071,32436
3917571,Kamar,Greenhouse,Louisiana,73,184,9,4,DB,Marksville,LA,USA,31.1279652,-92.0662356,22009,34394
3917572,Christian,Goodlett,Louisiana,72,No data,10,No data,DB,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,54975
3917574,Savion,Brown,Louisiana,74,No data,6,No data,DB,Shreveport,LA,USA,32.5221828,-93.7651944,22017,54769
3917575,Carlos,Robinson,Louisiana,75,236,33,3,DE,Monroe,LA,USA,32.5093109,-92.1193012,22073,33362
3917576,Michael,Jacquet III,Louisiana,74,201,11,4,DB,Beaumont,TX,USA,30.0860459,-94.1018461,48245,33645
3917577,Gary,Haynes,Louisiana,69,No data,4,No data,WR,Missouri City,TX,USA,29.6185669,-95.5377215,48157,33035
3917578,Alonzo,Brown,Louisiana,72,216,31,4,LB,Magee,MS,USA,31.8737712,-89.7336852,28127,34694
3917579,Jarrod,Jackson,Louisiana,72,190,17,4,WR,Reserve,LA,USA,30.0538131,-90.5517534,20013,33902
3917580,Keenan,Barnes,Louisiana,75,208,21,4,WR,Madison,MS,USA,32.4618086,-90.1153638,28089,32858
3917581,Jordan,Wright,Louisiana,71,212,23,3,RB,Pearl,MS,USA,32.2745912,-90.1320311,28121,33677
3917582,Joe,Dillon,Louisiana,74,220,3,4,LB,Tylertown,MS,USA,31.1160119,-90.1420331,28147,34178
3917586,Steven,Coutts,Louisiana,76,215,37,4,P,Brisbane,,Australia,No data,No data,No data,34585
3917587,Stevie,Artigue,Louisiana,70,170,36,4,PK,Lafayette,LA,USA,30.2240897,-92.0198427,22055,33800
3917588,Terik,Miller,Louisiana,72,203,38,4,DB,Pensacola,FL,USA,30.421309,-87.2169149,12033,33192
3917592,Robert,Hunt,Louisiana,77,322,50,4,OL,Burkeville,TX,USA,30.9999178,-93.6679539,48351,34756
3917595,Cole,Prudhomme,Louisiana,76,302,61,4,OL,Eunice,LA,USA,30.4943669,-92.4176324,22097,34783
3917597,Rico,Robinson,Louisiana,77,308,66,4,OL,Pensacola,FL,USA,30.421309,-87.2169149,12033,34695
3917598,Ken,Marks,Louisiana,76,308,67,4,OL,Beaumont,TX,USA,30.0860459,-94.1018461,48245,33965
3917599,Kevin,Dotson,Louisiana,76,321,75,4,OL,Plaquemine,LA,USA,30.2890833,-91.2342744,22047,34175
3917604,Mario,Osborne Jr.,Louisiana,76,273,94,3,DL,Daphne,AL,USA,30.6035255,-87.9036047,01003,32618
3924316,Ferrod,Gardner,Louisiana,73,220,7,4,LB,Dayton,OH,USA,39.7589478,-84.1916069,39113,34179
4040729,Jake,Arceneaux,Louisiana,74,201,16,2,QB,Lafayette,LA,USA,30.2240897,-92.0198427,22055,37391
4040730,Blair,Brooks,Louisiana,74,180,26,4,S,Thibodaux,LA,USA,29.7957633,-90.822871,22057,37706
4040732,Raymond,Calais,Louisiana,69,185,4,4,RB,Breaux Bridge,LA,USA,30.2735323,-91.8992837,22099,38266
4040733,Artez,Williams,Louisiana,72,No data,26,No data,DB,Greenwood,MS,USA,33.5162315,-90.1795281,28083,55543
4040736,T.J.,Posey,Louisiana,72,234,30,No data,LB,Gadsden,AL,USA,34.010929,-85.9989596,01055,29038
4040737,Denarius,Howard,Louisiana,72,201,16,No data,DB,Greenwood,MS,USA,33.5162315,-90.1795281,28083,55407
4040741,Tanner,Holmes,Louisiana,74,213,44,3,LB,Newton,TX,USA,30.8491127,-93.7574139,48351,37433
4040742,Jarvis,Jeffries,Louisiana,75,252,10,No data,DE,Gastonia,NC,USA,35.2622158,-81.1838794,37071,55542
4040743,Damar'ren,Mitchell,Louisiana,71,185,17,No data,DB,Magnolia,TX,USA,30.2093794,-95.7507815,48339,37689
4040747,Jacques,Boudreaux,Louisiana,73,229,59,4,LB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,37584
4040757,Kevon,Perry,Louisiana,73,298,90,No data,DT,Buffalo,NY,USA,42.8867166,-78.8783922,36029,55575
4040758,David,Lemoto,Louisiana,74,No data,96,No data,DL,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,55457
4040759,Tra'Vontae,Booker,Louisiana,76,304,99,3,DT,Jackson,LA,USA,30.8374,-91.2176,28049,37907
4363098,Johnny,Lumpkin,Louisiana,78,260,88,3,TE,Atlanta,GA,USA,33.7490987,-84.3901849,13121,67783
