ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3128315,Sean,Christie,Maryland,76,287,70,4,OL,Medford,NY,USA,40.82268285,-72.98880837119901,36103,29793
3128319,Brett,Kulka,Maryland,76,258,96,4,DL,Edinboro,PA,USA,41.8742225,-80.1317236,42049,30335
3915407,Isaiah,Davis,Maryland,74,234,22,4,LB,Renton,WA,USA,47.4799078,-122.2034496,53033,33867
3915410,Keiron,Howard,Maryland,75,278,59,4,DL,Fort Washington,MD,USA,38.7125305,-77.0124598,24033,32811
3915414,Ellis,McKennie,Maryland,76,310,68,4,OL,Mcsherrystown,PA,USA,39.8073216,-77.0113699,42001,32680
3916587,Tyler,Mabry,Maryland,76,248,81,4,TE,Ypsilanti,MI,USA,42.24253,-83.6171426940706,26161,34324
3917997,Wyatt,Cook,Maryland,74,243,43,4,DE,Westminster,MD,USA,39.5752639,-76.9959277,24013,32735
3921562,Marcus,Lewis,Maryland,73,197,8,4,DB,Prince George's County,MD,USA,38.803929,-76.8518695,24033,31998
4035459,Shaq,Smith,Maryland,74,245,1,4,LB,Baltimore,MD,USA,39.2908816,-76.610759,24510,35261
4036210,Tyrrell,Pigrome,Maryland,70,200,1,4,QB,Birmingham,AL,USA,33.5206824,-86.8024326,01073,36172
4036211,DJ,Turner,Maryland,69,205,7,4,WR,Glenarden,MD,USA,38.9292782,-76.8616387,24033,67221
4036214,Tino,Ellis,Maryland,73,195,7,4,DB,Reisterstown,MD,USA,39.4695489,-76.8294213,24005,35454
4036215,Max,Bortenschlager,Maryland,75,205,12,4,QB,Fishers,IN,USA,39.9555928,-86.0138729,18057,36918
4036216,Antwaine,Richardson,Maryland,72,195,17,4,S,Delray Beach,FL,USA,26.4614625,-80.0728201,12099,36067
4036218,Lorenzo,Harrison III,Maryland,67,189,2,3,RB,Hillcrest Hgts,MD,USA,38.8328909,-76.9594189,24033,36046
4036224,Jake,Funk,Maryland,70,205,34,4,RB,Gaithersburg,MD,USA,39.1434406,-77.2013705,24031,36545
4036232,Terrance,Davis,Maryland,75,325,75,4,OL,Temple Hills,MD,USA,38.8140024,-76.9455296,24033,35256
4036233,Noah,Barnes,Maryland,77,232,80,3,TE,Auburn,AL,USA,32.6550905,-85.50364346309962,01081,37446
4037603,Josh,Jackson,Maryland,74,218,17,4,QB,Ann Arbor,MI,USA,42.2681569,-83.7312291,26161,35628
4040621,Keandre,Jones,Maryland,75,220,4,4,LB,Olney,MD,USA,39.1532123,-77.0668408,24031,35274
4048676,Rayshad,Lewis,Maryland,70,177,27,4,WR,Orlando,FL,USA,28.5421109,-81.3790304,12095,37952
4241920,Fofie,Bazzie,Maryland,71,199,11,2,DB,Silver Spring,MD,USA,38.9959461,-77.0276231,24031,39334
4241922,Deon,Jones,Maryland,72,200,5,4,DB,Oxon Hill,MD,USA,38.8035961,-76.9896573,24033,38800
4241924,Bryce,Brand,Maryland,72,252,6,3,LB,Detroit,MI,USA,42.3315509,-83.0466403,26163,39654
4241926,Tyran,Hunt,Maryland,79,312,67,3,OL,Boykins,VA,USA,36.583207,-77.1999675,51175,39733
4241928,Kenny,Bennett,Maryland,74,200,24,3,DB,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,39547
4241930,Tahj,Capehart,Maryland,70,190,31,3,DB,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,38960
4241931,Carlos,Carriere,Maryland,77,195,83,3,WR,Alpharetta,GA,USA,34.0709576,-84.2747329,13121,39378
4241932,Jayden,Comma,Maryland,74,214,10,2,WR,Roswell,GA,USA,34.02332,-84.360022,13121,39299
4241933,Ayinde,Eley,Maryland,75,240,10,3,LB,Silver Spring,MD,USA,38.9959461,-77.0276231,24031,39021
4241934,Tayon,Fleet-Davis,Maryland,72,220,8,4,RB,Oxon Hill,MD,USA,38.8035961,-76.9896573,24033,39475
4241935,Brandon,Gaddy,Maryland,75,311,98,2,DL,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,39284
4241936,Breyon,Gaddy,Maryland,75,348,61,2,OL,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,38950
4241938,MJ,Jarrell,Maryland,74,181,19,2,WR,Orlando,FL,USA,28.5421109,-81.3790304,12095,39846
4241939,Johnny,Jordan,Maryland,73,312,55,4,OL,Leesburg,VA,USA,39.1154496,-77.5645446,51107,39487
4241940,Javon,Leake,Maryland,72,206,20,3,RB,Greensboro,NC,USA,36.0726355,-79.7919754,37081,39088
4241941,Anthony,McFarland Jr.,Maryland,69,198,5,2,RB,Hyattsville,MD,USA,38.9529442,-76.9408647,24033,38725
4241943,B'Ahmad,Miller,Maryland,74,285,90,3,DL,Newark,DE,USA,39.6852191,-75.7508289,10003,40463
