ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3893630,Brady,White,Memphis,75,210,3,4,QB,Newhall,CA,USA,37.3485422,-121.9203988069216,06085,31926
4035504,John,Broussard Jr.,Memphis,72,190,9,4,DB,Phenix City,AL,USA,32.4709761,-85.0007653,01113,35451
4039357,Sean,Dykes,Memphis,74,224,5,4,TE,Houston,TX,USA,29.7589382,-95.3676974,48201,37881
4039361,Nehemiah,Augustus,Memphis,72,205,16,4,LB,Patterson,LA,USA,29.6933,-91.3021,06099,36875
4039364,Tyrez,Lindsey,Memphis,74,212,22,4,DB,Dothan,AL,USA,31.2237434,-85.3933906,01069,36747
4039366,Jacobi,Francis,Memphis,71,193,1,4,DB,Covington,GA,USA,33.5967815,-83.8601827,13217,37585
4039367,Tim,Hart,Memphis,73,229,35,4,LB,Memphis,TN,USA,35.1490215,-90.0516285,47157,35841
4039372,Thomas,Pickens,Memphis,74,207,No data,4,LB,Memphis,TN,USA,35.1490215,-90.0516285,47157,36885
4039382,John,Tate IV,Memphis,76,295,7,4,DL,Pine Bluff,AR,USA,34.2157064,-92.0140402,05069,35735
4240073,Rodney,Owens,Memphis,72,180,30,3,DB,Goodlettsville,TN,USA,36.334911500000004,-86.70533913302022,47165,39780
4243364,Connor,Adair,Memphis,76,184,8,3,QB,Trussville,AL,USA,33.626629,-86.5549335251678,01073,41180
4243365,Timothy,Taylor,Memphis,70,213,21,3,RB,Memphis,TN,USA,35.1490215,-90.0516285,47157,40923
4243366,JJ,Russell,Memphis,73,225,23,4,LB,Grenada,MS,USA,33.7690049,-89.8084192,28043,39744
4243367,Cade,Mashburn,Memphis,74,220,16,3,LB,Norman,OK,USA,35.2225717,-97.4394816,40027,39794
4243371,Riley,Patterson,Memphis,72,190,36,4,PK,Edwardsville,IL,USA,38.8114364,-89.953157,17119,40750
4243372,Sanchez,Blake Jr.,Memphis,72,200,41,3,DB,Olive Branch,MS,USA,34.9617605,-89.8295315,28033,37169
4243375,Dylan,Parham,Memphis,75,285,56,3,OL,Carrollton,GA,USA,33.5801103,-85.0766113,13045,41796
4243381,Preston,Brady,Memphis,72,222,42,3,LS,Cordova,TN,USA,35.1556451,-89.7761955,47157,42654
4243386,Obinna,Eze,Memphis,80,315,55,3,OT,Nashville,TN,USA,36.1622296,-86.7743531,47037,38836
4243387,Coye',Fairman,Memphis,75,202,80,3,WR,Humble,TX,USA,29.9988312,-95.2621553,48201,36257
4243390,Tyce,Daniel,Memphis,76,240,88,3,TE,Paducah,KY,USA,37.0833893,-88.6000478,21145,40677
4243392,O'Bryan,Goodson,Memphis,73,297,1,4,DL,Batesville,MS,USA,34.3114982,-89.9442567,28107,39995
4250967,Kylan,Watkins,Memphis,71,170,11,3,RB,Memphis,TN,USA,35.1490215,-90.0516285,47157,42697
4257345,Carlito,Gonzalez,Memphis,73,195,29,3,DB,Stone Mountain,GA,USA,33.8080924,-84.1706273,13089,38991
4360292,T.J.,Carter,Memphis,71,190,7,4,S,Nashville,TN,USA,36.1622296,-86.7743531,47037,67836
4360300,Jared,Edwards,Memphis,76,256,50,2,OL,Evensville,TN,USA,35.5684374,-84.9723891,47143,40937
4361041,Cincir,Evans,Memphis,76,215,56,2,LB,Memphis,TN,USA,35.1490215,-90.0516285,47157,44262
4361333,Asa,Martin,Memphis,71,200,28,2,RB,Courtland,AL,USA,34.6689794,-87.3094649,01079,43109
4371731,Quindell,Johnson,Memphis,73,195,15,2,DB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,44618
4371732,Cameron,Fleming,Memphis,67,172,24,2,RB,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,45107
4371733,Kenneth,Gainwell,Memphis,71,195,19,2,RB,Yazoo City,MS,USA,32.8551326,-90.4056469,28163,67931
4371740,Jaylon,Allen,Memphis,74,238,37,2,DE,Humble,TX,USA,29.9988312,-95.2621553,48201,44753
4371745,Kameron,Wilson,Memphis,79,232,45,2,TE,Bessemer,AL,USA,33.3823635,-86.91720475,01073,45819
4371754,Evan,Fields,Memphis,77,295,71,2,OL,Sharpsburg,GA,USA,33.3392842,-84.6485417,13077,45070
4371755,Titus,Jones,Memphis,76,295,73,2,OL,New Orleans,LA,USA,29.9499323,-90.0701156,22071,44427
4371756,Isaac,Ellis,Memphis,74,308,74,2,OL,Monroe,LA,USA,32.5093109,-92.1193012,22073,45538
4382645,Markevion,Quinn,Memphis,75,195,7,3,QB,Ruleville,MS,USA,33.7259478,-90.5514806,28133,56192
4382646,Nigel,Brannon,Memphis,77,333,54,2,DL,Oklahoma City,OK,USA,35.4729886,-97.5170536,40109,44350
4427244,Peter,Parrish,Memphis,73,190,1,2,QB,Phenix City,AL,USA,32.4709761,-85.0007653,01113,47109
4427513,Trevis,Hopper,Memphis,75,260,96,1,DL,Memphis,TN,USA,35.1490215,-90.0516285,47157,47849
4429406,An'Darius,Coffey,Memphis,72,181,10,1,DB,Winona,MS,USA,33.4820678,-89.7281369,28097,62694
4430372,Khi,Mathieu,Memphis,72,165,84,1,WR,New Orleans,LA,USA,29.9499323,-90.0701156,22071,62521
4430982,Keilon,Brown,Memphis,73,184,12,1,QB,Zachary,LA,USA,30.6485191,-91.1564961,22033,62354
4431293,Devonte,Nelson,Memphis,71,184,25,1,DB,Memphis,TN,USA,35.1490215,-90.0516285,47157,62553
4431471,Kobe,Webster,Memphis,72,195,16,1,WR,Texarkana,TX,USA,33.44628645,-94.07638067493534,48037,62876
4565301,Marcayll,Jones,Memphis,69,170,6,1,WR,Warner Robins,GA,USA,32.6200973,-83.606568,13153,62770
4565788,Brackston,Alford,Memphis,76,287,54,1,OL,Knoxville,TN,USA,35.9603948,-83.9210261,47093,62974
4567500,Kayode,Oladele,Memphis,77,250,6,2,DL,Miami,FL,USA,25.7742658,-80.1936589,12086,43217
4567502,Jalil,Clemons,Memphis,75,240,40,2,LB,Starkville,MS,USA,33.4503998,-88.8183872,28105,47466
4567503,Drew,Martin,Memphis,75,230,15,1,TE,North Little Rock,AR,USA,34.769536,-92.2670941,05119,48232
4567506,Tahj,Washington,Memphis,71,175,16,1,WR,Marshall,TX,USA,32.5447756,-94.3661004,48203,48648
4567507,Rodrigues,Clark,Memphis,72,200,2,2,RB,Starkville,MS,USA,33.4503998,-88.8183872,28105,47933
4567512,Ja'Len,Sims,Memphis,74,225,43,1,LB,Fultondale,AL,USA,33.631438,-86.78332454213484,01073,47786
4567514,Cole,Mashburn,Memphis,75,245,46,1,DE,Norman,OK,USA,35.2225717,-97.4394816,40027,47354
4567522,Jacob,Likes,Memphis,74,280,70,1,OL,Memphis,TN,USA,35.1490215,-90.0516285,47157,48865
4567525,Javon,Ivory,Memphis,74,180,13,1,WR,Grove Hill,AL,USA,31.7087681,-87.7772218,01025,49246
4567527,Tyler,Moore,Memphis,70,163,89,3,WR,Galena Park,TX,USA,29.7335616,-95.2302123,48201,32642
4574772,Brian,Thomas,Memphis,76,310,58,3,OL,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,40654
4575841,Jonah,Gambill,Memphis,75,276,65,1,OL,Cartersville,GA,USA,34.1650972,-84.7999383,13015,62973
4575882,Mitchell,Gildehaus,Memphis,76,270,78,1,OL,Washington,MO,USA,38.5581072,-91.0120878,29071,62846
4575882,Mitchell,Gildehaus,Memphis,76,270,78,1,OL,Washington,MO,USA,38.5581072,-91.0120878,29071,75015
4608821,Kajuan,Robinson,Memphis,74,300,99,1,DL,Bryant,AR,USA,34.5959265,-92.4890469,05125,63844
4612825,Davian,Mayo,Memphis,73,215,14,1,LB,Monticello,AR,USA,33.6293427,-91.7912327,05043,63106
4612825,Davian,Mayo,Memphis,73,215,14,1,LB,Monticello,AR,USA,33.6293427,-91.7912327,05043,75037
4613108,Kory,Gainwell,Memphis,68,180,25,1,RB,Yazoo City,MS,USA,32.8551326,-90.4056469,28163,63845
4687488,Kalyn,Grandberry,Memphis,72,205,6,3,RB,Memphis,TN,USA,35.1490215,-90.0516285,47157,65585
4687491,Sylvonta,Oliver,Memphis,70,175,11,3,DB,Como,MS,USA,34.5112588,-89.9399403,28107,65728
4687493,Brandon,Thomas,Memphis,71,200,27,1,RB,North Little Rock,AR,USA,34.769536,-92.2670941,05119,63221
4687497,Rhett,Weidenbacher,Memphis,75,235,44,3,TE,Metairie,LA,USA,30.001852,-90.1767149159888,22051,65629
4687511,Maurice,White,Memphis,77,290,4,3,DL,Detroit,MI,USA,42.3315509,-83.0466403,26163,65780
