ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
535077,Austin,Gearing,Miami (OH),77,No data,11,No data,DL,Franklin,OH,USA,39.5589474,-84.3041074,39165,24299
535083,Spencer,McInnis,Miami (OH),70,No data,20,No data,RB,Commerce Twp.,MI,USA,42.56945925,-83.49968284223547,26125,24513
535108,Rokeem,Williams,Miami (OH),73,No data,6,No data,WR,Williston,SC,USA,33.4026478,-81.4201063,45011,23620
550197,Heath,Harding,Miami (OH),70,190,24,No data,DB,Dayton,OH,USA,39.7589478,-84.1916069,39113,25905
550199,Buchi,Okafor,Miami (OH),73,No data,30,No data,DB,Lewis Center,OH,USA,40.1983958,-83.0101843,39041,27768
550202,Bert,Birdsall,Miami (OH),71,No data,28,No data,DB,Chesterfield,MO,USA,38.661953,-90.5643258,29189,27406
550203,Grant,Niemiec,Miami (OH),71,220,37,No data,TE,Commerce,MI,USA,42.5911431,-83.4907721,26125,26861
550213,Matt,Smallbone,Miami (OH),76,No data,53,No data,DL,Granger,IN,USA,41.7533819,-86.1108377,18141,27649
550214,Jared,Murphy,Miami (OH),70,182,88,No data,WR,Fort Wayne,IN,USA,41.0799898,-85.1386015,18003,26654
552651,Zach,Smierciak,Miami (OH),74,No data,32,No data,DL,Aurora,OH,USA,41.317555,-81.345386,39133,26949
552752,Jordan,Martin,Miami (OH),75,206,2,No data,DB,Upper Marlboro,MD,USA,38.8165274,-76.7519753,24033,26543
2157293,Chris,Hudson,Miami (OH),76,224,4,No data,WR,Hazard,KY,USA,37.24954,-83.1932284,21193,31401
3125962,Kenny,Young,Miami (OH),67,179,3,4,RB,Tallahasee,FL,USA,No data,No data,No data,31235
3125963,Daryus,Thompson,Miami (OH),73,195,8,4,DB,Powder Springs,GA,USA,33.8595492,-84.683824,13067,31410
3125968,Gus,Ragland,Miami (OH),73,215,14,4,QB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,30496
