ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
545550,John,O'Korn,Michigan,76,211,8,No data,QB,Huntingdon,PA,USA,40.4847959,-78.0102813,42061,25597
546420,Ty,Isaac,Michigan,75,228,32,No data,?,Shorewood,IL,USA,41.5200305,-88.2017293,17197,25011
546707,Henry,Poggi,Michigan,76,244,19,No data,FB,Baltimore,MD,USA,39.2908816,-76.610759,24510,25077
546709,Mike,McCray,Michigan,76,242,9,No data,LB,Trotwood,OH,USA,39.7972788,-84.3113334,39113,25086
546728,Khalid,Hill,Michigan,74,265,80,No data,FB,Detroit,MI,USA,42.3315509,-83.0466403,26163,25624
3115963,Drake,Harris,Michigan,76,190,1,4,WR,Grand Rapids,MI,USA,42.9632405,-85.6678639,26081,28275
3115966,Wilton,Speight,Michigan,78,232,3,4,QB,Richmond,VA,USA,37.5385087,-77.43428,51760,28659
3115967,Jared,Wangler,Michigan,74,240,5,4,FB,Royal Oak,MI,USA,42.4894801,-83.1446485,26125,28991
3115968,Brandon,Watson,Michigan,71,204,28,4,DB,Wilmington,DE,USA,39.7459468,-75.546589,10003,28982
3115974,Chase,Winovich,Michigan,75,255,15,4,LB,Clairton,PA,USA,40.2922938,-79.8817181,42003,28497
3115975,Noah,Furbush,Michigan,77,237,59,4,LB,Kenton,OH,USA,40.6478171,-83.6089968,39065,28725
3115978,Maurice,Ways,Michigan,75,215,85,No data,WR,Beverly Hills,MI,USA,34.0696501,-118.3963062,06037,28703
3115979,Bryan,Mone,Michigan,76,335,90,4,DL,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,28319
3115980,Lawrence,Marshall,Michigan,76,285,93,4,DL,Southfield,MI,USA,42.4733689,-83.2218731,26125,28385
3115981,Ian,Bunting,Michigan,79,252,89,No data,TE,Hinsdale,IL,USA,41.794528,-87.92761808245767,17043,28526
3929919,Reuben,Jones,Michigan,76,250,91,4,DL,Lakeland,FL,USA,28.0394654,-81.9498042,12105,32641
3929922,Tyrone,Wheatley,Michigan,78,265,17,No data,TE,Buffalo,NY,USA,42.8867166,-78.8783922,36029,32168
3929923,Grant,Perry,Michigan,72,195,88,4,WR,Bloomfield Hills,MI,USA,42.583645,-83.2454883,26125,32733
3929924,Zach,Gentry,Michigan,80,262,83,4,TE,Albuquerque,NM,USA,35.0841034,-106.6509851,35001,32033
3929926,Tyree,Kinnel,Michigan,71,215,23,4,DB,Huber Heights,OH,USA,39.85902405,-84.11136295364687,39113,32053
3929927,Karan,Higdon,Michigan,70,202,22,4,RB,Sarasota,FL,USA,27.3364347,-82.5306527,12115,32339
3929936,Jon,Runyan,Michigan,77,321,75,4,OL,Moorestown,NJ,USA,39.9670569,-74.9426677,34005,32990
4036258,Carlo,Kemp,Michigan,75,286,2,4,DL,Boulder,CO,USA,40.0149856,-105.2705456,08013,35485
4036260,Kareem,Walker,Michigan,74,220,10,4,RB,Irvington,NJ,USA,40.7323235,-74.2348684,34013,35284
4036261,Devin,Bush,Michigan,71,233,10,3,LB,Pembroke Pines,FL,USA,26.02322025,-80.34123906625615,12011,35497
4036262,Brandon,Peters,Michigan,77,220,18,4,QB,Avon,IN,USA,39.7628227,-86.3997168,18063,35244
4036275,Sean,McKeon,Michigan,77,246,84,4,TE,Dudley,MA,USA,42.0572744,-71.9396898,25027,36032
4046519,Kekoa,Crawford,Michigan,73,180,11,4,WR,Rancho Santa Margarita,CA,USA,33.6408845,-117.6029341,06059,35303
4046520,Nick,Eubanks,Michigan,77,256,82,4,TE,Plantation,FL,USA,26.1265258,-80.25786123765101,12011,35540
4046521,Elysee,Mbem-Bosse,Michigan,75,232,52,No data,LB,Ellenwood,GA,USA,33.6101096,-84.287978,13063,35670
4046523,Rashan,Gary,Michigan,77,283,3,3,DL,Plainfield,NJ,USA,40.6337136,-74.4073737,34039,35184
4046525,Khaleke,Hudson,Michigan,72,220,7,4,LB,Mckeesport,PA,USA,40.3478472,-79.864215,42003,35557
4046526,Devin,Gil,Michigan,73,236,6,4,LB,Pembroke Pines,FL,USA,26.02322025,-80.34123906625615,12011,36175
4046528,Josh,Uche,Michigan,74,250,6,4,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,67232
4046530,Chris,Evans,Michigan,71,216,9,4,RB,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,35509
4046531,Eddie,McDoom,Michigan,72,185,13,4,WR,Winter Garden,FL,USA,28.5656649,-81.5856742,12095,35579
