ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3125144,Kevin,McCoy,Navy,76,222,40,No data,OLB,Fayetteville,NC,USA,35.0525759,-78.878292,37051,27413
3125148,Micah,Thomas,Navy,73,241,44,No data,LB,Cedar Park,TX,USA,30.5217116,-97.827833,48491,30183
3125156,Josh,Brown,Navy,69,189,28,No data,?,Lilburn,GA,USA,33.8901036,-84.1429719,13135,29631
3125171,Tyler,Sayles,Navy,74,257,91,No data,DE,Coral Springs,FL,USA,26.26485615,-80.26534203798758,12011,31137
3125183,Brandon,Colon,Navy,76,223,87,No data,WR,Brownsville,TX,USA,25.9140256,-97.4890856,48061,30487
3125185,Tyler,Carmona,Navy,76,227,88,No data,WR,Davie,FL,USA,26.075729,-80.28410897530864,12011,27317
3129416,Craig,Scott,Navy,74,189,82,No data,WR,Kansas City,MO,USA,39.100105,-94.5781416,29095,27417
3916251,Zach,Abey,Navy,74,212,9,4,WR,Pasadena,MD,USA,39.1361859,-76.5490844,24003,30902
3916278,Taylor,Jackson,Navy,75,215,89,4,WR,Texarkana,TX,USA,33.44628645,-94.07638067493534,48037,31489
3916279,Elijah,Jones,Navy,71,188,26,4,CB,Rancho Cucamonga,CA,USA,34.1033192,-117.5751735,06071,33140
3916282,Garret,Lewis,Navy,73,200,7,4,QB,Buhl,AL,USA,33.2570623,-87.7527902,01125,31427
3916285,Bennett,Moehring,Navy,69,175,16,4,PK,Bentonville,AR,USA,36.3728538,-94.2088172,05007,34743
3916290,Jarvis,Polu,Navy,75,292,90,4,DE,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,29188
3916303,Anthony,Villalobos,Navy,74,261,95,4,DE,Fort Worth,TX,USA,32.753177,-97.3327459,48439,29885
3916313,Andrew,Wood,Navy,76,290,61,4,OT,Mt. Juliet,TN,USA,36.200055,-86.5186054,47189,32570
4039416,Noruwa,Obanor,Navy,73,194,15,4,S,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,33163
4039418,Tazh,Maloy,Navy,67,178,25,4,WR,Pflugerville,TX,USA,30.4393696,-97.6200043,48453,34708
4039419,Travis,Brannan,Navy,72,180,22,4,WR,Austin,TX,USA,30.2711286,-97.7436995,48453,37364
4039422,Jeremy,Griffis,Navy,69,187,16,4,CB,Burlington,NC,USA,36.0956918,-79.4377991,37001,34612
4039423,Elan,Nash,Navy,71,205,8,4,S,Glen Mills,PA,USA,39.919698,-75.4904323,42045,38233
4039426,Sion,Harrington,Navy,75,217,42,4,LB,Mooresville,NC,USA,35.5848596,-80.8100724,37097,67384
4039433,Tyler,Pistorio,Navy,74,215,41,4,LB,Matthews,NC,USA,35.1170873,-80.723718,37119,37908
4039436,Malcolm,Perry,Navy,69,190,10,4,QB,Clarksville,TN,USA,36.5277607,-87.3588703,47125,48703
4039438,Kendel,Wright,Navy,76,287,76,4,OT,Buford,GA,USA,34.1206564,-84.0043513,13135,34338
4039439,Niko,Yaramus,Navy,75,281,66,4,G,Moon Township,PA,USA,40.5061,-80.2082,42003,34564
4039442,Mike,Adzima,Navy,74,288,77,4,C,Wallington,NJ,USA,40.8531553,-74.1137537,34003,34806
4039443,TJ,Salu,Navy,74,297,60,4,G,Portland,OR,USA,45.5202471,-122.6741949,41051,34124
4039453,Mack,Nash,Navy,77,250,70,4,DE,Saint Marys,GA,USA,30.7305142,-81.5464928,13039,36732
4039457,Ford,Higgins,Navy,74,260,72,4,C,Norcross,GA,USA,33.9412127,-84.2135309,13135,38357
4039458,Eric,Cal,Navy,75,268,59,4,C,Waxhaw,NC,USA,34.9362535,-80.75079198523316,37179,38475
4039462,Joe,Goff,Navy,77,284,63,4,OT,Framingham,MA,USA,42.2792625,-71.416172,25017,35874
4039463,Michael,Pifer,Navy,75,245,44,4,LS,Jeannette,PA,USA,40.3281247,-79.6153198,42129,34962
4039466,Jackson,Pittman,Navy,75,300,99,4,DL,Antioch,TN,USA,36.0806394,-83.7799037,47093,33995
4243708,Micah,Farrar,Navy,72,180,14,4,CB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,42326
4243711,Evan,Fochtman,Navy,73,193,11,4,S,Crownsville,MD,USA,39.0284438,-76.6013536,24003,42006
4243712,CJ,Williams,Navy,68,175,20,4,RB,Cibolo,TX,USA,29.5707831,-98.2330927,48187,41361
4243713,Myles,Fells,Navy,71,180,23,4,RB,Little Rock,AR,USA,34.7464809,-92.2895948,05119,41718
4243714,Garrett,Winn,Navy,70,175,26,4,WR,West Bloomfield,MI,USA,42.5679,-83.3733,36069,42572
4243715,Dalen,Morris,Navy,73,206,8,4,QB,Huntsville,AL,USA,34.729847,-86.5859011,01089,41865
