ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3699698,Christian,Gaylord,Nebraska,78,310,65,4,OL,Baldwin City,KS,USA,38.775007,-95.1863603,20045,32340
4034840,Marquel,Dismuke,Nebraska,74,215,9,4,S,Compton,CA,USA,33.894927,-118.226624,06037,35433
4034841,JoJo,Domann,Nebraska,73,230,13,4,LB,Colorado Springs,CO,USA,38.8339578,-104.8253485,08041,35765
4034843,Matt,Farniok,Nebraska,78,330,71,4,OL,Sioux Falls,SD,USA,43.5499749,-96.700327,46099,35523
4034856,Collin,Miller,Nebraska,75,240,31,4,LB,Fishers,IN,USA,39.9555928,-86.0138729,18057,36024
4034861,Ben,Stille,Nebraska,77,295,95,4,DL,Ashland,NE,USA,41.0391711,-96.3683917,31155,35844
4034862,Jack,Stoll,Nebraska,76,260,86,4,TE,Lone Tree,CO,USA,39.5360997,-104.8963682,08035,35957
4034865,Boe,Wilson,Nebraska,75,305,56,4,OL,Lee's Summit,MO,USA,38.9107156,-94.3821295,29095,35884
4035441,Connor,Culp,Nebraska,70,190,33,4,PK,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,36760
4037295,Dedrick,Mills,Nebraska,71,220,26,4,RB,Waycross,GA,USA,31.2135511,-82.3540178,13299,35933
4037295,Dedrick,Mills,Nebraska,71,220,26,4,RB,Waycross,GA,USA,31.2135511,-82.3540178,13299,56478
4047820,Jared,Bubak,Nebraska,77,245,80,4,TE,Lincoln,NE,USA,40.8088861,-96.7077751,31109,35802
4240677,Jordon,Riley,Nebraska,78,330,91,3,DL,Durham,NC,USA,35.996653,-78.9018053,37063,39133
4240677,Jordon,Riley,Nebraska,78,330,91,3,DL,Durham,NC,USA,35.996653,-78.9018053,37063,65593
4240787,Austin,Allen,Nebraska,80,260,11,3,TE,Aurora,NE,USA,40.866888,-98.004508,31081,39437
4240788,Broc,Bando,Nebraska,77,315,73,3,OL,Lincoln,NE,USA,40.8088861,-96.7077751,31109,39706
4240794,Damion,Daniels,Nebraska,75,335,93,3,DL,Dallas,TX,USA,32.7762719,-96.7968559,48113,39254
4240798,Trent,Hixson,Nebraska,76,320,75,3,OL,Omaha,NE,USA,41.2587459,-95.9383758,31055,42365
4240800,Brenden,Jaimes,Nebraska,78,300,76,4,OL,Austin,TX,USA,30.2711286,-97.7436995,48453,39031
4240809,Kurt,Rafdal,Nebraska,79,245,82,3,TE,Carmel,IN,USA,39.9788017,-86.1189257,18057,39331
4240813,Matt,Sichterman,Nebraska,76,315,70,3,OL,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,39055
4240814,Deontre,Thomas,Nebraska,75,295,97,3,DL,Mustang,OK,USA,35.384227,-97.7244813,40017,39053
4240816,Chris,Walker,Nebraska,78,300,55,3,DL,Lincoln,NE,USA,40.8088861,-96.7077751,31109,39712
4240819,Kade,Warner,Nebraska,73,205,85,4,WR,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,42786
4241798,Omar,Manning,Nebraska,76,225,5,3,WR,Lancaster,TX,USA,32.5920798,-96.7561083,48113,65506
4258189,Oliver,Martin,Nebraska,73,200,89,3,WR,Coralville,IA,USA,41.6764044,-91.5804475,19103,38795
4259324,Travis,Vokolek,Nebraska,78,260,83,3,TE,Springfield,MO,USA,37.2166779,-93.2920373,29077,40658
4361156,David,Alston,Nebraska,76,235,45,2,LB,Saint Paul,MN,USA,44.9504037,-93.1015026,27123,43512
4361165,Braxton,Clark,Nebraska,76,210,11,2,CB,Orlando,FL,USA,28.5421109,-81.3790304,12095,44008
4361166,Will,Farniok,Nebraska,75,295,52,3,C,Sioux Falls,SD,USA,43.5499749,-96.700327,46099,43771
4361178,Cameron,Jurgens,Nebraska,75,290,51,2,OL,Beatrice,NE,USA,40.266429,-96.747369,31067,43100
4361182,Adrian,Martinez,Nebraska,74,220,2,3,QB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,43046
4361189,Casey,Rogers,Nebraska,76,300,98,2,DL,Syracuse,NY,USA,43.0481221,-76.1474244,36067,43919
4361195,Caleb,Tannor,Nebraska,74,230,2,3,LB,Stone Mountain,GA,USA,33.8080924,-84.1706273,13089,43235
4361196,Cam,Taylor-Britt,Nebraska,72,205,5,3,CB,Montgomery,AL,USA,32.3669656,-86.3006485,01101,43650
4361196,Cam,Taylor-Britt,Nebraska,72,205,5,3,CB,Montgomery,AL,USA,32.3669656,-86.3006485,01101,67911
4361200,Tate,Wildeman,Nebraska,77,290,92,2,DL,Parker,CO,USA,39.5184514,-104.7612638,08035,43228
4361292,Zach,Schlager,Nebraska,72,220,25,2,LB,Mccook,NE,USA,40.2006859,-100.6257666,31145,44920
4426492,Noa,Pola-Gates,Nebraska,71,180,21,1,S,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,46943
4426493,Ezra,Miller,Nebraska,78,325,66,1,OL,Holstein,IA,USA,42.4891531,-95.545003,19093,47150
4426511,Nick,Henrich,Nebraska,76,225,42,1,LB,Omaha,NE,USA,41.2587459,-95.9383758,31055,46942
4426623,Brant,Banks,Nebraska,79,305,74,1,OL,Houston,TX,USA,29.7589382,-95.3676974,48201,47650
4426948,Luke,McCaffrey,Nebraska,74,200,12,1,QB,Highlands Ranch,CO,USA,39.5538771,-104.9694264,08035,47053
