ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
4037514,Rontavius,Groves,North Carolina,71,180,4,3,WR,Nashville,TN,USA,36.1622296,-86.7743531,47037,35633
4037516,Patrice,Rene,North Carolina,74,205,24,4,DB,Ottawa,ON,CAN,No data,No data,No data,35596
4037519,Myles,Wolfolk,North Carolina,71,195,11,4,DB,Largo,MD,USA,38.8976121,-76.8302489,24033,35895
4037520,Tomon,Fox,North Carolina,75,260,12,4,LB,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,35542
4037521,Chazz,Surratt,North Carolina,74,225,21,4,LB,Denver,NC,USA,35.5312452,-81.0297994,37109,35594
4037522,D.J.,Ford,North Carolina,75,215,9,4,S,Ashland,AL,USA,33.2737256,-85.8360741,01027,36914
4037526,Tyrone,Hopper,North Carolina,76,245,42,4,LB,Roswell,GA,USA,34.02332,-84.360022,13121,35914
4037532,Garrett,Walston,North Carolina,76,245,84,4,TE,Wilmington,NC,USA,34.2257282,-77.9447107,37129,35629
4240657,Michael,Carter,North Carolina,68,199,8,4,RB,Navarre,FL,USA,30.4019789,-86.8700821,12113,39048
4240661,Dazz,Newsome,North Carolina,71,190,5,4,WR,Hampton,VA,USA,37.0520315,-76.2856365,51650,39668
4240667,Xach,Gill,North Carolina,73,290,91,3,DT,Wake Forest,NC,USA,35.9803138,-78.5103731,37183,39028
4240668,Jeremiah,Gemmel,North Carolina,73,225,44,4,LB,Newnan,GA,USA,33.3806716,-84.7996573,13077,39450
4240670,Billy,Ross,North Carolina,77,320,56,3,OL,Huntington,WV,USA,38.4192496,-82.445154,54011,39018
4240671,Brian,Anderson,North Carolina,74,305,68,4,OL,Montgomery,AL,USA,32.3669656,-86.3006485,01101,39524
4240673,Marcus,McKethan,North Carolina,78,335,73,4,OL,Barnwell,SC,USA,33.2448733,-81.3587178,45011,39457
4240674,Jordan,Tucker,North Carolina,78,340,74,4,OL,Roswell,GA,USA,34.02332,-84.360022,13121,39377
4240676,Beau,Corrales,North Carolina,75,210,15,4,WR,Georgetown,TX,USA,30.671598,-97.65500660120435,48491,39822
4240678,Noah,Ruggles,North Carolina,72,195,No data,4,PK,Odessa,FL,USA,28.183222,-82.55402792188,12101,40899
4260081,Cooper,Graham,North Carolina,73,200,96,3,PK,Asheville,NC,USA,35.6009498,-82.5540161,37021,40475
4263713,Bryce,Watts,North Carolina,72,175,2,3,DB,Toms River,NJ,USA,39.9537359,-74.1979576,34029,39520
4360313,Kyler,McMichael,North Carolina,72,210,1,3,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,42963
4361574,Bryson,Richardson,North Carolina,72,205,6,2,DB,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,43781
4361575,Jace,Ruder,North Carolina,74,225,10,2,QB,Norton,KS,USA,39.833895,-99.891511,20137,43243
4361577,Dyami,Brown,North Carolina,73,185,2,3,WR,Charlotte,NC,USA,35.2272,-80.843083,37119,43088
4361579,Javonte,Williams,North Carolina,70,220,25,3,RB,Wallace,NC,USA,34.735724,-77.9952628,37061,44383
4373266,Antoine,Green,North Carolina,74,205,3,4,WR,Rockledge,FL,USA,28.313751500000002,-80.72421890178558,12009,43257
4373267,DeAndre,Hollins,North Carolina,74,210,15,2,DB,Tampa,FL,USA,27.9477595,-82.458444,12057,44511
4373268,Chris,Collins,North Carolina,76,255,17,3,LB,Richmond,VA,USA,37.5385087,-77.43428,51760,43314
4373270,Trey,Morrison,North Carolina,69,190,4,4,DB,Norcross,GA,USA,33.9412127,-84.2135309,13135,43715
4373271,Javon,Terry,North Carolina,74,180,16,3,DB,Wake Forest,NC,USA,35.9803138,-78.5103731,37183,43904
4373275,Jahlil,Taylor,North Carolina,71,310,52,3,DL,Vienna,GA,USA,32.0913402,-83.7964675,13093,43984
4373277,Lancine,Turay,North Carolina,78,280,58,2,DT,Newark,NJ,USA,40.735657,-74.1723667,34013,44018
4373278,Ed,Montilus,North Carolina,75,315,63,3,OL,Apopka,FL,USA,28.6779683,-81.5115214,12095,43474
4373280,Joshua,Ezeudu,North Carolina,76,325,75,3,OL,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,43842
4373281,William,Barnes,North Carolina,75,325,76,3,OL,Apopka,FL,USA,28.6779683,-81.5115214,12095,42960
4426466,Cam'Ron,Kelly,North Carolina,73,210,9,3,DB,Chesapeake,VA,USA,36.7183708,-76.2466798,51550,47014
4426590,Wisdom,Asaboro,North Carolina,80,315,77,2,OL,Charlotte,NC,USA,35.2272,-80.843083,37119,47299
4426704,Giovanni,Biggers,North Carolina,73,200,27,3,DB,Woodbridge,VA,USA,38.6581723,-77.2497049,51153,47496
