ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3675298,Dillon,Faamatau,Oklahoma,75,290,91,4,DL,Norwalk,CA,USA,33.9092802,-118.0849169,06037,32982
3707734,Kenneth,Mann,Oklahoma,75,269,55,4,DL,Burleson,TX,USA,32.5420821,-97.3208492,48251,32665
3708008,A.D.,Miller,Oklahoma,75,194,5,4,WR,Dallas,TX,USA,32.7762719,-96.7968559,48113,32678
3708099,Marquise,Overton,Oklahoma,73,304,97,4,DL,Tulsa,OK,USA,36.1556805,-95.9929113,40143,32057
3892883,Neville,Gallimore,Oklahoma,74,301,90,4,DL,St. Catharines,ON,CAN,No data,No data,No data,31931
3921728,Connor,McGinnis,Oklahoma,76,189,3,4,QB,Oklahoma City,OK,USA,35.4729886,-97.5170536,40109,33598
4029898,Spencer,Jones,Oklahoma,73,197,87,4,QB,Nashville,TN,USA,36.1622296,-86.7743531,47037,49164
4037638,Mark,Jackson Jr.,Oklahoma,73,245,42,4,DE,Cibolo,TX,USA,29.5707831,-98.2330927,48187,35383
4037639,Mykel,Jones,Oklahoma,71,190,1,4,WR,Patterson,LA,USA,29.6933,-91.3021,06099,35419
4037641,Caleb,Kelly,Oklahoma,75,232,19,4,LB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,35208
4037647,Parnell,Motley,Oklahoma,72,178,11,4,CB,Washington,DC,USA,38.8949855,-77.0365708,11001,35788
4037648,Jordan,Parker,Oklahoma,71,180,1,3,DB,Pittsburg,CA,USA,38.0181745,-121.8901232,06013,35342
4037652,Tanner,Schafer,Oklahoma,75,217,1,4,QB,Canadian,TX,USA,35.9120114,-100.3839018,48211,38441
4037653,Erik,Swenson,Oklahoma,77,326,77,4,OL,Downers Grove,IL,USA,41.7938195,-88.010376,17043,35503
4037654,Chanse,Sylvie,Oklahoma,72,196,28,4,CB,Shreveport,LA,USA,32.5221828,-93.7651944,22017,35560
4037655,Jon-Michael,Terry,Oklahoma,75,245,6,4,LB,Tulsa,OK,USA,36.1556805,-95.9929113,40143,35740
4040715,Jalen,Hurts,Oklahoma,74,219,1,4,QB,Channelview,TX,USA,29.7760599,-95.1146533,48201,35360
4040819,Bryce,Roberts,Oklahoma,76,340,78,3,OL,Yukon,OK,USA,35.5067259,-97.7625386,40017,38343
4241368,Robert,Barnes,Oklahoma,74,232,20,3,LB,Southlake,TX,USA,32.9412363,-97.1341783,48439,38722
4241370,Justin,Broiles,Oklahoma,70,190,25,3,DB,Oklahoma City,OK,USA,35.4729886,-97.5170536,40109,38704
4241371,Kennedy,Brooks,Oklahoma,71,215,26,3,RB,Mansfield,TX,USA,32.5631924,-97.1416768,48439,38835
4241373,Tre,Brown,Oklahoma,70,186,6,4,CB,Tulsa,OK,USA,36.1556805,-95.9929113,40143,38769
4241374,Grant,Calcaterra,Oklahoma,76,242,88,4,TE,Rancho Santa Margarita,CA,USA,33.6408845,-117.6029341,06059,38852
4241376,K'Jakyre,Daley,Oklahoma,74,253,41,2,LB,Riviera Beach,FL,USA,26.7753405,-80.0580969,12099,39419
4241377,Levi,Draper,Oklahoma,73,250,30,4,LB,Collinsville,OK,USA,36.3661205,-95.8398108,40143,38749
4241378,Adrian,Ealy,Oklahoma,78,327,59,3,OL,Gonzales,LA,USA,30.2385294,-90.9200987,48177,38892
4241380,Jeremiah,Hall,Oklahoma,74,253,27,3,TE,Charlotte,NC,USA,35.2272,-80.843083,37119,39273
4241382,Marquis,Hayes,Oklahoma,77,349,54,3,OL,Maryland Heights,MO,USA,38.7150511,-90.435999,29189,38882
4241385,Creed,Humphrey,Oklahoma,77,320,56,3,OL,Shawnee,OK,USA,35.3272928,-96.9253004,40125,38914
