ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
536567,Nick,England,Old Dominion,72,No data,15,No data,WR,Suwanee,GA,USA,34.0514898,-84.0712997,13135,24955
553048,Jude,Brenya,Old Dominion,75,No data,92,No data,DE,Cranberry,NJ,USA,39.956534,-74.517147,34005,27836
553052,Rashaad,Coward,Old Dominion,78,No data,57,No data,DT,Brooklyn,NY,USA,40.6501038,-73.9495823,36047,26591
553069,Bunmi,Rotimi,Old Dominion,76,275,44,No data,DE,Alexandria,VA,USA,38.8051095,-77.0470229,51510,28155
553072,Melvin,Vaughn,Old Dominion,74,233,9,No data,TE,Chesapeake,VA,USA,36.7183708,-76.2466798,51550,27877
553074,Aaron,Young,Old Dominion,71,No data,27,No data,CB,Washington,DC,USA,38.8949855,-77.0365708,11001,27056
3123205,Vincent,Lowe,Old Dominion,69,181,4,No data,RB,Chesapeake,VA,USA,36.7183708,-76.2466798,51550,29730
3123206,Christian,Byrum,Old Dominion,73,182,3,No data,S,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,29817
3123207,Justice,Davila,Old Dominion,72,193,28,4,S,Erial,NJ,USA,39.773448,-75.006278,34007,30356
3123208,Isaiah,Harper,Old Dominion,69,168,15,4,WR,Chesapeake,VA,USA,36.7183708,-76.2466798,51550,30548
3123209,Shuler,Bentley,Old Dominion,73,No data,19,No data,QB,Duncan,SC,USA,34.9378962,-82.1451096,45083,29660
3123210,Justin,Noye,Old Dominion,73,212,22,4,S,Rochester,NY,USA,43.157285,-77.615214,36055,29287
3123211,Lawrence,Holley,Old Dominion,74,201,9,No data,CB,Harrisburg,PA,USA,40.2663107,-76.8861122,42043,31073
3123212,Ray,Lawry,Old Dominion,70,203,33,No data,RB,Logan Township,NJ,USA,40.569103,-74.68529,34035,29208
3123214,Jarrett,Cervi,Old Dominion,73,No data,39,No data,PK,Raleigh,NC,USA,35.7803977,-78.6390989,37183,31336
3123215,Isaiah,Worthy,Old Dominion,73,No data,40,No data,LB,Westville,NJ,USA,39.8700552,-75.1265177,34015,30112
3123219,Torrez,Wentz,Old Dominion,74,278,50,No data,DL,Warrenton,GA,USA,33.4070837,-82.6620781,13301,31028
3123220,Pat,Toal Jr.,Old Dominion,76,316,17,4,DT,Hazlet ,NJ,USA,40.4154057,-74.1905486,34025,30573
3123221,Nick,Clarke,Old Dominion,76,312,63,4,OL,Mechanicsville,VA,USA,37.6193174,-77.3369627,51085,31139
3123225,Ryan,Londree,Old Dominion,75,277,12,4,DT,Charlottesville,VA,USA,38.029306,-78.4766781,51540,31029
3123226,Jonathan,Duhart,Old Dominion,75,220,9,4,WR,Midlothian,VA,USA,37.5062673,-77.649268,51041,30635
3123229,Marques,Little,Old Dominion,69,182,3,No data,WR,Williamstown,NJ,USA,39.6862263,-74.995168,34015,29828
3123231,Brandon,Tyson,Old Dominion,73,342,8,4,DT,Midlothian,VA,USA,37.5062673,-77.649268,51041,30229
3123233,Oshane,Ximines,Old Dominion,76,255,7,4,DE,Ahoskie,NC,USA,36.2868223,-76.9846808,37091,29892
3128581,Daniel,Appouh,Old Dominion,76,249,4,4,DE,Germantown,MD,USA,39.1731621,-77.2716502,24031,29513
3139530,Brandon,Simmons,Old Dominion,69,187,23,4,RB,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,36826
3914526,Casey,Bernard,Old Dominion,74,249,91,No data,DE,White Plains,MD,USA,38.3717842,-75.5457562,24045,33644
3914530,Jamez,Brickhouse,Old Dominion,70,183,5,3,CB,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,33205
3914534,Jeremy,Cox,Old Dominion,71,217,35,4,RB,Hope Mills,NC,USA,34.9704419,-78.9453056,37051,57504
3914535,Nijee,Cox,Old Dominion,75,234,85,3,TE,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,34355
3914537,Miles,Fox,Old Dominion,73,286,11,4,DL,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,33257
3914538,Kyle,Goddard,Old Dominion,71,185,11,No data,WR,Lexington Park,MD,USA,38.2641725,-76.453107,24037,34073
3914541,Gemonta,Jackson,Old Dominion,70,193,3,3,RB,Petersburg,VA,USA,37.227928,-77.4019268,51730,34457
3914545,Kane,Miskel,Old Dominion,74,183,6,3,DB,Suffolk,VA,USA,36.7282096,-76.5835703,51800,34784
3914549,Kesean,Strong,Old Dominion,70,197,1,4,RB,Oxon Hill,MD,USA,38.8035961,-76.9896573,24033,34025
3914551,Richard,Thomas,Old Dominion,72,No data,38,No data,LB,Meridan,MS,USA,34.928763,-89.246719,28009,55075
3914552,Joey,Verhaegh,Old Dominion,75,No data,14,No data,TE,Boise,ID,USA,43.6166163,-116.200886,16001,55074
3914553,Tim,Ward,Old Dominion,78,243,2,4,DE,High Point,NC,USA,35.9556924,-80.0053176,37081,34677
3914555,Denzel,Williams,Old Dominion,74,204,25,No data,S,Petersburg,VA,USA,37.227928,-77.4019268,51730,34664
3914556,Shadow,Williams,Old Dominion,72,No data,45,No data,LB,Land O Lakes,FL,USA,28.2188992,-82.4575938,12101,54990
4037422,Jelani,Carter,Old Dominion,73,207,27,3,DB,Roanoke,VA,USA,37.270973,-79.9414313,51770,37526
4037445,Sam,White Jr.,Old Dominion,75,224,95,3,DE,Orlando,FL,USA,28.5421109,-81.3790304,12095,38268
