ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3915134,Brady,Aiello,Oregon,79,311,66,4,OL,Lafayette,CA,USA,37.8857582,-122.1180201,06013,32270
3915135,Gary,Baker,Oregon,75,310,51,4,DT,Upland,CA,USA,34.09751,-117.6483876,06071,32544
3915136,Jacob,Breeland,Oregon,77,250,27,4,TE,Mission Viejo,CA,USA,33.5965685,-117.659405,06059,32498
3915137,Drayton,Carlberg,Oregon,77,282,90,4,DT,Minneapolis,MN,USA,44.9772995,-93.2654692,27053,32546
3915138,Gus,Cumberlander,Oregon,79,256,45,4,DE,Ellenwood,GA,USA,33.6101096,-84.287978,13063,32995
3915139,Jake,Hanson,Oregon,77,295,55,4,OL,Eureka,CA,USA,40.8020712,-124.1636729,06023,32524
3915142,Shane,Lemieux,Oregon,76,316,68,4,OL,Yakima,WA,USA,46.601557,-120.5108421,53077,32352
3915147,Calvin,Throckmorton,Oregon,77,309,54,4,OL,Bellevue,WA,USA,47.6144219,-122.1923372,53033,32386
3929645,Juwan,Johnson,Oregon,76,231,6,4,WR,Glassboro,NJ,USA,39.7027677,-75.1119434,34015,31988
4036823,Dru,Mathis,Oregon,75,224,54,4,LB,Ventura,CA,USA,34.3435092,-119.29560423163717,06111,36433
4038941,Justin,Herbert,Oregon,78,237,10,4,QB,Eugene,OR,USA,44.0505054,-123.0950506,41039,35838
4038944,Brady,Breeze,Oregon,72,198,25,4,S,Lake Oswego,OR,USA,45.4206749,-122.6706498,41005,35456
4038945,La'Mar,Winston Jr.,Oregon,74,227,32,4,LB,Portland,OR,USA,45.5202471,-122.6741949,41051,35437
4038946,Troy,Dye,Oregon,76,226,35,4,LB,Norco,CA,USA,33.9323307,-117.5508901,06065,35772
4038952,Hunter,Kampmoyer,Oregon,76,240,48,4,TE,Bishop,CA,USA,37.363679,-118.3952405,06027,35727
4038955,Bryson,Young,Oregon,77,248,56,4,LB,Clovis,CA,USA,36.8252277,-119.7029194,06019,35431
4038961,Cam,McCormick,Oregon,77,251,84,4,TE,Bend,OR,USA,44.0581728,-121.3153096,41017,67252
4047941,Brenden,Schooler,Oregon,74,201,14,4,DB,Dana Point,CA,USA,33.4669721,-117.6981075,06059,38487
4242485,Thomas,Graham Jr.,Oregon,71,193,4,4,CB,Rancho Cucamonga,CA,USA,34.1033192,-117.5751735,06071,38707
4242486,Sampson,Niu,Oregon,73,215,No data,4,LB,San Diego,CA,USA,32.7174209,-117.1627714,06073,38966
4242488,Deommodore,Lenoir,Oregon,71,195,No data,4,CB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,38691
4242489,Nick,Pickett,Oregon,73,210,6,4,S,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,39530
4242491,Darrian,Felix,Oregon,71,184,2,4,RB,Fort Myers,FL,USA,26.640628,-81.8723084,12071,39289
4242492,CJ,Verdell,Oregon,70,210,7,3,RB,Chula Vista,CA,USA,32.6400541,-117.0841955,06073,39058
4242494,Cyrus,Habibi-Likio,Oregon,73,215,33,3,RB,Palo Alto,CA,USA,37.4443293,-122.1598465,06085,39039
4242495,Jordon,Scott,Oregon,73,311,3,4,DT,Largo,FL,USA,27.9094665,-82.7873244,12103,39507
4242497,Isaac,Slade-Matautia,Oregon,73,235,41,3,LB,Honolulu,HI,USA,21.304547,-157.8556764,15003,38943
