ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3116150,Mark,Allen,Penn State,66,190,8,4,RB,Hyattsville,MD,USA,38.9529442,-76.9408647,24033,29299
3116162,Koa,Farmer,Penn State,73,236,7,4,LB,Lake View Terrace,CA,USA,34.2763908,-118.3611912,06037,28597
3116172,Trace,McSorley,Penn State,72,203,9,4,QB,Ashburn,VA,USA,39.0437192,-77.4874899,51107,28775
3116175,Amani,Oruwariye,Penn State,73,201,21,4,CB,Tampa,FL,USA,27.9477595,-82.458444,12057,28894
3116179,Nick,Scott,Penn State,71,199,4,4,S,Fairfax,VA,USA,38.8462236,-77.3063733,51600,28764
3116181,Johnathan,Thomas,Penn State,71,221,20,4,RB,Peabody,MA,USA,42.5278731,-70.9286609,25009,28691
3116182,DeAndre,Thompkins,Penn State,71,188,3,4,WR,Hubert,NC,USA,34.7137729,-77.2452328,37133,28434
3116185,Chasz,Wright,Penn State,79,348,77,4,OL,Woodbridge,VA,USA,38.6581723,-77.2497049,51153,26732
3791110,Tommy,Stevens,Penn State,77,235,7,4,QB,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,32502
3907951,Joe,Arcangelo,Penn State,76,253,41,3,TE,Clarks Summit,PA,USA,41.4941161,-75.703413,42069,35063
3929631,Ryan,Bates,Penn State,76,301,52,3,OL,Warrington,PA,USA,40.2492741,-75.1340604,42017,32020
3929633,Nick,Bowers,Penn State,76,260,83,4,TE,Kittanning,PA,USA,40.8164531,-79.5219893,42005,32513
3929638,Jake,Cooper,Penn State,73,231,33,4,LB,Doylestown,PA,USA,40.3100446,-75.1304588,42017,32374
3929641,Kevin,Givens,Penn State,73,283,30,3,DT,Altoona,PA,USA,40.518681,-78.394736,42013,32737
3929642,Steven,Gonzalez,Penn State,76,341,74,4,OL,Union City,NJ,USA,40.7795455,-74.0237512,34017,32208
3929643,Jonathan,Holland,Penn State,76,252,18,3,TE,Brandywine,MD,USA,38.6967833,-76.8477485,24033,32402
3929644,Jan,Johnson,Penn State,74,231,36,4,LB,Mohnton,PA,USA,40.2859255,-75.9843804,42011,34857
3929645,Juwan,Johnson,Penn State,76,231,6,4,WR,Glassboro,NJ,USA,39.7027677,-75.1119434,34015,31988
3929647,Jarvis,Miller,Penn State,74,225,2,4,LB,Suffield,CT,USA,41.9816944,-72.6506604,09003,32849
3929648,Shareef,Miller,Penn State,77,259,48,3,DE,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,32378
3929650,Ayron,Monroe,Penn State,71,210,13,4,S,Largo,MD,USA,38.8976121,-76.8302489,24033,32440
3929651,John,Petrishen,Penn State,73,225,No data,4,LB,Lower Burrell,PA,USA,40.5882821,-79.7298187,42129,32825
3929652,Brandon,Polk,Penn State,69,180,10,3,WR,Ashburn,VA,USA,39.0437192,-77.4874899,51107,32172
3929653,John,Reid,Penn State,70,181,29,4,CB,Mount Laurel,NJ,USA,39.934002,-74.8909988,34005,31985
3929657,Garrett,Taylor,Penn State,72,198,17,4,S,Richmond,VA,USA,37.5385087,-77.43428,51760,31984
3929658,Robert,Windsor,Penn State,76,285,54,4,DT,Fond Du Lac,WI,USA,43.7748763,-88.4458033,55039,32866
4033745,Danny,Dalton,Penn State,76,255,15,4,TE,Marshfield,MA,USA,42.091769,-70.7055941,25023,35686
4033748,Connor,McGovern,Penn State,77,326,66,3,OL,Larksville,PA,USA,41.2450817,-75.9307534,42079,35446
4045163,Miles,Sanders,Penn State,71,207,24,3,RB,Pittsburgh,PA,USA,40.4416941,-79.9900861,42003,35203
4045166,Shane,Simmons,Penn State,75,247,34,4,DE,Laurel,MD,USA,39.0992752,-76.8483061,24033,35224
4045168,Ellison,Jordan,Penn State,72,305,42,2,DT,Upper Marlboro,MD,USA,38.8165274,-76.7519753,24033,35363
4045169,Shaka,Toney,Penn State,75,252,18,4,DE,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,36016
4045172,Daniel,Joseph,Penn State,75,265,99,4,DL,Brampton,ON,CAN,No data,No data,No data,35439
4045173,Antonio,Shelton,Penn State,74,327,55,4,DL,Columbus,OH,USA,39.9622601,-83.0007065,39049,36541
4045174,Michal,Menet,Penn State,76,306,62,4,OL,Birdsboro,PA,USA,40.2645371,-75.8040852,42011,35211
4045176,Will,Fries,Penn State,78,306,71,4,OL,Cranford,NJ,USA,40.6584358,-74.2995923,34039,35610
4045180,Blake,Gillikin,Penn State,74,196,93,4,P,Smyrna,GA,USA,33.883887,-84.5147454,13067,36039
4240380,KJ,Hamler,Penn State,69,176,1,2,WR,Pontiac,MI,USA,42.6389216,-83.2910468,26125,38941
4240382,Lamont,Wade,Penn State,69,187,38,4,S,Clairton,PA,USA,40.2922938,-79.8817181,42003,38671
4259583,Damion,Barber,Penn State,75,290,90,2,DT,Harrisburg,PA,USA,40.2663107,-76.8861122,42043,38917
4259585,Ellis,Brooks,Penn State,73,233,13,3,LB,Mechanicsville,VA,USA,37.6193174,-77.3369627,51085,38891
4259586,Cam,Brown,Penn State,77,233,6,4,LB,Burtonsville,MD,USA,39.1112193,-76.9324752,24031,41889
4259586,Cam,Brown,Penn State,77,233,6,4,LB,Burtonsville,MD,USA,39.1112193,-76.9324752,24031,67220
4259588,Journey,Brown,Penn State,71,216,4,3,RB,Meadville,PA,USA,41.641445,-80.151449,42039,39543
4259590,Tariq,Castro-Fields,Penn State,72,191,5,4,CB,Upper Marlboro,MD,USA,38.8165274,-76.7519753,24033,38913
4259592,Sean,Clifford,Penn State,74,217,14,3,QB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,38815
4259594,Yetur,Gross-Matos,Penn State,77,264,99,3,DE,Spotsylvania,VA,USA,38.200965,-77.589154,51177,67827
4259595,Fred,Hansard,Penn State,75,324,53,3,DT,Burlington,NJ,USA,40.0712218,-74.8648859,34005,38832
4259597,Mac,Hippenhammer,Penn State,71,186,8,3,WR,Fort Wayne,IN,USA,41.0799898,-85.1386015,18003,39209
4259600,Donovan,Johnson,Penn State,69,180,3,3,CB,Detroit,MI,USA,42.3315509,-83.0466403,26163,38948
4259608,Jonathan,Sutherland,Penn State,71,202,No data,3,S,Ottawa,ON,CAN,No data,No data,No data,38897
4259610,Justin,Weller,Penn State,72,194,80,3,WR,Sinking Spring,PA,USA,40.3246704,-76.0171505,42011,42384
4361409,Jahan,Dotson,Penn State,71,182,5,3,WR,Nazareth,PA,USA,40.7423309,-75.3112095,42095,43099
4361411,Pat,Freiermuth,Penn State,77,258,87,3,TE,Merrimac,MA,USA,42.8306456,-71.0022786,25009,43131
4361412,Daniel,George,Penn State,74,210,11,2,WR,Fort Washington,MD,USA,38.7125305,-77.0124598,24033,43181
4361413,Trent,Gordon,Penn State,71,195,18,3,DB,Spring,TX,USA,30.0798826,-95.4172549,48201,43329
4361415,Isaiah,Humphries,Penn State,71,215,25,3,S,Rowlett,TX,USA,32.9029017,-96.56388,48113,43384
4361417,Zack,Kuntz,Penn State,79,258,80,2,TE,Camp Hill,PA,USA,40.2398118,-76.9199742,42041,43057
4361419,Jesse,Luketa,Penn State,75,242,40,3,LB,Ottawa,ON,CAN,No data,No data,No data,43145
4361421,PJ,Mustipher,Penn State,76,300,97,3,DT,Owings Mills,MD,USA,39.4010753,-76.796299,24005,42985
4361422,Jayson,Oweh,Penn State,77,252,28,2,DE,Howell,NJ,USA,40.1659101,-74.1911588,34025,42983
4361423,Micah,Parsons,Penn State,75,245,11,2,LB,Harrisburg,PA,USA,40.2663107,-76.8861122,42043,42912
4361424,Jake,Pinegar,Penn State,74,192,92,3,PK,Ankeny,IA,USA,41.7318715,-93.6003837,19153,44740
4361426,Justin,Shorter,Penn State,77,225,4,2,WR,Monmouth Junction,NJ,USA,40.3789957,-74.5465436,34023,42915
4361427,Ricky,Slade,Penn State,69,198,3,2,RB,Woodbridge,VA,USA,38.6581723,-77.2497049,51153,42934
