ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3895858,Richard,Moore,SMU,72,226,14,4,LB,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,32234
4035397,Will,Jones,SMU,73,300,95,4,DT,Plano,TX,USA,33.0136764,-96.6925096,48085,37725
4039572,Kadarius,Smith,SMU,74,300,70,4,DL,Plano,TX,USA,33.0136764,-96.6925096,48085,36756
4044458,Michael,Williams,SMU,74,290,57,4,DT,Fort Worth,TX,USA,32.753177,-97.3327459,48439,35512
4241374,Grant,Calcaterra,SMU,76,242,88,4,TE,Rancho Santa Margarita,CA,USA,33.6408845,-117.6029341,06059,38852
4241888,Reggie,Roberson Jr.,SMU,72,200,21,4,WR,Desoto,TX,USA,32.6061241,-96.865612653687,48113,39399
4242150,Chevin,Calloway,SMU,70,190,11,4,S,Dallas,TX,USA,32.7762719,-96.7968559,48113,38768
4242497,Isaac,Slade-Matautia,SMU,73,235,41,3,LB,Honolulu,HI,USA,21.304547,-157.8556764,15003,38943
4243761,Ar'mani,Johnson,SMU,71,177,5,4,CB,Missouri City,TX,USA,29.6185669,-95.5377215,48157,40913
4243763,Shaine,Hailey,SMU,71,215,9,4,LB,Dallas,TX,USA,32.7762719,-96.7968559,48113,40904
4243765,Austin,Upshaw,SMU,73,215,6,4,WR,La Porte,TX,USA,29.6657838,-95.0193729,48201,40655
4243767,Delano,Robinson,SMU,72,238,3,4,LB,Denton,TX,USA,33.2150386,-97.1330516,48121,41210
4243771,Toby,Ndukwe,SMU,74,240,38,4,DE,Richmond,TX,USA,29.5821811,-95.7607832,48157,40345
4243773,Harrison,Loveless,SMU,75,291,99,4,DT,Cypress,TX,USA,29.9691116,-95.6971686,48201,40680
4243776,Hayden,Howerton,SMU,75,300,75,4,OL,Katy,TX,USA,29.7857853,-95.8243956,48157,39704
4243777,Alan,Ali,SMU,76,303,77,4,OL,Fort Worth,TX,USA,32.753177,-97.3327459,48439,39165
4243779,Turner,Coxe,SMU,74,247,97,4,DE,Dallas,TX,USA,32.7762719,-96.7968559,48113,41655
4243826,Tre,Siggers,SMU,68,200,No data,4,RB,Duncanville,TX,USA,32.6518004,-96.9083366,48113,40160
4360271,Tanner,Mordecai,SMU,74,211,8,3,QB,Waco,TX,USA,31.549333,-97.1466695,48309,43156
4360547,Darren,Brown,SMU,73,308,39,3,DT,Converse,TX,USA,29.5180081,-98.3161241,48029,44697
4360549,Preston,Ellison,SMU,74,211,41,4,LB,Odessa,TX,USA,31.8457149,-102.367687,48135,44676
4360557,Terrance,Newman,SMU,71,315,91,4,DT,Duncanville,TX,USA,32.6518004,-96.9083366,48113,45548
4360558,Jimmy,Phillips Jr.,SMU,72,224,24,4,LB,Mesquite,TX,USA,32.7666103,-96.599472,48113,45000
4360559,Ben,Redding,SMU,76,237,81,4,TE,Friendswood,TX,USA,29.5293998,-95.2010447,48167,44577
4360561,Jaylon,Thomas,SMU,75,312,71,4,OL,Lubbock,TX,USA,33.5635206,-101.879336,48303,45076
4360563,Gary,Wiley,SMU,73,241,55,4,DE,Longview,TX,USA,32.5007031,-94.74049,48183,44928
4426935,Donald,Clay,SMU,72,190,21,2,S,New Orleans,LA,USA,29.9499323,-90.0701156,22071,47799
4427057,Ty,DeArman,SMU,71,185,10,2,S,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,47635
4427552,Danielson,Ike,SMU,78,338,79,2,OL,Kansas City,MO,USA,39.100105,-94.5781416,29095,47399
4427925,Nolan,Matthews,SMU,76,260,84,2,TE,Frisco,TX,USA,33.1506744,-96.8236116,48085,47479
4428331,Rashee,Rice,SMU,73,189,11,3,WR,North Richland Hills,TX,USA,32.8342952,-97.2289029,48439,47616
4428361,Thalen,Robinson,SMU,79,315,No data,2,OL,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,48137
4428853,Calvin,Wiggins,SMU,76,195,15,2,WR,Trophy Club,TX,USA,33.00367,-97.20303354151261,48121,47581
4429392,Elijah,Chatman,SMU,72,272,40,3,DT,Shreveport,LA,USA,32.5221828,-93.7651944,22017,49070
4429476,Chace,Cromartie,SMU,72,180,18,3,S,Cibolo,TX,USA,29.5707831,-98.2330927,48187,49561
4429480,Brandon,Crossley,SMU,70,159,1,3,CB,Dallas,TX,USA,32.7762719,-96.7968559,48113,47524
4429675,Simon,Gonzalez,SMU,76,235,88,1,TE,Magnolia,TX,USA,30.2093794,-95.7507815,48339,47907
4429981,Jordan,Kerley,SMU,74,185,1,2,WR,Austin,TX,USA,30.2711286,-97.7436995,48453,47900
4430123,TJ,McDaniel,SMU,71,194,25,2,RB,Southlake,TX,USA,32.9412363,-97.1341783,48439,47866
4430285,Deuce,Palmer,SMU,74,230,52,2,LB,Danville,CA,USA,37.8215929,-121.9999606,06013,49387
4430296,Nelson,Paul,SMU,73,220,90,3,DE,Bunnell,FL,USA,29.4657731,-81.2576832,12035,48572
4430603,Dalton,Perdue,SMU,78,315,61,1,OL,El Dorado,AR,USA,33.20763,-92.6662674,05139,63149
4430768,Ben,Sparks,SMU,76,285,69,1,OL,Norman,OK,USA,35.2225717,-97.4394816,40027,62989
4430855,Jahari,Rogers,SMU,71,184,No data,1,CB,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,61654
4432261,Branson,Hickman,SMU,74,285,56,1,OL,Mckinney,TX,USA,33.1976496,-96.6154471,48085,63776
4432549,Erin,Smith,SMU,76,270,63,1,OL,Little Rock,AR,USA,34.7464809,-92.2895948,05119,62609
4432767,Preston,Stone,SMU,74,205,2,1,QB,Dallas,TX,USA,32.7762719,-96.7968559,48113,71568
