ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
534370,Damontae,Kazee,San Diego State,71,No data,23,No data,CB,San Bernardino,CA,USA,34.1083449,-117.2897652,06071,24055
534371,Kendrick,Mathis,San Diego State,72,No data,4,No data,WR,Ventura,CA,USA,34.3435092,-119.29560423163717,06111,23286
534385,Alex,Barrett,San Diego State,75,No data,58,No data,DL,Mesa,AZ,USA,33.4151117,-111.8314773,04013,23851
534393,Eric,Judge,San Diego State,73,No data,81,No data,WR,San Diego,CA,USA,32.7174209,-117.1627714,06073,23456
540655,Tanner,Blain,San Diego State,72,No data,91,No data,P,Lindenhurst,IL,USA,42.4105765,-88.0261911,17097,55058
547567,Chase,Favreau,San Diego State,73,No data,5,No data,WR,Huntington Beach,CA,USA,33.6783336,-118.0000166,06059,24625
547568,Malik,Smith,San Diego State,72,No data,12,No data,S,Compton,CA,USA,33.894927,-118.226624,06037,27258
547569,Trey,Lomax,San Diego State,71,195,3,No data,S,San Diego,CA,USA,32.7174209,-117.1627714,06073,26489
547571,Donnel,Pumphrey,San Diego State,69,No data,19,No data,RB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,26618
547572,Kalan,Montgomery,San Diego State,73,No data,22,No data,CB,Compton,CA,USA,33.894927,-118.226624,06037,26253
547575,Marcus,Stamps,San Diego State,73,No data,26,No data,RB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,25856
547578,Dakota,Turner,San Diego State,75,250,41,No data,DL,Mililani,HI,USA,21.4508308,-158.0095783,15003,27496
547580,Tyler,Morris,San Diego State,75,225,52,No data,LB,Henderson,NV,USA,36.0301134,-114.9826194,32003,26374
547581,Fred,Melifonwu,San Diego State,77,No data,45,No data,DL,San Diego,CA,USA,32.7174209,-117.1627714,06073,26057
547582,Calvin,Munson,San Diego State,73,No data,54,No data,LB,St. Charles,MO,USA,38.7946252,-90.519829,29183,27683
547586,Darryl,Richardson,San Diego State,77,255,84,No data,TE,Seffner,FL,USA,27.998541000000003,-82.27488400114905,12057,25817
547588,David,Wells,San Diego State,77,255,88,No data,TE,Clovis,CA,USA,36.8252277,-119.7029194,06019,27212
3125232,Nick,Bawden,San Diego State,75,245,15,No data,FB,Los Gatos,CA,USA,37.226611,-121.9746797,06085,29338
3125233,Na'im,McGee,San Diego State,72,No data,21,No data,S,Oakland,CA,USA,37.8044557,-122.2713563,06001,54416
3125242,Sergio,Phillips,San Diego State,74,285,65,No data,DL,DeSoto,TX,USA,32.6061241,-96.865612653687,48113,26171
3139921,Christian,Chapman,San Diego State,72,200,10,4,QB,Carlsbad,CA,USA,33.1580933,-117.3505966,06073,29653
3139923,Fred,Trevillion,San Diego State,74,200,7,4,WR,Brookhaven,MS,USA,31.5790588,-90.4406506,28085,30983
3139925,Rashaad,Penny,San Diego State,71,220,20,No data,RB,Norwalk,CA,USA,33.9092802,-118.0849169,06037,29143
3139926,Kameron,Kelly,San Diego State,74,200,7,No data,CB,Murphy,TX,USA,33.0151208,-96.6130478,48085,30120
3139927,John,Baron II,San Diego State,71,190,29,4,PK,Temecula,CA,USA,33.4946353,-117.1473661,06065,30500
3139940,Jay,Henderson,San Diego State,74,230,46,No data,LB,Phelan,CA,USA,34.426298,-117.5725026,06071,29641
3139946,Mikah,Holder,San Diego State,72,185,6,No data,WR,Oceanside,CA,USA,33.1958696,-117.3794834,06073,28937
3139948,Noble,Hall,San Diego State,75,265,95,4,DL,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,29659
3921648,Ryan,Agnew,San Diego State,72,200,9,4,QB,Southlake,TX,USA,32.9412363,-97.1341783,48439,33466
3921649,Jeff,Clay,San Diego State,72,195,10,3,CB,Lancaster,CA,USA,34.6981064,-118.1366153,06037,34158
3921650,Dwayne,Parchment,San Diego State,71,195,16,No data,S,Fontana,CA,USA,34.0922335,-117.435048,06071,33385
3921651,Ron,Smith,San Diego State,72,170,17,3,CB,Oakland,CA,USA,37.8044557,-122.2713563,06001,32856
3921652,Juwan,Washington,San Diego State,67,190,29,4,RB,Fort Worth,TX,USA,32.753177,-97.3327459,48439,33278
3921654,Parker,Baldwin,San Diego State,74,215,33,4,S,Siloam Springs,AR,USA,36.1881365,-94.5404962,05007,34437
3921656,Ronley,Lakalaka,San Diego State,72,225,39,4,LB,Kalihi,HI,USA,21.3361131,-157.8716339,15003,33666
3921657,Randy,Ricks,San Diego State,77,235,40,No data,LB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,54879
3921658,Austin,Wyatt-Thayer,San Diego State,77,No data,43,No data,LB,Paradise,CA,USA,39.7596061,-121.6219177,06007,55038
3921659,Kyahva,Tezino,San Diego State,72,235,44,4,LB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,32124
3921666,Daishawn,Dixon,San Diego State,77,330,79,4,OL,San Antonio,TX,USA,29.4246002,-98.4951405,48029,34635
3921668,Jerry,Chaney,San Diego State,72,190,31,3,S,Fontana,CA,USA,34.0922335,-117.435048,06071,34258
3933325,Myles,Cheatum,San Diego State,74,265,68,4,DL,Cedar Park,TX,USA,30.5217116,-97.827833,48491,34560
4036815,Will,Stricklin II,San Diego State,72,200,11,2,S,San Marcos,CA,USA,33.1433723,-117.1661449,06073,37633
4036817,Trenton,Thompson,San Diego State,74,200,18,4,S,Palm Springs,CA,USA,33.8246269,-116.540303,06065,36296
4036823,Dru,Mathis,San Diego State,75,224,54,4,LB,Ventura,CA,USA,34.3435092,-119.29560423163717,06111,36433
4036825,Troy,Cassidy,San Diego State,75,230,42,4,LB,Carlsbad,CA,USA,33.1580933,-117.3505966,06073,36653
4036828,Turner,Bernard,San Diego State,73,230,50,4,LS,Glendale,AZ,USA,33.5386858,-112.1859941,04013,37640
4036833,Tyler,Roemer,San Diego State,79,315,74,2,OL,Fernley,NV,USA,39.6048048,-119.2404748,32019,37599
4036835,Parker,Houston,San Diego State,75,250,82,4,TE,Sparks,NV,USA,39.5404679,-119.7487235,32031,36390
4036837,Kyree,Woods,San Diego State,72,190,27,4,S,Mesa,AZ,USA,33.4151117,-111.8314773,04013,37545
4036838,Isiah,Macklin,San Diego State,77,215,86,3,WR,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,37022
4261619,Dominic,Gudino,San Diego State,75,300,56,4,OL,Chula Vista,CA,USA,32.6400541,-117.0841955,06073,40100
