ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
546764,Xavier,Johnson,South Alabama,71,190,28,No data,RB,Tampa,FL,USA,27.9477595,-82.458444,12057,27268
550439,Zach,Befort,South Alabama,74,285,56,No data,DL,Wichita,KS,USA,37.6922361,-97.3375448,20173,55555
552124,Darrell,Songy,South Alabama,73,235,32,No data,LB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,55449
3124879,Maaseiah,Francis,South Alabama,74,225,1,3,TE,Lithonia,GA,USA,33.7123305,-84.1051939,13089,55458
3125248,Jeremy,Reaves,South Alabama,71,205,1,No data,S,Pensacola,FL,USA,30.421309,-87.2169149,12033,31022
3125250,Malcolm,Buggs,South Alabama,69,205,5,3,S,Opelika,AL,USA,32.72667,-85.39249304591837,01081,30018
3125259,Dallas,Davis,South Alabama,74,215,12,4,QB,Panama City,FL,USA,30.1600827,-85.6545729,12005,31113
3125261,Darian,Mills,South Alabama,71,185,21,3,CB,Winter Haven,FL,USA,28.0222435,-81.7328568,12105,30987
3125265,Chason,Milner,South Alabama,75,255,19,3,DE,Spanish Fort,AL,USA,30.6749127,-87.9152724,01003,31300
3125280,Corliss,Waitman,South Alabama,74,205,87,3,P,Milton,FL,USA,30.6324149,-87.0396881,12113,30007
3916833,Rowan,Godwin,South Alabama,76,305,53,4,OL,Dothan,AL,USA,31.2237434,-85.3933906,01069,67069
3918630,Jalen,Thompson,South Alabama,72,185,1,4,CB,Mobile,AL,USA,30.6943566,-88.0430541,01097,32701
3918632,Quinton,Lane,South Alabama,73,200,7,No data,CB,Ackerman,MS,USA,33.3101243,-89.1728434,28019,54945
3918640,Tyree,Turner,South Alabama,73,305,10,4,DL,Stockbridge,GA,USA,33.5442781,-84.2338093,13151,34420
3918641,Nigel,Lawrence,South Alabama,71,190,6,3,S,Smiths Station,AL,USA,32.5401394,-85.0985474,01081,33560
3918644,Bull,Barge,South Alabama,70,225,8,3,LB,Moultrie,GA,USA,31.179998,-83.7887928,13071,34028
3918649,Jeffery,Whatley,South Alabama,74,300,99,4,DL,Midland City,AL,USA,31.3187878,-85.4938975,01045,34474
3918656,Troy,Thingstad,South Alabama,77,280,70,4,OL,Mobile,AL,USA,30.6943566,-88.0430541,01097,33332
3918663,Roy,Albritton,South Alabama,74,335,71,4,OL,Pensacola,FL,USA,30.421309,-87.2169149,12033,34419
3933342,Zach,Davis,South Alabama,78,295,50,2,OL,Rogersville,AL,USA,34.8252065,-87.2940604,01077,33562
3933347,Gavin,Patterson,South Alabama,67,195,89,3,PK,Bourbonnais,IL,USA,41.1639309,-87.8839693,17091,34499
4039030,Spencer,Perry,South Alabama,75,210,27,1,S,Newnan,GA,USA,33.3806716,-84.7996573,13077,35706
4040090,Zac,Crosby,South Alabama,76,215,85,4,TE,Yulee,FL,USA,30.6319034,-81.6064866,12089,37868
4040091,Neiko,Robinson,South Alabama,73,195,14,No data,S,Century,FL,USA,30.9732384,-87.2638628,12033,55552
4040092,Bobby,Flott,South Alabama,73,195,7,2,CB,Mobile,AL,USA,30.6943566,-88.0430541,01097,37620
4040093,Jay,Woods,South Alabama,69,190,10,3,CB,Pinson,AL,USA,33.706205,-86.67007895992774,01073,36444
4040094,Taji,Stewart,South Alabama,75,245,22,4,LB,Marietta,GA,USA,33.9528472,-84.5496148,13067,38186
4040095,Jalin,Buie,South Alabama,68,175,6,3,RB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,35773
4040098,Chris,Henderson,South Alabama,76,240,7,4,LB,Hampton,GA,USA,33.3870578,-84.2829784,13151,36393
4040099,Riley,Cole,South Alabama,75,225,4,4,LB,Oneonta,AL,USA,33.9481537,-86.472764,01009,36104
4040101,Jeremiah,Littles,South Alabama,74,290,12,4,DL,Jesup,GA,USA,31.6074365,-81.8853924,13305,36752
4040107,Sean,Brown,South Alabama,74,325,74,4,DL,Pleasant Grove,AL,USA,33.4909405,-86.9702714,01073,37241
4040109,Jahmmir,Taylor,South Alabama,71,185,88,3,WR,Fairburn,GA,USA,33.5670562,-84.5810418,13121,55344
4040716,Shawn,Jennings,South Alabama,73,235,24,4,LB,Dadeville,AL,USA,32.831238,-85.7635692,01123,35775
4049787,Jordan,McCray,South Alabama,78,187,12,4,WR,Marietta,GA,USA,33.9528472,-84.5496148,13067,49653
4049791,Marice,Fluellen,South Alabama,70,190,43,3,CB,Dothan,AL,USA,31.2237434,-85.3933906,01069,30674
4049794,Khameron,Taylor,South Alabama,76,261,85,4,TE,Alachua,FL,USA,29.7895372,-82.4875131,12001,38030
4249418,Gus,Nave,South Alabama,71,195,11,2,CB,Scooba,MS,USA,32.8290581,-88.4767398,28069,41666
4249425,Devin,Rockette,South Alabama,70,175,6,4,CB,Oxford,MS,USA,34.3664127,-89.5187664,28071,39546
4249426,Jalen,Wayne,South Alabama,74,210,4,3,WR,Spanish Fort,AL,USA,30.6749127,-87.9152724,01003,41766
4249436,Frankie,Onate,South Alabama,71,190,97,3,PK,Jacksonville,FL,USA,30.3321838,-81.655651,12031,42904
4261070,Jalon,Sheffield,South Alabama,74,255,56,2,DL,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,40413
4261225,Tra,Minter,South Alabama,69,205,5,4,RB,Ellaville,GA,USA,32.2382139,-84.3090798,13249,33206
4428960,Tre,Young,South Alabama,71,180,4,4,S,Mobile,AL,USA,30.6943566,-88.0430541,01097,48797
