ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
504278,Patrick,Fish,South Carolina,72,No data,18,No data,P,Shelby,NC,USA,35.2919489,-81.5402112,37045,19317
504279,Cody,Gibson,South Carolina,79,No data,90,No data,TE,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,17885
504281,Sharrod,Golightly,South Carolina,70,No data,9,No data,LB,Decatur,GA,USA,33.7737582,-84.296069,13089,18443
504284,Nick,Jones,South Carolina,67,No data,3,No data,WR,Moore,SC,USA,34.8334519,-81.9920461,45083,17886
504295,Dylan,Thompson,South Carolina,75,No data,17,No data,QB,Boiling Springs,SC,USA,35.04136,-81.97882024148419,45083,18729
515812,Rory,Anderson,South Carolina,77,No data,81,No data,TE,Powder Springs,GA,USA,33.8595492,-84.683824,13067,20162
515815,K.J.,Brent,South Carolina,76,No data,80,No data,WR,Waxhaw,NC,USA,34.9362535,-80.75079198523316,37179,20175
515818,Damiere,Byrd,South Carolina,69,No data,1,No data,WR,Sicklerville,NJ,USA,39.7173375,-74.9693329,34007,19750
515819,Shon,Carson,South Carolina,68,No data,7,No data,?,Scranton,SC,USA,41.4086874,-75.6621294,42069,19866
515831,Shamier,Jeffery,South Carolina,73,No data,8,No data,WR,St. Matthews,SC,USA,33.664876,-80.7778681,45017,19952
515837,Drew,Owens,South Carolina,78,No data,88,No data,TE,Charlotte,NC,USA,35.2272,-80.843083,37119,20151
517466,Brandon,Wilds,South Carolina,74,No data,22,No data,?,Blythewood,SC,USA,34.2187005,-80.98456918011235,45079,20711
517467,Brison,Williams,South Carolina,71,No data,12,No data,?,Warner Robins,GA,USA,32.6200973,-83.606568,13153,57266
535353,Jerell,Adams,South Carolina,78,No data,89,No data,TE,Pinewood,SC,USA,33.7404382,-80.4634176,45085,19959
535353,Jerell,Adams,South Carolina,78,No data,89,No data,TE,Pinewood,SC,USA,33.7404382,-80.4634176,45085,57297
535354,Jordan,Diggs,South Carolina,72,No data,42,No data,?,Fort Myers,FL,USA,26.640628,-81.8723084,12071,22489
535357,Chaz,Elder,South Carolina,74,No data,17,No data,CB,Union City,GA,USA,33.5870558,-84.5424299,13121,22337
535358,Darius,English,South Carolina,78,No data,5,No data,DL,Powder Springs,GA,USA,33.8595492,-84.683824,13067,22336
535361,T.J.,Gurley,South Carolina,70,No data,20,No data,DB,Cairo,GA,USA,30.8774063,-84.2013936,13131,22841
535362,T.J.,Holloman,South Carolina,74,No data,11,No data,LB,Stone Mountain,GA,USA,33.8080924,-84.1706273,13089,22711
535367,Chris,Moody,South Carolina,73,No data,6,No data,LB,McDonough,GA,USA,33.4473361,-84.1468616,13151,22829
535370,Shaq,Roland,South Carolina,73,No data,4,No data,WR,Lexington,SC,USA,33.98390015,-81.22601082617007,45063,22076
545218,Mike,Davis,South Carolina,69,No data,28,No data,RB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,22084
548131,Kelsey,Griffin,South Carolina,74,No data,94,No data,DL,Buford,GA,USA,34.1206564,-84.0043513,13135,25039
548142,Connor,Mitch,South Carolina,75,No data,6,No data,QB,Raleigh,NC,USA,35.7803977,-78.6390989,37183,25301
548143,Skai,Moore,South Carolina,74,218,10,No data,LB,Cooper City,FL,USA,26.047078550000002,-80.27390817113047,12011,25336
548147,Jasper,Sasser,South Carolina,72,No data,26,No data,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,25689
548149,Jamari,Smith,South Carolina,70,No data,14,No data,WR,Jacksonville,FL,USA,30.3321838,-81.655651,12031,25514
548151,Gerald,Turner,South Carolina,74,No data,44,No data,FB,Goose Creek,SC,USA,32.9961038,-80.0387292,45015,25478
548153,Jonathan,Walton,South Carolina,72,No data,28,No data,LB,Daphne,AL,USA,30.6035255,-87.9036047,01003,25622
548155,David,Williams,South Carolina,73,229,33,No data,RB,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,25116
548171,Larenz,Bryant,South Carolina,72,No data,23,No data,LB,Charlotte,NC,USA,35.2272,-80.843083,37119,25061
548173,Pharoh,Cooper,South Carolina,71,No data,11,No data,WR,Havelock,NC,USA,34.8785,-76.9014457,37049,25399
559580,Jacob,August,South Carolina,78,252,40,4,TE,Columbia,SC,USA,34.0007493,-81.0343313,45079,57436
559583,Abu,Lamin,South Carolina,76,No data,99,No data,DL,Fayetteville,NC,USA,35.0525759,-78.878292,37051,54238
3126478,Bryson,Allen-Williams,South Carolina,73,230,4,4,LB,Ellenwood,GA,USA,33.6101096,-84.287978,13063,28310
3126481,Terry,Googer,South Carolina,76,217,6,No data,WR,Atlanta,GA,USA,33.7490987,-84.3901849,13121,28610
3126486,Deebo,Samuel,South Carolina,72,210,1,4,WR,Inman,SC,USA,35.0470617,-82.0901088,45083,29034
3126487,Michael,Scarnecchia,South Carolina,75,216,12,4,QB,Fleming Island,FL,USA,30.0932963,-81.7189835,12019,29981
3126488,D.J.,Smith,South Carolina,71,198,24,No data,DB,Marietta,GA,USA,33.9528472,-84.5496148,13067,28409
3126489,Taylor,Stallworth,South Carolina,74,305,90,No data,DL,Mobile,AL,USA,30.6943566,-88.0430541,01097,28918
3128630,Chris,Lammons,South Carolina,70,190,3,No data,CB,Lauderhill,FL,USA,26.1567308,-80.22506769232564,12011,28414
