ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
530915,Ricky,Parks,Southern Mississippi,75,No data,89,No data,TE,LaGrange,GA,USA,33.039291,-85.0313269,13285,54810
531768,Jarell,Aaron,Southern Mississippi,77,No data,12,No data,WR,Poplarville,MS,USA,30.8401863,-89.5342315,28109,24729
531783,Jerry,McCorvey,Southern Mississippi,75,No data,38,No data,DL,Vancleave,MS,USA,30.5404745,-88.6875237,28059,23813
531796,D.J.,Thompson,Southern Mississippi,75,No data,5,No data,WR,Pearl,MS,USA,32.2745912,-90.1320311,28121,22763
546094,Stephen,Brauchle,Southern Mississippi,73,No data,33,No data,PK,Gulfport,MS,USA,30.3674198,-89.0928155,28047,54096
546800,Isaiah,Jones,Southern Mississippi,76,195,88,No data,WR,Milton,FL,USA,30.6324149,-87.0396881,12113,25175
546800,Isaiah,Jones,Southern Mississippi,76,195,88,No data,WR,Milton,FL,USA,30.6324149,-87.0396881,12113,55355
547552,Taylor,Marini,Southern Mississippi,76,No data,42,No data,TE,Chuluota,FL,USA,28.6383385,-81.11535209752932,12117,54939
550906,Devin,Farrior,Southern Mississippi,76,304,78,No data,OL,Waynesboro,MS,USA,31.6747364,-88.645955,28153,26563
552862,Parker,Adamson,Southern Mississippi,76,No data,3,No data,QB,Oxford,MS,USA,34.3664127,-89.5187664,28071,27577
552864,Dylan,Bradley,Southern Mississippi,73,No data,94,No data,DL,Macon,MS,USA,33.1054039,-88.5608767,28103,25936
552867,Trae,Collins,Southern Mississippi,71,184,2,No data,DB,Columbus,MS,USA,33.4956744,-88.4272627,28087,27528
552870,Rod,Crayton,Southern Mississippi,73,287,90,No data,DL,Dadeville,AL,USA,32.831238,-85.7635692,01123,25794
552872,Kelsey,Douglas,Southern Mississippi,71,192,6,No data,DB,Missouri City,TX,USA,29.6185669,-95.5377215,48157,26808
552874,Jerry,Harris,Southern Mississippi,75,302,74,No data,OL,Hueytown,AL,USA,33.4512197,-86.9966606,01073,26731
552876,Tyre'oune,Holmes,Southern Mississippi,71,No data,1,No data,WR,Tylertown,MS,USA,31.1160119,-90.1420331,28147,26304
552880,Nick,Mullens,Southern Mississippi,73,No data,9,No data,QB,Hoover,AL,USA,33.3848933,-86.8070484,01073,27163
552881,Evan,Osborne,Southern Mississippi,75,No data,34,No data,LB,Pearl,MS,USA,32.2745912,-90.1320311,28121,27294
552883,Ja'Boree,Poole,Southern Mississippi,74,No data,85,No data,DL,Brookhaven,MS,USA,31.5790588,-90.4406506,28085,27415
552885,Marquise,Ricard,Southern Mississippi,74,No data,6,No data,WR,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,27679
552886,Draper,Riley,Southern Mississippi,76,305,9,No data,DL,Harvey,LA,USA,29.9035387,-90.0772944,17031,26863
552891,Cameron,Tom,Southern Mississippi,76,No data,70,No data,OL,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,26968
3122419,D'Nerius,Antoine,Southern Mississippi,72,No data,12,No data,LB,New Iberia,LA,USA,30.0035365,-91.8187285,22045,54863
3123961,Xavier,Marion,Southern Mississippi,73,205,1,4,DB,Ridgeland,MS,USA,32.4284761,-90.1323087,28089,30675
