ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
505309,Joe,Hemschoot,Stanford,73,No data,40,No data,OLB,Lakewood,CO,USA,39.631108499999996,-105.11005818223015,08059,18929
505319,Ricky,Seale,Stanford,69,No data,30,No data,RB,Escondido,CA,USA,33.1216751,-117.0814849,06073,17682
505326,Jordan,Williamson,Stanford,71,No data,19,No data,PK,Austin,TX,USA,30.2711286,-97.7436995,48453,18576
511941,Remound,Wright,Stanford,69,No data,22,No data,RB,Fort Wayne,IN,USA,41.0799898,-85.1386015,18003,19789
511943,Kelsey,Young,Stanford,70,No data,39,No data,RB,Norco,CA,USA,33.9323307,-117.5508901,06065,19733
516349,Kevin,Anderson,Stanford,76,No data,48,No data,OLB,Palo Alto,CA,USA,37.4443293,-122.1598465,06085,20191
516352,Devon,Cajuste,Stanford,76,No data,89,No data,WR,Seaford,NY,USA,40.6757173,-73.4867376,36059,20374
516354,Evan,Crower,Stanford,77,No data,5,No data,QB,San Diego,CA,USA,32.7174209,-117.1627714,06073,20153
516357,Kevin,Hogan,Stanford,76,No data,8,No data,QB,McLean,VA,USA,38.9342888,-77.1776327,51059,19926
516358,Charlie,Hopkins,Stanford,78,No data,86,No data,TE,Spokane,WA,USA,47.6579425,-117.4212265,53063,19892
516361,Wayne,Lyons,Stanford,73,No data,2,No data,CB,Ft. Lauderdale,FL,USA,26.1223084,-80.1433786,12011,19668
516363,Ty,Montgomery,Stanford,74,No data,7,No data,WR,Dallas,TX,USA,32.7762719,-96.7968559,48113,19801
516367,Kevin,Reihner,Stanford,76,No data,63,No data,C,Scranton,PA,USA,41.4086874,-75.6621294,42069,20010
516368,Jordan,Richards,Stanford,71,No data,8,No data,?,Folsom,CA,USA,38.6779591,-121.1760583,06067,19936
516371,Patrick,Skov,Stanford,73,No data,7,No data,FB,Piedmont,CA,USA,37.8243715,-122.231635,06001,20449
535214,Alex,Carter,Stanford,72,No data,25,No data,CB,Ashburn,VA,USA,39.0437192,-77.4874899,51107,22103
535218,Noor,Davis,Stanford,76,No data,3,No data,ILB,Leesburg,FL,USA,28.810823,-81.8778582,12069,22091
535223,Zach,Hoffpauir,Stanford,72,No data,10,No data,?,Glendale,AZ,USA,33.5386858,-112.1859941,04013,22842
535285,Dontonio,Jordan,Stanford,71,No data,11,No data,WR,Hickory Creek,TX,USA,33.1223429,-97.0430647,48121,22839
535286,Luke,Kaumatule,Stanford,79,No data,99,No data,DE,Honolulu,HI,USA,21.304547,-157.8556764,15003,22281
535291,Blake,Martinez,Stanford,74,No data,4,No data,ILB,Tucson,AZ,USA,32.2228765,-110.9748477,04019,22770
535297,Michael,Rector,Stanford,73,No data,3,No data,WR,Gig Harbor,WA,USA,47.3259697,-122.5878659,53053,23299
535303,Conrad,Ukropina,Stanford,73,No data,34,No data,PK,Pasadena,CA,USA,34.1476452,-118.1444779,06037,24134
535304,Jordan,Watkins,Stanford,77,No data,75,No data,DE,Decatur,GA,USA,33.7737582,-84.296069,13089,22309
535305,Kodi,Whitfield,Stanford,74,No data,5,No data,?,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,22521
