ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3124002,Antwan,Cordy,Syracuse,68,189,8,4,DB,Homestead,FL,USA,25.4718946,-80.4759905,12086,30559
3916449,Sterling,Hofrichter,Syracuse,69,199,10,4,PK,Valrico,FL,USA,27.9484265,-82.23621545220522,12057,33663
3916457,Christopher,Fredrick,Syracuse,71,198,3,4,DB,Conley,GA,USA,33.6448311,-84.3257571,13063,33148
3916467,Andrejas,Duerig,Syracuse,75,326,72,4,OL,Lowell,IN,USA,41.2914244,-87.4205903,18089,33064
3916468,Evan,Adams,Syracuse,78,352,63,4,OL,Norwalk,CT,USA,41.1175966,-73.4078968,09001,33266
4037119,Andrew,Armstrong,Syracuse,74,230,12,4,LB,Youngstown,OH,USA,41.1035786,-80.6520161,39099,36554
4037120,Evan,Foster,Syracuse,72,215,9,4,DB,West Bloomfield,MI,USA,42.5679,-83.3733,36069,36438
4037121,Rex,Culpepper,Syracuse,75,221,17,4,QB,Tampa,FL,USA,27.9477595,-82.458444,12057,36075
4037122,Carl,Jones,Syracuse,73,189,16,4,DB,Twinsburg,OH,USA,41.3125552,-81.4401129,39153,37286
4037124,Sean,Riley,Syracuse,68,178,1,4,WR,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,36346
4037125,Moe,Neal,Syracuse,71,195,21,4,RB,Gastonia,NC,USA,35.2622158,-81.1838794,37071,35777
4037126,Scoop,Bradshaw,Syracuse,71,178,18,4,DB,Tampa,FL,USA,27.9477595,-82.458444,12057,36493
4037127,Devon,Clarke,Syracuse,74,197,11,4,DB,Kissimmee,FL,USA,28.2918995,-81.4075838,12097,36443
4037132,Kenneth,Ruff,Syracuse,73,308,45,4,DL,Lauderhill,FL,USA,26.1567308,-80.22506769232564,12011,36071
4037135,Kendall,Coleman,Syracuse,75,253,55,4,DL,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,36349
4037137,Airon,Servais,Syracuse,78,295,68,4,OL,Green Bay,WI,USA,44.5126379,-88.0125794,55009,36698
4037138,Sam,Heckel,Syracuse,76,280,75,3,OL,Waukesha,WI,USA,43.0116784,-88.2314813,55133,35930
4037142,Josh,Black,Syracuse,75,284,85,4,DL,Loves Park,IL,USA,42.3200189,-89.0581621,17201,67292
4037143,McKinley,Williams,Syracuse,76,270,No data,4,DL,Miramar,FL,USA,25.975911449999998,-80.33472128115224,12011,37378
4037631,Abdul,Adams,Syracuse,71,205,23,4,RB,Landover,MD,USA,38.9340002,-76.8966397,24033,35507
4046715,Trishton,Jackson,Syracuse,73,191,86,3,WR,West Bloomfield,MI,USA,42.5679,-83.3733,36069,35405
4240390,Russell,Thompson-Bishop,Syracuse,73,247,12,3,WR,Bloomfield,CT,USA,41.826488,-72.7300945,09003,40234
4240392,Markenzy,Pierre,Syracuse,71,216,22,3,RB,Orlando,FL,USA,28.5421109,-81.3790304,12095,40331
4240395,Allen,Stritzinger,Syracuse,72,194,22,4,DB,Detroit,MI,USA,42.3315509,-83.0466403,26163,39464
4240396,Kadeem,Trotter,Syracuse,74,226,33,3,LB,Canton,OH,USA,40.7989522,-81.3784445,39151,39831
4240397,Eric,Coley,Syracuse,74,204,34,3,DB,Manlius,NY,USA,43.0020107,-75.9768632,36067,39565
4240398,Chris,Elmore,Syracuse,72,283,5,4,FB,Chicago,IL,USA,41.8755616,-87.6244212,17031,40019
4240400,Tyrell,Richards,Syracuse,76,234,42,3,LB,Brampton,ON,CAN,No data,No data,No data,40426
4240401,Ifeatu,Melifonwu,Syracuse,75,213,2,3,DB,South Grafton,MA,USA,39.3370361,-80.020355,54091,40220
4240403,Curtis,Harper,Syracuse,74,296,52,3,DL,Mckeesport,PA,USA,40.3478472,-79.864215,42003,40465
4240404,Dakota,Davis,Syracuse,77,323,57,3,OL,Mount Airy,MD,USA,39.3762145,-77.154704,24013,39787
