ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3122421,Keenen,Brown,Texas State,75,250,6,4,TE,Houston,TX,USA,29.7589382,-95.3676974,48201,28502
3128609,Frankie,Griffin,Texas State,72,205,18,4,LB,Spring,TX,USA,30.0798826,-95.4172549,48201,30358
3128616,James,Sherman,Texas State,70,190,43,4,PK,Montgomery,AL,USA,32.3669656,-86.3006485,01101,29740
3918041,Jalen,Smith,Texas State,71,188,24,4,DB,Houston,TX,USA,29.7589382,-95.3676974,48201,34033
3922147,Jacob,Rowland,Texas State,77,290,72,4,G,Wills Point,TX,USA,32.7092955,-96.0083018,48467,34230
4040516,Kumonde,Hines,Texas State,75,240,7,4,LB,Richmond,VA,USA,37.5385087,-77.43428,51760,37995
4040520,JaShon,Waddy,Texas State,71,185,16,4,CB,Angleton,TX,USA,29.16941,-95.4318847,48039,38082
4040522,Robert,Brown Jr.,Texas State,68,200,23,4,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,37573
4040525,Gavin,Graham,Texas State,73,225,4,4,LB,Austin,TX,USA,30.2711286,-97.7436995,48453,34860
4040526,Nikolas,Daniels,Texas State,72,235,30,4,LB,League City,TX,USA,29.5074538,-95.0949303,48167,37704
4040534,Josiah,Washington,Texas State,78,305,51,3,OL,Desoto,TX,USA,32.6061241,-96.865612653687,48113,37392
4040537,Aaron,Brewer,Texas State,75,270,55,4,OL,Dallas,TX,USA,32.7762719,-96.7968559,48113,38035
4040538,Bryan,London II,Texas State,74,232,9,4,LB,Converse,TX,USA,29.5180081,-98.3161241,48029,34727
4040539,Hal,Vinson,Texas State,73,240,8,4,DL,Dallas,TX,USA,32.7762719,-96.7968559,48113,36925
4040540,John,Lilly,Texas State,73,262,90,4,DL,Houston,TX,USA,29.7589382,-95.3676974,48201,37746
4040544,Jaquel,Pierce,Texas State,74,285,94,4,DL,Duncanville,TX,USA,32.6518004,-96.9083366,48113,38271
4040547,Brendon,Rushing,Texas State,76,235,82,4,TE,Desoto,TX,USA,32.6061241,-96.865612653687,48113,37977
4040548,Justin,Warner,Texas State,78,235,46,4,LS,Angleton,TX,USA,29.16941,-95.4318847,48039,38516
4040550,Dean,Taylor,Texas State,77,280,94,3,DE,Pearland,TX,USA,29.5639758,-95.2864299,48039,36992
4040553,Anthony D.,Taylor,Texas State,70,205,25,4,RB,Denton,TX,USA,33.2150386,-97.1330516,48121,67814
4241665,Caleb,Twyford,Texas State,71,175,24,4,WR,Farmersville,TX,USA,33.1632162,-96.3603548,48085,42414
4241666,Jaylin,Nelson,Texas State,68,200,5,3,RB,Duncanville,TX,USA,32.6518004,-96.9083366,48113,39889
4241667,Jaylen,Gipson,Texas State,74,195,7,3,QB,Mexia,TX,USA,31.307819000000002,-96.62978728122914,48293,40346
4241668,London,Harris,Texas State,74,220,27,3,LB,Rosharon,TX,USA,29.3521203,-95.460341,48039,41085
4241669,Willie,Jones III,Texas State,75,190,8,2,QB,Beaumont,TX,USA,30.0860459,-94.1018461,48245,41047
4241671,Jeremiah,Haydel,Texas State,72,170,3,4,WR,Houston,TX,USA,29.7589382,-95.3676974,48201,41357
4241674,Josh,Newman,Texas State,72,200,21,3,S,St. Augustine,FL,USA,29.8946952,-81.3145395,12109,40703
4241675,Preston,Dimery,Texas State,72,185,23,3,S,Kerrville,TX,USA,30.0474688,-99.1400207,48265,40895
4241676,Kordell,Rodgers,Texas State,71,180,3,3,CB,Lufkin,TX,USA,31.3386242,-94.7288558,48005,40777
4241677,Kieston,Roach,Texas State,72,185,26,2,CB,Houston,TX,USA,29.7589382,-95.3676974,48201,39242
4241685,John,Brannon,Texas State,72,235,44,3,LB,Mckinney,TX,USA,33.1976496,-96.6154471,48085,40423
4241686,Jakharious,Smith,Texas State,75,210,45,3,LB,Grand Prairie,TX,USA,32.657368000000005,-97.02846624175038,48113,40599
4241690,Reece,Jordan,Texas State,75,275,50,4,OL,Decatur,TX,USA,33.2342834,-97.5861393,48497,41455
4241694,Caleb,Carlile,Texas State,76,300,63,2,OL,Waxahachie,TX,USA,32.3944908,-96.8439365,48139,41373
4241697,Tanner,King,Texas State,77,275,69,3,OL,Houston,TX,USA,29.7589382,-95.3676974,48201,42439
4241704,Caeveon,Patton,Texas State,74,285,88,4,DL,Cuero,TX,USA,29.0938036,-97.2900564,48123,41192
4241707,Nick,Wilkins,Texas State,74,250,59,3,DL,Rosharon,TX,USA,29.3521203,-95.460341,48039,42436
4241709,Gjemar,Daniels,Texas State,71,315,98,3,DL,Kennedale,TX,USA,32.646801,-97.2258465,48439,40648
4253126,Anthony,Smith,Texas State,70,200,21,3,LB,Fort Worth,TX,USA,32.753177,-97.3327459,48439,40627
4362667,Tyler,Vitt,Texas State,74,205,11,3,QB,San Antonio,TX,USA,29.4246002,-98.4951405,48029,44770
4362670,Pierce,Withers,Texas State,71,195,15,2,DB,Austin,TX,USA,30.2711286,-97.7436995,48453,45043
4362671,Blake,Aragon,Texas State,76,195,15,2,WR,Stephenville,TX,USA,32.2191836,-98.2130634,48143,45119
4362672,Jarron,Morris,Texas State,69,158,No data,3,CB,Orange,TX,USA,30.0929879,-93.7365549,48361,45326
4362674,Isaac,Pope,Texas State,74,185,20,1,DB,Yoakum,TX,USA,29.289352,-97.1492978,48123,45736
4362675,Ladarius,Anthony,Texas State,70,150,25,1,DB,Houston,TX,USA,29.7589382,-95.3676974,48201,44787
4362682,Clayton,Stewart,Texas State,73,200,39,2,P,Flower Mound,TX,USA,33.0283854,-97.0867203,48121,46663
4362701,Jake,Lynch,Texas State,77,230,90,2,DL,Richmond,TX,USA,29.5821811,-95.7607832,48157,44754
4362704,Nico,Ezidore,Texas State,74,290,95,3,DL,Garland,TX,USA,32.912624,-96.6388833,48113,45376
4362705,Chris,Kessler,Texas State,69,160,95,1,PK,Longview,TX,USA,32.5007031,-94.74049,48183,45600
4374004,Auston,Deason,Texas State,72,195,16,2,S,Pearland,TX,USA,29.5639758,-95.2864299,48039,45332
4385613,Markeveon,Coleman,Texas State,74,No data,22,No data,OLB,Dallas,TX,USA,32.7762719,-96.7968559,48113,38049
