ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
545367,Derrick,Willies,Texas Tech,76,210,11,No data,WR,San Bernadino,CA,USA,34.0538713,-117.5985582,06071,25902
545367,Derrick,Willies,Texas Tech,76,210,11,No data,WR,San Bernadino,CA,USA,34.0538713,-117.5985582,06071,55132
546875,Trevor,Walker,Texas Tech,72,188,22,No data,DB,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,25710
550361,Zach,Barnes,Texas Tech,75,250,52,No data,DL,Loganville,GA,USA,33.8389977,-83.9007382,13297,26539
550364,Dylan,Cantrell,Texas Tech,75,220,14,No data,WR,Whitehouse,TX,USA,32.2268666,-95.2259279,48423,25413
550381,D.J.,Polite-Bray,Texas Tech,72,190,3,No data,DB,Lithonia,GA,USA,33.7123305,-84.1051939,13089,26265
550459,Caleb,Woodward,Texas Tech,72,200,30,No data,RB,Leander,TX,USA,30.5586046,-97.8444364,48491,26467
3139453,Dakota,Allen,Texas Tech,73,235,40,4,LB,Humble,TX,USA,29.9988312,-95.2621553,48201,28965
3139456,Cameron,Batson,Texas Tech,69,170,13,No data,WR,Oklahoma City,OK,USA,35.4729886,-97.5170536,40109,29110
3139464,Demarcus,Felton,Texas Tech,67,205,2,4,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,29078
3139470,Jah'Shawn,Johnson,Texas Tech,70,185,7,4,DB,Ennis,TX,USA,32.3293111,-96.6252679,48139,29227
3139485,Justin,Stockton,Texas Tech,70,195,4,No data,RB,Cibolo,TX,USA,29.5707831,-98.2330927,48187,28569
3915819,Madison,Akamnonu,Texas Tech,77,310,58,4,OL,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,32145
3915823,Keke,Coutee,Texas Tech,71,180,2,No data,WR,Lufkin,TX,USA,31.3386242,-94.7288558,48005,32388
3915828,Lonzell,Gilmore,Texas Tech,75,260,94,4,DL,Spring,TX,USA,30.0798826,-95.4172549,48201,33656
3915832,Quan,Shorts,Texas Tech,74,195,1,No data,WR,Humble,TX,USA,29.9988312,-95.2621553,48201,33245
3915834,Terence,Steele,Texas Tech,78,310,78,4,OL,Cibolo,TX,USA,29.5707831,-98.2330927,48187,33694
3915835,Christian,Taylor,Texas Tech,74,235,18,4,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,33328
3915836,Donta,Thompson,Texas Tech,77,245,11,4,TE,Ennis,TX,USA,32.3293111,-96.6252679,48139,33256
3916210,Xavier,Castille,Texas Tech,71,204,83,No data,WR,Rockwall,TX,USA,32.9312336,-96.4597089,48397,33200
3916920,Willie,Sykes,Texas Tech,72,180,19,No data,DB,Houston,TX,USA,29.7589382,-95.3676974,48201,33020
4043130,Jordyn,Brooks,Texas Tech,73,245,1,4,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,36061
4043131,Travis,Bruffy,Texas Tech,78,305,79,4,OL,Missouri City,TX,USA,29.6185669,-95.5377215,48157,37237
4043136,Jett,Duffey,Texas Tech,73,195,7,3,QB,Mansfield,TX,USA,32.5631924,-97.1416768,48439,35641
4043137,Damarcus,Fields,Texas Tech,72,200,23,4,DB,Taylor,TX,USA,30.5728854,-97.4141053,48491,36145
4043146,Nick,McCann,Texas Tech,74,305,96,4,DL,Texarkana,AR,USA,33.4254684,-94.0430977,48037,36133
4043147,Houston,Miller,Texas Tech,76,275,89,3,DL,Keller,TX,USA,32.9299655,-97.2271249,48439,36045
4043148,Kevin,Moore,Texas Tech,73,195,26,No data,DB,Lafayette,LA,USA,30.2240897,-92.0198427,22055,36066
4043151,Johnathan,Picone,Texas Tech,73,225,10,No data,LB,Covington,LA,USA,30.4754702,-90.1009108,21117,36360
4043154,Bailey,Smith,Texas Tech,77,295,71,4,OL,Lucas,TX,USA,33.0842854,-96.5766577,48085,37201
4043155,Desmon,Smith,Texas Tech,74,195,4,4,DB,Odessa,TX,USA,31.8457149,-102.367687,48135,36462
4043156,Brayden,Stringer,Texas Tech,74,220,33,4,LB,Cypress,TX,USA,29.9691116,-95.6971686,48201,36232
4043158,T.J.,Vasher,Texas Tech,78,215,9,4,WR,Wichita Falls,TX,USA,33.9137085,-98.4933873,48485,35502
4043159,Joseph,Wallace,Texas Tech,73,315,97,2,DL,Dallas,TX,USA,32.7762719,-96.7968559,48113,67295
4043160,Da'Leon,Ward,Texas Tech,70,180,21,2,RB,Dallas,TX,USA,32.7762719,-96.7968559,48113,35814
4043161,Antoine,Wesley,Texas Tech,77,200,4,3,WR,Cibolo,TX,USA,29.5707831,-98.2330927,48187,36712
4241829,Riko,Jeffers,Texas Tech,74,235,6,4,LB,Garland,TX,USA,32.912624,-96.6388833,48113,39393
4241830,Quincy,Addison,Texas Tech,73,195,12,2,DB,Angleton,TX,USA,29.16941,-95.4318847,48039,39342
4241833,John,Davis Jr.,Texas Tech,73,190,8,3,DB,Euless,TX,USA,32.8457865,-97.0667142473263,48439,39709
4241835,Jaylon,Lane,Texas Tech,74,190,28,No data,DB,Nacogdoches,TX,USA,31.6035129,-94.6554874,48347,55656
4241844,Jack,Anderson,Texas Tech,77,315,56,3,OL,Frisco,TX,USA,33.1506744,-96.8236116,48085,38701
4259378,Desmond,Nisby,Texas Tech,73,0,32,No data,RB,San Francisco,CA,USA,37.7790262,-122.4199061,06075,55758
4569391,Travis,Koontz,Texas Tech,77,255,15,4,TE,Austintown,OH,USA,41.1017247,-80.7645239,39099,39893
