ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3929844,John,Burt,Texas,75,205,1,4,WR,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,31997
3929856,Kirk,Johnson,Texas,72,215,28,4,RB,San Jose,CA,USA,37.3361905,-121.8905833,06085,32216
4039042,Zach,Shackelford,Texas,76,305,56,4,OL,Belton,TX,USA,31.0560132,-97.464453,48027,36227
4039043,Collin,Johnson,Texas,78,220,9,4,WR,San Jose,CA,USA,37.3361905,-121.8905833,06085,35385
4039045,D'Andre,Christmas-Giles,Texas,75,315,55,4,DL,New Orleans,LA,USA,29.9499323,-90.0701156,22071,35498
4039050,Devin,Duvernay,Texas,71,210,6,4,WR,Sachse,TX,USA,32.9762327,-96.5952703,48113,35219
4039051,Donovan,Duvernay,Texas,69,195,27,3,DB,Sachse,TX,USA,32.9762327,-96.5952703,48113,36059
4039058,Tope,Imade,Texas,78,358,67,4,OL,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,35967
4039059,Brandon,Jones,Texas,72,205,19,4,DB,Nacogdoches,TX,USA,31.6035129,-94.6554874,48347,35223
4039060,Jeffrey,McCulloch,Texas,75,245,23,4,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,35242
4039061,Denzel,Okafor,Texas,76,314,78,4,OL,Lewisville,TX,USA,33.046233,-96.994174,48121,35470
4039064,Malcolm,Roach,Texas,75,290,32,4,DL,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,35766
4039067,Gerald,Wilbon,Texas,75,325,95,4,DL,Saint Rose,LA,USA,38.6820405,-89.55343803342507,17027,35851
4039068,Chris,Brown,Texas,71,187,15,4,DB,Houston,TX,USA,29.7589382,-95.3676974,48201,35604
4241820,Sam,Ehlinger,Texas,75,225,11,4,QB,Austin,TX,USA,30.2711286,-97.7436995,48453,38744
4259346,Josh,Thompson,Texas,72,194,9,4,DB,Nacogdoches,TX,USA,31.6035129,-94.6554874,48347,38920
4259348,Daniel,Young,Texas,72,212,32,4,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,39279
4259352,Jordan,Pouncey,Texas,73,212,85,3,WR,Winter Park,FL,USA,26.13784445,-81.75399813758739,12021,39360
4259355,Rob,Cummins,Texas,77,260,90,2,DL,Fort Worth,TX,USA,32.753177,-97.3327459,48439,40092
