ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3675585,Malik,Lawal,Tulane,73,228,45,4,LB,Temecula,CA,USA,33.4946353,-117.1473661,06065,32477
3843247,Justin,McMillan,Tulane,75,205,12,4,QB,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,33310
3915824,Corey,Dauphine,Tulane,72,195,6,4,RB,Port Arthur,TX,USA,29.8988618,-93.9288723,48245,32069
3917054,Keyshawn,McLeod,Tulane,76,305,53,4,OL,Port Charlotte,FL,USA,26.9761707,-82.0906448,12015,34089
3919609,Jalen,McCleskey,Tulane,71,165,1,4,WR,Covington,LA,USA,30.4754702,-90.1009108,21117,32673
4040640,Darius,Bradwell,Tulane,73,230,10,4,RB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,37267
4040642,Larry,Bryant,Tulane,73,205,6,4,S,Kennesaw,GA,USA,34.0234337,-84.6154897,13067,37813
4040644,Lawrence,Graham,Tulane,70,220,35,4,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,37666
4040645,P.J.,Hall,Tulane,71,190,2,4,S,Hoover,AL,USA,33.3848933,-86.8070484,01073,35857
4040646,Sean,Harper,Tulane,73,205,39,3,DB,Fayetteville,GA,USA,33.4487257,-84.4549262,13113,37943
4040647,Will,Harper,Tulane,72,195,25,4,S,Memphis,TN,USA,35.1490215,-90.0516285,47157,37121
4040651,Tyler,Johnson,Tulane,75,280,50,4,OL,Atlanta,GA,USA,33.7490987,-84.3901849,13121,38066
4040655,Darnell,Mooney,Tulane,71,175,3,4,WR,Gadsden,AL,USA,34.010929,-85.9989596,01055,37550
4040657,Coby,Neenan,Tulane,74,195,44,4,P,Dothan,AL,USA,31.2237434,-85.3933906,01069,37639
4040660,Jacob,Robertson Jr.,Tulane,72,170,15,4,WR,College Park,GA,USA,33.6534427,-84.4493725,13121,36005
4040662,De'Andre,Williams,Tulane,75,290,48,4,NT,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,37111
4050370,Keon,Howard,Tulane,73,215,9,4,QB,Laurel,MS,USA,31.74096,-89.13382003619111,28067,35970
4243908,Dane,Ledford,Tulane,72,185,83,3,WR,Argyle,TX,USA,33.110156,-97.17940980147037,48121,41222
4243909,Willie,Langham,Tulane,73,175,8,3,CB,Mccalla,AL,USA,33.3062319,-87.0241656,01073,41252
4243911,Stephon,Huderson,Tulane,69,200,5,4,RB,Petal,MS,USA,31.3465627,-89.2600605,28035,41233
4243912,Jaylon,Monroe,Tulane,69,180,9,4,CB,Dallas,TX,USA,32.7762719,-96.7968559,48113,41052
4243913,Marvin,Moody,Tulane,74,225,No data,4,LB,Bryant,AR,USA,34.5959265,-92.4890469,05125,41774
4243915,Tirise,Barge,Tulane,71,185,33,3,S,Moultrie,GA,USA,31.179998,-83.7887928,13071,42428
4243916,Patrick,Johnson,Tulane,75,255,7,4,DE,Chattanooga,TN,USA,35.0457219,-85.3094883,47065,41649
4243917,Chase,Kuerschen,Tulane,73,195,36,4,S,Knoxville,TN,USA,35.9603948,-83.9210261,47093,41045
4243918,KJ,Vault,Tulane,73,190,38,3,S,Hoover,AL,USA,33.3848933,-86.8070484,01073,40857
4243920,Torri,Singletary Jr.,Tulane,76,225,42,3,DE,Baldwin,FL,USA,30.3027384,-81.9753865,12031,41364
4243921,Will,Wallace,Tulane,76,235,84,3,TE,Natchez,MS,USA,31.5604442,-91.403171,28001,39795
4243923,Cameron,Sample,Tulane,75,280,5,4,DE,Snellville,GA,USA,33.857328,-84.0199108,13135,41217
4243925,Cameron,Jackel,Tulane,78,300,63,3,OL,Marrero,LA,USA,29.8993723,-90.1003506,22051,41263
4243926,Corey,Dublin,Tulane,76,300,64,4,OL,New Orleans,LA,USA,29.9499323,-90.0701156,22071,41453
4243927,Joey,Claybrook,Tulane,78,295,79,3,OL,Starkville,MS,USA,33.4503998,-88.8183872,28105,40771
4243928,Jaetavian,Toles,Tulane,72,180,23,4,WR,Houston,TX,USA,29.7589382,-95.3676974,48201,41056
4243930,Kevin,LeDee,Tulane,76,200,87,2,WR,Houston,TX,USA,29.7589382,-95.3676974,48201,41142
4361796,Tyrick,James,Tulane,74,250,80,3,TE,Waco,TX,USA,31.549333,-97.1466695,48309,44997
4361797,Amare,Jones,Tulane,71,195,5,4,RB,Frisco,TX,USA,33.1506744,-96.8236116,48085,44419
4361798,Quentin,Brown,Tulane,73,210,13,1,LB,Conroe,TX,USA,30.3118769,-95.4560512,48339,41203
4361800,Christian,Daniels,Tulane,74,220,14,2,TE,Rocky Mount,NC,USA,35.9423833,-77.7956949,37127,44564
4361801,Jorien,Vallien,Tulane,75,185,17,2,WR,Alexandria,LA,USA,31.311248,-92.4449087,27041,43927
4361802,Cameron,Carroll,Tulane,72,225,20,2,RB,Flowood,MS,USA,32.3095903,-90.1389757,28121,45458
4361803,Chris,Joyce,Tulane,71,175,21,2,DB,Hampton,GA,USA,33.3870578,-84.2829784,13151,45356
4361804,Ygenio,Booker,Tulane,71,205,5,2,RB,Brooksville,FL,USA,28.5552719,-82.3878709,12053,45041
4361805,Keitha,Jones Jr.,Tulane,73,225,86,3,TE,Port Arthur,TX,USA,29.8988618,-93.9288723,48245,44649
4361806,Alfred,Thomas,Tulane,74,290,99,3,DE,Montgomery,AL,USA,32.3669656,-86.3006485,01101,43529
4361807,Larry,Brooks,Tulane,72,200,31,3,S,Fort Worth,TX,USA,32.753177,-97.3327459,48439,44333
4361809,Juan,Monjarres,Tulane,74,235,44,3,DE,New Orleans,LA,USA,29.9499323,-90.0701156,22071,43838
4361810,Stephen,Lewerenz,Tulane,75,285,51,2,OL,Gainesville,FL,USA,29.6519684,-82.3249846,12001,45789
4361812,Nik,Hogan,Tulane,76,300,66,2,OL,Brandon,MS,USA,32.2731475,-89.9868058,28121,43846
4361815,Michael,Remondet,Tulane,76,280,76,2,OL,Youngsville,LA,USA,30.0996471,-91.9901206,22055,45663
4361816,Jeffery,Johnson,Tulane,75,330,77,3,NT,Brookhaven,MS,USA,31.5790588,-90.4406506,28085,43454
4361817,Davon,Wright,Tulane,73,305,90,3,DE,Donaldsonville,LA,USA,30.1010324,-90.9928774,22005,44868
4361818,Sorrell,Brown,Tulane,75,205,86,2,WR,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,45568
4361820,Macon,Clark,Tulane,72,185,37,3,S,Saint Rose,LA,USA,38.6820405,-89.55343803342507,17027,45230
4361821,Carlos,Hatcher,Tulane,75,240,54,2,DE,Carrollton,TX,USA,32.9537349,-96.8902816,48113,44462
4361822,Jamiran,James,Tulane,73,270,93,1,NT,New Orleans,LA,USA,29.9499323,-90.0701156,22071,44296
4361823,Ryan,Wright,Tulane,75,245,97,3,P,San Ramon,CA,USA,37.7799273,-121.9780153,06013,44387
4426617,Ton'Quez,Ball,Tulane,70,195,12,1,S,Knoxville,TN,USA,35.9603948,-83.9210261,47093,48314
4427076,Armoni,Dixon,Tulane,75,230,49,1,LB,Wilmette,IL,USA,42.0757315,-87.7193768,17031,48626
4427212,Jackson,Fort,Tulane,76,310,74,1,OL,The Woodlands,TX,USA,30.1734194,-95.504686,48339,49321
4427400,Kiland,Harrison,Tulane,71,185,19,1,DB,Raymond,MS,USA,32.2593146,-90.4225951,28049,49085
4427423,Sincere,Haynesworth,Tulane,73,310,52,2,OL,Pearland,TX,USA,29.5639758,-95.2864299,48039,48597
4427575,Jha'Quan,Jackson,Tulane,69,185,4,2,WR,Luling,LA,USA,29.9321498,-90.3664695,48055,48003
4428136,Jacquez,Norman,Tulane,71,190,14,1,DB,Antioch,TN,USA,36.0806394,-83.7799037,47093,49578
4428170,Colby,Orgeron,Tulane,77,285,73,1,OL,New Orleans,LA,USA,29.9499323,-90.0701156,22071,49676
4428273,Tyrek,Presley,Tulane,74,195,81,1,WR,Riverdale,GA,USA,33.5726113,-84.4132594,13063,48899
4428557,Tyjae,Spears,Tulane,70,190,22,1,RB,Ponchatoula,LA,USA,30.4388041,-90.4414762,22105,48143
4428878,Levi,Williams,Tulane,71,170,16,1,DB,Valrico,FL,USA,27.9484265,-82.23621545220522,12057,48307
