ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
514167,Trent,Martin,Tulsa,74,No data,40,No data,LB,Jenks,OK,USA,36.0228734,-95.9683278,40143,20885
531642,Conner,Sherwood,Tulsa,75,No data,43,No data,LB,Tulsa,OK,USA,36.1556805,-95.9929113,40143,23641
531643,Craig,Suits,Tulsa,72,223,28,No data,LB,Sunnyvale,TX,USA,32.7965165,-96.5608242,48113,24489
532268,Jeremy,Brady,Tulsa,70,No data,22,No data,S,North Little Rock,AR,USA,34.769536,-92.2670941,05119,24283
532270,Johnell,Celistan,Tulsa,74,No data,7,No data,DB,Avondale,LA,USA,29.9129834,-90.2036869,29047,24056
532273,Dane,Evans,Tulsa,73,No data,9,No data,QB,Sanger,TX,USA,33.3631706,-97.1739028,48121,23043
532274,James,Flanders,Tulsa,70,No data,20,No data,RB,Midwest City,OK,USA,35.4495097,-97.3967025,40109,23492
550731,C.J.,Gooden,Tulsa,73,230,59,No data,LB,Ashdown,AR,USA,33.67344,-94.1299625,05081,26446
550737,Keevan,Lucas,Tulsa,70,No data,2,No data,WR,Abilene,TX,USA,32.44645,-99.7475905,48441,26378
550745,Ryan,Rubley,Tulsa,75,No data,12,No data,QB,Highlands Rach,CO,USA,No data,No data,No data,26610
550748,Kolton,Shindelar,Tulsa,78,280,85,No data,DE,Liberty,MO,USA,39.246479,-94.419079,29047,27004
550750,Kerwin,Thomas,Tulsa,70,180,2,No data,CB,Wagoner,OK,USA,35.9595442,-95.3694116,40145,27135
550751,Zac,Uhles,Tulsa,75,287,53,No data,G,Norman,OK,USA,35.2225717,-97.4394816,40027,26616
550917,Will,Barrow,Tulsa,69,No data,23,No data,CB,Dallas,TX,USA,32.7762719,-96.7968559,48113,25859
550921,Jesse,Brubaker,Tulsa,75,270,8,No data,DE,Wylie,TX,USA,33.0151201,-96.5388789,48085,26522
3126273,D'Angelo,Brewer,Tulsa,69,190,4,No data,RB,Tulsa,OK,USA,36.1556805,-95.9929113,40143,30303
3126275,Nigel,Carter,Tulsa,75,205,11,No data,WR,Tulsa,OK,USA,36.1556805,-95.9929113,40143,30239
3126281,Justin,Hobbs,Tulsa,76,230,29,4,WR,Overland Park,KS,USA,38.9742502,-94.6851702,20091,30998
3126289,Jordan,Mitchell,Tulsa,74,205,13,4,S,Owasso,OK,USA,36.2661536,-95.8549456,40143,30437
3126291,Myles,Mouton,Tulsa,74,257,96,4,DE,Beaumont,TX,USA,30.0860459,-94.1018461,48245,31052
3126293,Payton,Prince,Tulsa,75,273,89,4,DT,Norman,OK,USA,35.2225717,-97.4394816,40027,30066
3126297,Jeremy,Smith,Tulsa,77,265,98,No data,DE,Tulsa,OK,USA,36.1556805,-95.9929113,40143,30872
3126299,Brodrick,Umblance,Tulsa,72,189,5,No data,WR,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,30177
3126300,Ramadi,Warren,Tulsa,69,210,25,4,RB,Memphis,TN,USA,35.1490215,-90.0516285,47157,29689
3126302,Willie,Wright,Tulsa,75,296,58,4,OT,Houston,TX,USA,29.7589382,-95.3676974,48201,29712
3917005,Jarion,Anderson,Tulsa,69,179,4,4,WR,Texarkana,TX,USA,33.44628645,-94.07638067493534,48037,34303
3917006,Reggie,Robinson II,Tulsa,73,197,9,4,CB,Cleburne,TX,USA,32.3476438,-97.3866837,48251,66954
3917007,Chad,President,Tulsa,74,226,10,3,QB,Temple,TX,USA,31.098207,-97.3427847,48027,32207
3917010,McKinley,Whitfield,Tulsa,75,217,5,4,S,Spiro,OK,USA,35.2412073,-94.619944,40079,33031
3917011,Javon,Thomas,Tulsa,74,237,22,3,RB,Texarkana,TX,USA,33.44628645,-94.07638067493534,48037,33930
3917013,Diamon,Cannon,Tulsa,74,230,6,4,LB,Killeen,TX,USA,31.1171441,-97.727796,48027,34422
3917014,Keidrien,Wadley,Tulsa,72,197,11,4,S,Irving,TX,USA,32.8295183,-96.9442177,48113,34880
3917015,Cristian,Williams,Tulsa,72,180,3,4,S,Dallas,TX,USA,32.7762719,-96.7968559,48113,34222
3917016,Trevis,Gipson,Tulsa,76,268,15,4,DE,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,33676
3917017,Chris,Minter,Tulsa,74,253,6,4,TE,Temple,TX,USA,31.098207,-97.3427847,48027,34479
4039660,Josh,Stewart,Tulsa,75,205,1,4,WR,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,36773
4039661,Robert,Revels III,Tulsa,74,215,4,4,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,36729
4039662,Keenen,Johnson,Tulsa,73,200,8,4,WR,Alto,TX,USA,31.6504546,-95.0727175,48073,37005
4039664,Luke,Skipper,Tulsa,74,211,13,2,QB,Forney,TX,USA,32.747893,-96.4719289,48257,36893
4039665,Montray,Norris,Tulsa,73,170,16,2,CB,Houston,TX,USA,29.7589382,-95.3676974,48201,37533
4039666,David,Fitzwater,Tulsa,76,245,18,2,TE,Shreveport,LA,USA,32.5221828,-93.7651944,22017,38212
4039671,Cooper,Edmiston,Tulsa,75,241,42,4,LB,Gatesville,TX,USA,31.4351645,-97.743911,48099,38196
4039672,Shemarr,Robinson,Tulsa,75,312,54,4,DT,Tulsa,OK,USA,36.1556805,-95.9929113,40143,37701
4046474,Blake,Landon,Tulsa,73,225,47,2,LB,Edmond,OK,USA,35.6571367,-97.4649038,40109,42810
4054031,Reggie,Robinson,Tulsa,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,33135
4244611,Adam,Higuera,Tulsa,73,224,42,4,LS,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,42558
4273921,Frankie,Davis,Tulsa,75,No data,90,No data,DE,Broken Arrow,OK,USA,36.0525993,-95.7908195,40143,26687
4578902,Jordan,Brown,Tulsa,No data,No data,No data,No data,No data,Stillwater,OK,USA,36.1156306,-97.0585717,40119,36973
