ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3918640,Tyree,Turner,UAB,73,305,10,4,DL,Stockbridge,GA,USA,33.5442781,-84.2338093,13151,34420
4034606,TD,Marshall,UAB,72,195,8,4,CB,Birmingham,AL,USA,33.5206824,-86.8024326,01073,35898
4034957,Jordan,Smith,UAB,79,255,22,3,LB,Lithonia,GA,USA,33.7123305,-84.1051939,13089,64533
4040657,Coby,Neenan,UAB,74,195,44,4,P,Dothan,AL,USA,31.2237434,-85.3933906,01069,37639
4047653,Jarrion,Street,UAB,75,220,7,4,LB,Trussville,AL,USA,33.626629,-86.5549335251678,01073,35801
4239769,Grayson,Cash,UAB,72,200,12,3,S,Trussville,AL,USA,33.626629,-86.5549335251678,01073,41714
4239792,Thomas,Johnston,UAB,74,225,5,4,LB,Spanish Fort,AL,USA,30.6749127,-87.9152724,01003,39004
4239805,Kristopher,Moll,UAB,74,225,6,4,S,Miami,FL,USA,25.7742658,-80.1936589,12086,42599
4239809,Patrick,Nuss,UAB,79,320,73,3,OL,Vestavia Hills,AL,USA,33.4487989,-86.7879492,01073,41059
4239827,Dy'jonn,Turner,UAB,71,205,14,4,S,Florence,AL,USA,34.79981,-87.677251,01077,41775
4240252,Devodric,Bynum,UAB,71,190,20,3,CB,Dallas,TX,USA,32.7762719,-96.7968559,48113,40124
4240615,Kadeem,Telfort,UAB,80,315,77,3,OL,Miami,FL,USA,25.7742658,-80.1936589,12086,65643
4241074,Larry,Wooden,UAB,72,205,25,3,RB,Hoover,AL,USA,33.3848933,-86.8070484,01073,41053
4242213,Tyler,Taylor,UAB,75,250,7,3,LB,Buford,GA,USA,34.1206564,-84.0043513,13135,38873
4245705,Troy,Young,UAB,72,210,11,3,CB,Prichard,AL,USA,30.7387998,-88.0788889,01097,40111
4262182,Will,Boler,UAB,72,210,21,3,S,Opelika,AL,USA,32.72667,-85.39249304591837,01081,42593
4262188,Kobe,Griffin,UAB,72,205,9,3,S,Troy,AL,USA,31.8087678,-85.969951,01109,42486
4363408,Starling,Thomas V,UAB,71,185,4,3,CB,Birmingham,AL,USA,33.5206824,-86.8024326,01073,44477
4363410,Dylan,Hopkins,UAB,74,205,9,2,QB,Maryville,TN,USA,35.7564719,-83.9704593,47009,45137
4363411,Xavier,Lanier,UAB,74,200,13,2,S,Gordo,AL,USA,33.3201178,-87.9027962,01107,45361
4363416,Deshaun,Oliver Jr.,UAB,74,215,24,2,LB,Birmingham,AL,USA,33.5206824,-86.8024326,01073,45727
4363417,Jaylen,Key,UAB,74,205,28,2,S,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,44971
4363418,Jalen,Rayam,UAB,72,225,30,2,LB,Alabaster,AL,USA,33.2442813,-86.8163773,01117,44200
4363425,Andrew,Smith Jr.,UAB,73,310,55,4,OL,Mount Olive,MS,USA,31.7443269,-89.0522766,28067,46250
4363439,Michael,Fairbanks II,UAB,75,265,93,2,LB,Powder Springs,GA,USA,33.8595492,-84.683824,13067,44918
4426962,Will,Conner,UAB,73,225,45,1,LB,Alabaster,AL,USA,33.2442813,-86.8163773,01117,48177
4427839,Bryson,Lucero,UAB,73,210,12,1,QB,Loma,CO,USA,39.1958139,-108.8131581,08077,48822
4427960,Terrell,McDonald,UAB,74,240,42,1,TE,Muscle Shoals,AL,USA,34.7451786,-87.6686733,01033,49496
4428538,Tyetus,Smith-Lindsey,UAB,67,175,37,1,RB,Oxford,AL,USA,33.5853695,-85.91428175037092,01121,50721
4428622,Keondre,Swoopes,UAB,70,185,No data,2,S,Hartselle,AL,USA,34.4443243,-86.934547,01103,49460
4429546,Colby,Dempsey,UAB,70,160,33,1,CB,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,63375
4430300,Kevin,Penn,UAB,75,305,92,1,DL,Decatur,AL,USA,34.6060203,-86.9838165,01103,49202
4430439,Will,Rykard,UAB,74,300,75,1,OL,Moultrie,GA,USA,31.179998,-83.7887928,13071,49948
4568698,Allen,Merrick,UAB,74,260,49,1,LB,Gadsden,AL,USA,34.010929,-85.9989596,01055,62621
4570110,Damon,Miller,UAB,72,195,26,2,S,Fairfield,AL,USA,33.4859402,-86.9119366,01073,49822
4570111,Damien,Miller,UAB,72,210,27,2,S,Fairfield,AL,USA,33.4859402,-86.9119366,01073,48627
4570115,Samario,Rudolph,UAB,69,175,7,1,WR,Mobile,AL,USA,30.6943566,-88.0430541,01097,50797
4570119,Alex,Wright,UAB,79,260,16,2,LB,Elba,AL,USA,31.4146108,-86.0677243,01031,48750
4570124,Matthew,Trehern,UAB,75,315,61,3,OL,Saraland,AL,USA,30.820742,-88.0705556,01097,40966
4570130,Jermaine,Brown Jr.,UAB,68,175,1,2,RB,Mobile,AL,USA,30.6943566,-88.0430541,01097,50433
4576143,Trey,Bedosky,UAB,78,250,79,1,OL,Fairburn,GA,USA,33.5670562,-84.5810418,13121,63813
4576151,Zach,Taylor,UAB,76,325,71,1,OL,Madison,AL,USA,34.6928726,-86.7511427,01089,63528
