ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
551186,Shaquem,Griffin,UCF,73,223,18,No data,LB,St. Petersburg,FL,USA,27.7703796,-82.6695085,12103,26549
551191,Chequan,Burkett,UCF,75,230,2,No data,ILB,Montgomery,AL,USA,32.3669656,-86.3006485,01101,26389
551195,Seyvon,Lowry,UCF,75,272,49,No data,DL,Jacksonville,FL,USA,30.3321838,-81.655651,12031,25644
551198,Aaron,Evans,UCF,77,319,66,No data,OL,Seffner,FL,USA,27.998541000000003,-82.27488400114905,12057,26739
3128434,Kyle,Gibson,UCF,71,182,25,4,DB,Tampa,FL,USA,27.9477595,-82.458444,12057,28489
3128438,Tre,Neal,UCF,73,215,8,4,DB,Buford,GA,USA,34.1206564,-84.0043513,13135,29249
3128439,Jordan,Franks,UCF,75,236,15,No data,WR,Wakulla,FL,USA,30.2368696,-84.2310065,12129,30542
3128443,Mac,Loudermilk,UCF,73,234,48,4,P,Valdosta,GA,USA,30.8327022,-83.2784851,13185,29792
3128449,Wyatt,Miller,UCF,76,306,78,4,OL,Douglas,GA,USA,31.5088073,-82.8498654,13069,29639
3128451,Tre'Quan,Smith,UCF,73,205,4,No data,WR,Delray Beach,FL,USA,26.4614625,-80.0728201,12099,29624
3128454,Joey,Connors,UCF,73,313,91,4,DL,Powder Springs,GA,USA,33.8595492,-84.683824,13067,29834
3128455,Jamiyus,Pittman,UCF,72,311,5,No data,DL,Moultrie,GA,USA,31.179998,-83.7887928,13071,28865
3886837,Canton,Kaumatule,UCF,79,295,99,No data,DL,Honolulu,HI,USA,21.304547,-157.8556764,15003,31875
3895841,Mike,Hughes,UCF,71,185,19,No data,DB,New Bern,NC,USA,35.1084931,-77.0441143,37049,32266
3914267,Taj,McGowan,UCF,73,210,4,4,RB,Hollywood,FL,USA,26.0112014,-80.1494901,12011,33236
3925342,Shawn,Burgess-Becker,UCF,74,224,28,4,LB,Coconut Creek,FL,USA,26.271462800000002,-80.18180791688866,12011,32023
3929033,Rashard,Causey,UCF,72,195,21,4,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,32381
3929035,Aaron,Cochran,UCF,74,301,43,4,DL,Atlanta,GA,USA,33.7490987,-84.3901849,13121,33074
3929036,Titus,Davis,UCF,75,248,10,4,DL,Ellenwood,GA,USA,33.6101096,-84.287978,13063,32790
3929041,Brendon,Hayes,UCF,75,293,6,4,DL,New Orleans,LA,USA,29.9499323,-90.0701156,22071,33730
3929043,Pat,Jasinski,UCF,73,233,56,4,LB,Roswell,GA,USA,34.02332,-84.360022,13121,33585
3929047,Tristan,Payton,UCF,72,196,6,4,WR,Jacksonville,FL,USA,30.3321838,-81.655651,12031,32108
3932144,Jacob,Harris,UCF,77,211,87,4,WR,Palm Harbor,FL,USA,28.0780718,-82.7637127,12103,46331
4042110,Jawon,Hamilton,UCF,68,195,No data,4,RB,Miami,FL,USA,25.7742658,-80.1936589,12086,36903
4042111,Jaquarius,Bargnare,UCF,69,184,3,2,WR,Orlando,FL,USA,28.5421109,-81.3790304,12095,36331
4042112,Adrian,Killins Jr.,UCF,68,164,9,4,RB,Daytona Beach,FL,USA,29.2108147,-81.0228331,12127,36170
4042113,McKenzie,Milton,UCF,71,192,10,4,QB,Kapolei,HI,USA,21.3340079,-158.0778491,15003,36333
4042118,Brandon,Moore,UCF,72,181,13,4,DB,Sanford,FL,USA,28.8117297,-81.2680345,12117,37155
4042119,Richie,Grant,UCF,72,194,27,4,DB,Fort Walton Beach,FL,USA,30.4057552,-86.618842,12091,37602
4042120,Monterious,Loggins,UCF,72,245,33,3,LB,Crawfordville,FL,USA,30.1760358,-84.3751778,12129,37275
4042121,Dedrion,Bacote-Sweat,UCF,74,231,35,3,DL,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,37965
4042127,Eric,Mitchell,UCF,74,238,1,4,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,36140
4042133,Jordan,Johnson,UCF,74,320,72,4,OL,Jacksonville,FL,USA,30.3321838,-81.655651,12031,35737
4042136,Anthony,Roberson,UCF,77,240,13,4,TE,Richmond,VA,USA,37.5385087,-77.43428,51760,40641
4042138,Josh,Odigie,UCF,75,250,90,No data,DL,Costa Mesa,CA,USA,33.6633386,-117.903317,06059,55365
4042141,Trysten,Hill,UCF,74,330,9,3,DL,Lee,FL,USA,30.4196584,-83.3004216,12079,37199
4044148,Dredrick,Snelson,UCF,72,206,5,3,WR,Miami,FL,USA,25.7742658,-80.1936589,12086,35556
4044149,Bryon,Brown,UCF,73,176,13,3,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,36783
4046689,Parker,Boudreaux,UCF,76,301,61,3,OL,Winter Garden,FL,USA,28.5656649,-81.5856742,12095,35571
