ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
518271,Blake,Frohnapfel,UMass,78,No data,15,No data,QB,Stafford,VA,USA,38.4222681,-77.4084067,51179,21039
537063,Tajae,Sharpe,UMass,75,No data,1,No data,WR,Piscataway,NJ,USA,40.5462553,-74.4660408,34023,23171
537066,A.J.,Doyle,UMass,75,No data,15,No data,TE,Lakeville,MA,USA,41.8459353,-70.9494854,25023,23393
537067,Trey,Dudley-Giles,UMass,70,No data,9,No data,DB,Dade City,FL,USA,28.3647248,-82.1959178,12101,24352
537077,Jovan,Santos-Knox,UMass,74,No data,17,No data,LB,Middletown,CT,USA,41.5623178,-72.6509061,09007,24235
552639,Todd,Stafford,UMass,79,No data,12,No data,TE,Riverside,CT,USA,41.0337082,-73.57818,09001,26603
552645,Lorenzo,Woodley,UMass,72,No data,20,No data,RB,Miami,FL,USA,25.7742658,-80.1936589,12086,25612
552813,Peter,Angeh,UMass,73,No data,5,No data,DL,Silver Spring,MD,USA,38.9959461,-77.0276231,24031,27667
552814,Enock,Asante,UMass,74,No data,60,No data,DL,Trenton,NJ,USA,40.2170575,-74.7429463,34021,27897
552818,Steve,Casali,UMass,73,245,34,No data,LB,Farmingville,NY,USA,40.8407416,-73.03498628377764,36103,27664
552822,Sharif,Custis,UMass,76,No data,83,No data,TE,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,27112
552826,Shaquille,Harris,UMass,72,No data,14,No data,TE,Palmetto,FL,USA,27.5214269,-82.5723193,12081,27218
552829,Shane,Huber,UMass,75,230,8,No data,LB,Basking Ridge,NJ,USA,40.7064088,-74.5492725,34035,26421
552835,Daquan,Mack,UMass,72,No data,45,No data,RB,Levittown,PA,USA,40.1541257,-74.8408768,42017,27441
552837,Shakur,Nesmith,UMass,77,205,12,No data,WR,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,23677
552837,Shakur,Nesmith,UMass,77,205,12,No data,WR,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,57365
552838,Peter,Ngobidi,UMass,74,No data,44,No data,OLB,Hyde Park,MA,USA,42.2556543,-71.1244963,25025,26977
552841,Jackson,Porter,UMass,73,200,28,No data,CB,Ellicott City,MD,USA,39.2673284,-76.7983067,24027,27721
3125922,Jarell,Addo,UMass,73,200,26,4,LB,Leominster,MA,USA,42.5192095,-71.7678956,25027,30035
3125924,J.T.,Blyden,UMass,72,No data,23,No data,RB,West Grove,PA,USA,39.82055685,-75.82832725481009,42029,29367
3125927,Ross,Comis,UMass,73,195,2,4,QB,Weirton,WV,USA,40.4189566,-80.5895167,54029,31106
3125929,Jon,Denton,UMass,78,No data,89,No data,TE,Perry,KS,USA,39.0758335,-95.3933077,20087,54682
3125931,Da'Sean,Downey,UMass,76,230,4,No data,DL,White Plains,NY,USA,41.0339862,-73.7629097,36119,31262
3125942,Jake,Largay,UMass,76,325,79,4,OL,East Hartland,CT,USA,41.9989841,-72.9053787,09003,29871
3125950,Jean,Sifrin,UMass,79,No data,87,No data,TE,Miami,FL,USA,25.7742658,-80.1936589,12086,54314
3125951,Charan,Singh,UMass,73,190,24,No data,CB,Murrysville,PA,USA,40.4284015,-79.697545,42129,31053
3125957,Jalen,Williams,UMass,75,No data,80,No data,WR,Atlanta,GA,USA,33.7490987,-84.3901849,13121,31423
3125957,Jalen,Williams,UMass,75,No data,80,No data,WR,Atlanta,GA,USA,33.7490987,-84.3901849,13121,36954
3914327,Micah,Morel,UMass,71,200,16,3,S,Brockton,MA,USA,42.0834335,-71.0183787,25023,35132
3932668,Jack,Driscoll,UMass,77,296,71,4,OL,Madison,CT,USA,41.2794282,-72.5983151,09009,34065
