ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3932934,Clayton,Bradley,UNLV,78,310,76,4,OL,Orange,CA,USA,33.7872568,-117.8503088,06059,32184
4035705,Connor,Murphy,UNLV,79,270,90,4,DL,Mesa,AZ,USA,33.4151117,-111.8314773,04013,35434
4052178,Charles,Williams,UNLV,69,200,8,4,RB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,36278
4056043,Giovanni,Fauolo Sr.,UNLV,74,250,45,4,TE,Oakley,CA,USA,37.9974219,-121.7124536,06013,36823
4056044,Julio,Garcia,UNLV,75,330,74,4,OL,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,37057
4241992,Tate,Martell,UNLV,71,198,18,3,QB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,38682
4245702,Kylan,Wilborn,UNLV,74,250,8,4,LB,Northridge,CA,USA,34.2345615,-118.5369316,06037,39972
4261657,Noah,Bean,UNLV,74,245,11,3,TE,Simi Valley,CA,USA,34.2694474,-118.781482,06111,40370
4261658,Farrell,Hester II,UNLV,73,240,53,4,LB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,40683
4261669,Kolo,Uasike,UNLV,72,305,94,4,DL,Mesa,AZ,USA,33.4151117,-111.8314773,04013,41960
4362431,Justin,Rogers,UNLV,76,240,5,2,QB,Bossier City,LA,USA,32.5369356,-93.6952689,22015,42950
4374168,Phillip,Hill,UNLV,71,190,5,2,DB,Spring,TX,USA,30.0798826,-95.4172549,48201,44479
4374169,Tyleek,Collins,UNLV,69,170,16,3,WR,Savannah,GA,USA,32.0809263,-81.0911768,13051,44552
4374170,Bryce,Jackson,UNLV,69,190,24,3,DB,Chandler,AZ,USA,33.3062223,-111.8413317,04013,45805
4374171,Austin,Ajiake,UNLV,74,220,27,3,LB,Fremont,CA,USA,37.5482697,-121.9885719,06001,45770
4374172,Chad,Magyar,UNLV,74,215,36,3,RB,Rancho Santa Margarita,CA,USA,33.6408845,-117.6029341,06059,45089
4374173,Malakai,Salu,UNLV,72,230,43,2,LB,Portland,OR,USA,45.5202471,-122.6741949,41051,44946
4374174,Malcolm,Johnson,UNLV,72,235,47,2,LB,Mandeville,LA,USA,30.3582305,-90.0657477,22103,46129
4374176,Tavis,Malakius,UNLV,74,280,55,3,DL,Macon,GA,USA,32.8406946,-83.6324022,13021,37652
4374180,Patrick,Ballard,UNLV,75,200,85,2,WR,Houston,TX,USA,29.7589382,-95.3676974,48201,45005
4426660,Kyle,Beaudry,UNLV,73,220,44,2,LB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,48745
4427161,Naki,Fahina,UNLV,72,275,6,2,DL,Hawthorne,CA,USA,33.9188589,-118.3483256,06037,48813
4427171,Leif,Fautanu,UNLV,74,320,79,1,OL,Honolulu,HI,USA,21.304547,-157.8556764,15003,49972
4427184,Austin,Fiaseu,UNLV,72,215,30,1,LB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,49487
4427596,Steve,Jenkins,UNLV,72,165,84,2,WR,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,48902
4428240,Adam,Plant Jr.,UNLV,77,250,7,2,DL,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,43612
4428320,Courtney,Reese,UNLV,68,155,26,1,RB,Naranja,FL,USA,25.521205600000002,-80.4194633289245,12086,49946
4428371,Seth,Robinson,UNLV,74,220,58,1,DL,Scottsdale,AZ,USA,33.4942189,-111.9260184,04013,48582
4428821,Malik,Wesley,UNLV,74,210,83,1,WR,Columbia,SC,USA,34.0007493,-81.0343313,45079,49955
4428909,Jacoby,Windmon,UNLV,74,215,4,2,LB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,48914
4429516,Doug,Brumfield,UNLV,77,215,2,1,QB,No data,No data,No data,No data,No data,No data,63063
4429889,Jordan,Jakes,UNLV,77,210,17,2,WR,Stockbridge,GA,USA,33.5442781,-84.2338093,13151,47995
4430754,No data,No data,UNLV,74,195,13,1,WR,No data,No data,No data,No data,No data,No data,63853
4430757,Jayvaun,Wilson,UNLV,74,212,6,1,RB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,47222
4431369,No data,No data,UNLV,73,235,22,1,LB,No data,No data,No data,No data,No data,No data,62055
4565555,Kaleo,Ballungay,UNLV,78,250,19,1,TE,Tracy,CA,USA,37.7396513,-121.4252227,06077,63388
4570181,Adam,Meyer,UNLV,77,220,87,2,TE,Huntington Beach,CA,USA,33.6783336,-118.0000166,06059,45220
4572240,Jeminai,Leuta-Ulu,UNLV,75,330,78,1,OL,Anaheim,CA,USA,33.8347516,-117.911732,06059,64147
4588193,Brye,Lighon,UNLV,74,240,80,1,TE,Marietta,GA,USA,33.9528472,-84.5496148,13067,72602
4591236,No data,No data,UNLV,74,160,No data,1,DB,No data,No data,No data,No data,No data,No data,63526
4592571,Anthony,Rosas,UNLV,75,320,54,1,OL,Baldwin Park,CA,USA,34.0854739,-117.9611761,06037,72416
4598576,Nick,Dimitris,UNLV,76,275,97,1,DL,Watts,CA,USA,33.9405674,-118.2428485,06037,71992
4602015,Deamikkio,Nathan II,UNLV,72,185,10,1,WR,Grand Prairie,TX,USA,32.657368000000005,-97.02846624175038,48113,72537
4602908,Kamren,Blanton,UNLV,71,170,18,1,DB,Long Beach,CA,USA,33.7690164,-118.1916048,06037,72559
4606180,Alani,Makihele,UNLV,75,350,73,1,OL,Anchorage,AK,USA,61.2163129,-149.8948523,02020,63725
4610705,No data,No data,UNLV,72,170,2,1,DB,No data,No data,No data,No data,No data,No data,63775
4611312,Tiger,Shanks,UNLV,77,345,70,1,OL,Lake Oswego,OR,USA,45.4206749,-122.6706498,41005,63905
4611312,Tiger,Shanks,UNLV,77,345,70,1,OL,Lake Oswego,OR,USA,45.4206749,-122.6706498,41005,75105
4611352,No data,No data,UNLV,73,180,14,1,DB,No data,No data,No data,No data,No data,No data,63962
4611985,Zyell,Griffin,UNLV,74,185,3,1,WR,No data,No data,No data,No data,No data,No data,64196
4612184,Jalen,Dixon,UNLV,72,260,50,1,DL,Seattle,WA,USA,47.6038321,-122.3300624,53033,63175
4612452,No data,No data,UNLV,74,300,96,1,DL,No data,No data,No data,No data,No data,No data,63533
4612606,Kevon,Ivy,UNLV,75,270,19,1,DL,Dallas,TX,USA,32.7762719,-96.7968559,48113,72668
4613054,Spencer,Briggs,UNLV,70,195,21,1,RB,Gallatin,TN,USA,36.3883031,-86.4475898,47165,65265
4613089,Ose,Egbase,UNLV,76,215,26,1,LB,Encino,CA,USA,34.1591324,-118.5016166,06037,64225
4613192,Charlton,Butt,UNLV,74,205,46,1,P,No data,No data,No data,No data,No data,No data,65431
4613192,Charlton,Butt,UNLV,74,205,46,1,P,No data,No data,No data,No data,No data,No data,75266
4613202,Kyle,Williams,UNLV,72,175,1,1,WR,No data,No data,No data,No data,No data,No data,62995
4683451,Cameron,Friel,UNLV,75,220,7,1,QB,Kahului,HI,USA,20.8747708,-156.4529829390927,15009,72755
4683910,Matthew,Geeting,UNLV,77,215,15,1,QB,Chino,CA,USA,34.0133561,-117.690075,06071,73576
4686071,Cameron,Oliver,UNLV,73,165,25,1,DB,Richmond,TX,USA,29.5821811,-95.7607832,48157,73450
4686359,Shaun,Grayson,UNLV,75,235,18,1,TE,La Mirada,CA,USA,33.9060971,-118.0107092,06037,73178
4687329,Marsel,McDuffie,UNLV,73,250,38,1,LB,Grand Prairie,TX,USA,32.657368000000005,-97.02846624175038,48113,73170
4687396,Aaron,Holloway,UNLV,71,195,82,1,WR,North Las Vegas,NV,USA,36.2005843,-115.1215844,32003,73370
4687533,Jaylen,Lane,UNLV,72,185,17,1,DB,Pearland,TX,USA,29.5639758,-95.2864299,48039,72831
4689354,Kilinahe,Mendiola-Jensen,UNLV,73,160,15,1,DB,Pearl City,HI,USA,21.400593999999998,-157.97040639396414,15003,73424
4696732,No data,No data,UNLV,72,185,13,3,DB,No data,No data,No data,No data,No data,No data,65772
4696739,Valen,Penn,UNLV,72,215,51,1,LS,San Antonio,TX,USA,29.4246002,-98.4951405,48029,65452
4696742,Marcus,Miller,UNLV,76,300,69,1,OL,Castro Valley,CA,USA,37.6945519,-122.0857432,06001,63545
4696744,Daniel,Caloca,UNLV,75,300,99,1,DL,Brawley,CA,USA,32.9786566,-115.530267,06025,64906
4701175,Graham,Keating,UNLV,77,290,61,1,OL,Murfreesboro,TN,USA,35.845999,-86.3920452,47149,73561
4709980,Johnathan,Baldwin,UNLV,72,185,21,1,DB,Houston,TX,USA,29.7589382,-95.3676974,48201,73387
4875640,Anton,Ambuehl,UNLV,78,280,75,1,OL,Fremont,CA,USA,37.5482697,-121.9885719,06001,73025
