ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
511688,Russell,Bellomy,UT San Antonio,75,No data,8,No data,QB,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,20443
536003,Trevor,Stevens,UT San Antonio,75,No data,87,No data,TE,Friendswood,TX,USA,29.5293998,-95.2010447,48167,22955
545356,JaBryce,Taylor,UT San Antonio,74,No data,83,No data,WR,Lufkin,TX,USA,31.3386242,-94.7288558,48005,25774
545356,JaBryce,Taylor,UT San Antonio,74,No data,83,No data,WR,Lufkin,TX,USA,31.3386242,-94.7288558,48005,54862
545729,Austin,Robinson,UT San Antonio,75,240,22,4,S,Houston,TX,USA,29.7589382,-95.3676974,48201,26426
545730,Aneas,Henricks,UT San Antonio,71,No data,6,No data,CB,Bastrop,TX,USA,30.1104947,-97.3152701,48021,26385
545731,Michael,Egwuagu,UT San Antonio,72,No data,8,No data,S,Pflugerville,TX,USA,30.4393696,-97.6200043,48453,27488
545732,N'Keal,Bailey,UT San Antonio,72,185,24,No data,CB,Frisco,TX,USA,33.1506744,-96.8236116,48085,27379
545734,Aron,Taylor,UT San Antonio,73,No data,17,No data,WR,San Antonio,TX,USA,29.4246002,-98.4951405,48029,26959
545736,Jarveon,Williams,UT San Antonio,69,No data,2,No data,RB,Converse,TX,USA,29.5180081,-98.3161241,48029,26962
545740,Justin,Chavez,UT San Antonio,70,No data,30,No data,S,Irving,TX,USA,32.8295183,-96.9442177,48113,27545
545741,Chase,Dahlquist,UT San Antonio,72,No data,33,No data,S,Tulsa,OK,USA,36.1556805,-95.9929113,40143,27523
545746,Marcos,Curry,UT San Antonio,72,220,9,No data,LB,Round Rock,TX,USA,30.508235,-97.6788934,48491,27502
545749,Kyle,McKinney,UT San Antonio,76,305,67,No data,G,Boerne,TX,USA,29.7946641,-98.7319703,48259,27490
3124038,Stanley,Dye Jr.,UT San Antonio,69,180,30,4,CB,Orange Park,FL,USA,30.1654707,-81.7016346,12019,30884
3124039,Blake,Bogenschutz,UT San Antonio,72,No data,4,No data,QB,Carthage,TX,USA,32.1570412,-94.338114,48365,30283
3124040,Greg,Campbell Jr.,UT San Antonio,73,190,10,4,WR,Humble,TX,USA,29.9988312,-95.2621553,48201,30941
3124041,Nate,Gaines,UT San Antonio,74,220,11,No data,S,Mesquite,TX,USA,32.7666103,-96.599472,48113,30302
3124042,Kerry,Thomas Jr.,UT San Antonio,72,205,7,No data,WR,College Station,TX,USA,30.5955289,-96.3071042,48041,30234
3124046,Jalen,Rhodes,UT San Antonio,69,200,5,4,RB,Rowlett,TX,USA,32.9029017,-96.56388,48113,26267
3124052,Kevin,Strong Jr.,UT San Antonio,76,295,54,4,DT,Cleveland,TX,USA,30.3417711,-95.0854786,48291,30865
3124058,Marcus,Davenport,UT San Antonio,79,255,93,No data,DE,San Antonio,TX,USA,29.4246002,-98.4951405,48029,30708
3914568,Corbin,White,UT San Antonio,70,No data,5,No data,RB,Nettleton,MS,USA,34.086599,-88.62599111135583,28095,55016
3914569,Jaylon,Henderson,UT San Antonio,73,210,9,4,QB,Kingwood,TX,USA,30.0497077,-95.1846301,48201,33425
3914569,Jaylon,Henderson,UT San Antonio,73,210,9,4,QB,Kingwood,TX,USA,30.0497077,-95.1846301,48201,56180
3914571,Matt,Guidry,UT San Antonio,68,175,89,3,WR,League City,TX,USA,29.5074538,-95.0949303,48167,33739
3914574,C.J.,Levine,UT San Antonio,70,190,14,4,S,Port Arthur,TX,USA,29.8988618,-93.9288723,48245,34159
3914576,Derrick,Dick,UT San Antonio,70,186,1,No data,WR,College Station,TX,USA,30.5955289,-96.3071042,48041,34150
3914577,Peyton,Hall,UT San Antonio,71,180,18,4,WR,San Antonio,TX,USA,29.4246002,-98.4951405,48029,33874
3914582,Brett,Winnegan,UT San Antonio,70,190,20,4,WR,Pearland,TX,USA,29.5639758,-95.2864299,48039,34084
3914585,Darryl,Godfrey,UT San Antonio,72,200,23,4,S,San Antonio,TX,USA,29.4246002,-98.4951405,48029,33712
3914587,Halen,Steward,UT San Antonio,71,240,34,4,RB,Saint Augustine,FL,USA,29.8946952,-81.3145395,12109,34744
3914590,Ben,Kane,UT San Antonio,74,No data,43,No data,DE,West Covina,CA,USA,34.0686208,-117.9389526,06037,54988
3914593,Kelby,Wickline,UT San Antonio,76,308,72,4,OL,Stillwater,OK,USA,36.1156306,-97.0585717,40119,31390
3914595,Josiah,Tauaefa,UT San Antonio,73,240,55,3,LB,Corinth,TX,USA,33.1540091,-97.0647322,48121,34554
3914601,Jonathan,Tuiolosega,UT San Antonio,74,No data,75,No data,DE,Seaside,CA,USA,36.62593,-121.8169383456945,06053,55045
