ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
517343,Hayden,Plinke,UTEP,76,No data,80,No data,TE,Hollsboro,OR,USA,No data,No data,No data,21172
531466,Cooper,Foster,UTEP,73,No data,44,No data,LB,Cedar Park,TX,USA,30.5217116,-97.827833,48491,24716
531468,Cole,Freytag,UTEP,73,No data,11,No data,WR,El Paso,TX,USA,31.7754152,-106.4646348,48141,21901
531470,Christian,Harper,UTEP,76,No data,66,No data,DL,Houston,TX,USA,29.7589382,-95.3676974,48201,24052
531472,Leon,Hayes,UTEP,70,No data,5,No data,DB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,24187
531475,Brian,Madunezim,UTEP,75,No data,97,No data,DL,Houston,TX,USA,29.7589382,-95.3676974,48201,24697
531483,Dashone,Smith,UTEP,73,No data,21,No data,DB,Spring,TX,USA,30.0798826,-95.4172549,48201,23415
535931,Kent,Taylor,UTEP,78,No data,18,No data,TE,Tampa,FL,USA,27.9477595,-82.458444,12057,22115
545819,Gino,Bresolin,UTEP,73,No data,63,No data,DL,Redmond,WA,USA,47.6694141,-122.1238767,53033,24516
545824,Devin,Cockrell,UTEP,72,200,27,No data,DB,Port Arthur,TX,USA,29.8988618,-93.9288723,48245,27856
545833,Aaron,Jones,UTEP,70,No data,29,No data,RB,El Paso,TX,USA,31.7754152,-106.4646348,48141,26519
545834,Darrin,Laufasa,UTEP,73,No data,30,No data,RB,Seattle,WA,USA,47.6038321,-122.3300624,53033,27289
546104,Mack,Leftwich,UTEP,70,No data,11,No data,QB,Wexford,PA,USA,40.6264561,-80.055891,42003,27629
546107,Brandon,Moss,UTEP,75,190,6,No data,WR,El Paso,TX,USA,31.7754152,-106.4646348,48141,24675
549848,Alvin,Jones,UTEP,71,230,16,No data,LB,El Paso,TX,USA,31.7754152,-106.4646348,48141,27715
550587,Zack,Greenlee,UTEP,74,205,8,No data,QB,Stockton,CA,USA,37.9577016,-121.2907796,06077,25351
3124698,Ryan,Metz,UTEP,75,210,12,4,QB,El Paso,TX,USA,31.7754152,-106.4646348,48141,27602
