ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
480950,Michael,Smith,Utah State,69,No data,20,No data,RB,Tucson,AZ,USA,32.2228765,-110.9748477,04019,52913
550535,Jaren,Colston-Green,Utah State,73,185,5,No data,WR,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,54930
550808,Braelon,Roberts,Utah State,75,200,88,No data,WR,Dallas,TX,USA,32.7762719,-96.7968559,48113,24281
3125353,Kent,Myers,Utah State,72,205,2,No data,QB,Rowlett,TX,USA,32.9029017,-96.56388,48113,29620
3125356,Jalen,Davis,Utah State,70,185,13,No data,CB,La Mesa,CA,USA,32.7678288,-117.0230839,06073,31295
3125360,Ian,Togiai,Utah State,74,280,19,No data,DE,West Valley City,UT,USA,40.696629,-111.9867271,49035,26512
3125365,Jontrell,Rocquemore,Utah State,73,210,3,4,S,McKinney,TX,USA,33.1976496,-96.6154471,48085,30726
3125366,Aaron,Wade,Utah State,73,210,4,4,S,Lithia,FL,USA,27.8651063,-82.2268749493648,12057,30985
3125368,Justen,Hervey,Utah State,70,215,34,4,RB,Beaumont,TX,USA,30.0860459,-94.1018461,48245,29951
3125373,Chase,Christiansen,Utah State,73,230,48,4,LB,Stansbury,UT,USA,40.6913355,-111.9716047,49035,31433
3125376,Adewale,Adeoye,Utah State,75,275,55,4,DE,St. Louis,MO,USA,38.6268039,-90.1994097,29510,31109
3125377,Gasetoto,Schuster,Utah State,72,295,56,4,?,Long Beach,CA,USA,33.7690164,-118.1916048,06037,30235
3139981,DJ,Nelson,Utah State,69,195,12,4,WR,Logan,UT,USA,41.7313447,-111.8348631,49005,23995
3918031,Chad,Artist,Utah State,74,190,14,3,WR,Logan,UT,USA,41.7313447,-111.8348631,49005,33824
3918032,Wesley,Bailey,Utah State,73,200,8,No data,CB,Huntsville,AL,USA,34.729847,-86.5859011,01089,54818
3918033,Dalton,Baker,Utah State,77,245,24,4,DE,Payson,UT,USA,40.0443989,-111.7321518,49049,34794
3918034,Gerold,Bright,Utah State,70,190,1,4,RB,Pensacola,FL,USA,30.421309,-87.2169149,12033,33482
3918035,Cameron,Haney,Utah State,70,185,6,4,CB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,32932
3918037,Mason,Tobeck,Utah State,74,230,46,3,LB,Puyallup,WA,USA,47.1849009,-122.2921406,53053,34671
3932963,Dax,Raymond,Utah State,77,245,87,No data,TE,Provo,UT,USA,40.2338438,-111.6585337,49049,27846
4036376,Alex,Byers,Utah State,74,185,7,No data,WR,Riverview,FL,USA,27.871197,-82.3269883,12057,55394
4036378,Jordan,Love,Utah State,76,225,10,3,QB,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,36766
4048678,Baron,Gajkowski,Utah State,73,200,15,2,S,Alpine,UT,USA,40.4532834,-111.7779865,49049,31306
4048683,Morian,Walker Jr.,Utah State,72,205,24,4,RB,San Jose,CA,USA,37.3361905,-121.8905833,06085,36685
4048685,Braxton,Gunther,Utah State,70,185,8,3,S,Woods Cross,UT,USA,40.8716964,-111.8925775,49011,36574
4048686,Kevin,Meitzenheimer,Utah State,72,235,33,4,LB,Moreno Valley,CA,USA,33.937517,-117.2305944,06065,36470
4048690,Justus,Te'i,Utah State,75,260,51,4,DL,Oceanside,CA,USA,33.1958696,-117.3794834,06073,37963
4048693,Ty,Shaw,Utah State,76,300,75,4,OL,South Jordan,UT,USA,40.5621704,-111.929658,49035,37552
4048701,Mohelika,Uasike,Utah State,73,305,66,3,?,Euless,TX,USA,32.8457865,-97.0667142473263,48439,29770
4259222,Tre,Miller,Utah State,72,210,20,2,RB,St. George,UT,USA,37.104153,-113.5841313,49053,36567
4259233,Nami,Tuitu'u,Utah State,74,280,54,2,DL,Mesa,AZ,USA,33.4151117,-111.8314773,04013,42528
4259240,Savon,Scarver,Utah State,71,180,11,4,WR,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,39861
4259242,Carson,Terrell,Utah State,77,240,88,4,TE,Lehi,UT,USA,40.3880902,-111.8491619,49049,39633
4292481,Daniel,Langi,Utah State,72,230,34,3,LB,South Jordan,UT,USA,40.5621704,-111.929658,49035,33415
4361606,Darwin,Thompson,Utah State,68,190,5,3,RB,Jenks,OK,USA,36.0228734,-95.9683278,40143,34997
4569987,Jaylen,Warren,Utah State,68,215,22,4,RB,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,41854
