ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
531024,Chase,Hansen,Utah,75,230,22,4,LB,Highland,UT,USA,40.4190328,-111.7921626,49049,22413
535584,Cody,Ippolito,Utah,70,250,57,No data,LB,Paradise Valley,AZ,USA,33.5428006,-111.9556001,04013,23950
546876,Troy,Williams,Utah,74,208,3,No data,QB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,25057
546876,Troy,Williams,Utah,74,208,3,No data,QB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,55164
547620,Kylie,Fitts,Utah,76,260,11,No data,DE,San Bernardino,CA,USA,34.1083449,-117.2897652,06071,25047
550220,Siale,Fakailoatonga,Utah,76,257,87,No data,TE,Salt Lake City ,UT,USA,40.7596198,-111.8867975,49035,25919
550221,Harrison,Handley,Utah,77,250,88,No data,TE,Draper,UT,USA,40.5246711,-111.8638226,49035,25854
550229,Filipo,Mokofisi,Utah,76,295,45,No data,DT,Woods Cross,UT,USA,40.8716964,-111.8925775,49011,26648
550236,Salesi,Uhatafe,Utah,77,320,74,No data,OL,Euless,TX,USA,32.8457865,-97.0667142473263,48439,26762
3122865,Jackson,Barton,Utah,79,308,70,4,OL,Salt Lake City ,UT,USA,40.7596198,-111.8867975,49035,28453
3122872,Casey,Hughes,Utah,71,187,35,4,DB,North Las Vegas,NV,USA,36.2005843,-115.1215844,32003,29760
3122874,Lowell,Lotulelei,Utah,74,320,93,No data,DT,South Jordan,UT,USA,40.5621704,-111.929658,49035,25348
3122877,Raelon,Singleton,Utah,75,215,10,4,WR,Crosby,TX,USA,29.9118885,-95.0621941,48201,28923
3122887,Kenric,Young,Utah,73,189,24,No data,DB,Gainesville,FL,USA,29.6519684,-82.3249846,12001,29223
3134343,Boobie,Hobbs,Utah,70,180,1,No data,DB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,29795
3912563,Philip,Afia,Utah,73,195,2,3,DB,Chino Hills,CA,USA,33.9926803,-117.760056,06071,32653
3912571,Kyle,Fulks,Utah,69,175,6,No data,WR,Katy,TX,USA,29.7857853,-95.8243956,48157,54798
3912572,Chris,Hart,Utah,74,225,8,3,LB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,32574
3912573,Darrin,Paulo,Utah,77,315,77,4,OL,Sacramento,CA,USA,38.5815719,-121.4943996,06067,32280
3912574,Caleb,Repp,Utah,77,225,87,4,DE,Rancho Cucamonga,CA,USA,34.1033192,-117.5751735,06071,33092
3926229,Cody,Barton,Utah,74,230,30,4,LB,Salt Lake City ,UT,USA,40.7596198,-111.8867975,49035,32689
3926231,Britain,Covey,Utah,68,172,18,3,WR,Provo,UT,USA,40.2338438,-111.6585337,49049,33495
4035660,Bradlee,Anae,Utah,75,265,6,4,DE,Laie,HI,USA,21.647244399999998,-157.93069756074482,15003,36533
4035661,Julian,Blackmon,Utah,73,204,23,4,DB,Layton,UT,USA,41.0751048,-111.9741925,49011,36113
4035663,Terrell,Burgess,Utah,72,198,26,4,DB,San Marcos,CA,USA,33.1433723,-117.1661449,06073,36215
4035666,Leki,Fotu,Utah,77,335,99,4,DT,West Valley City,UT,USA,40.696629,-111.9867271,49035,35753
4035668,Davir,Hamilton,Utah,74,240,9,2,DE,Compton,CA,USA,33.894927,-118.226624,06037,35787
4035670,Devonta'e,Henry-Cole,Utah,71,195,7,4,RB,Boca Raton,FL,USA,26.3586885,-80.0830984,12099,36694
4035671,Tyler,Huntley,Utah,73,205,1,4,QB,Dania,FL,USA,26.050783950000003,-80.14612392627231,12011,35743
4035672,Nygel,King,Utah,72,180,16,3,DB,Tomball,TX,USA,30.0971621,-95.6160549,48201,36336
4035676,Zack,Moss,Utah,70,222,2,4,RB,Hialeah Gardens,FL,USA,25.8906709,-80.36417428815967,12086,36272
4035680,Demari,Simpkins,Utah,70,187,3,4,WR,Carol City,FL,USA,25.9406488,-80.2456045,12086,36069
4035681,Donavan,Thompson,Utah,70,219,3,3,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,36820
4035683,Maxs,Tupai,Utah,73,265,92,4,DE,Taylorsville,UT,USA,40.6677096,-111.9385867,49035,35474
4035685,Mitch,Wishnowsky,Utah,74,220,33,4,P,Perth,,Australia,No data,No data,No data,55393
4048089,Bapa,Falemaka,Utah,75,259,88,3,TE,Grantsville,UT,USA,40.6000817,-112.4635316,49045,67530
4048099,Samson,Nacua,Utah,75,195,45,4,WR,Provo,UT,USA,40.2338438,-111.6585337,49049,36028
4243244,Marquise,Blair,Utah,74,195,13,4,DB,Wooster,OH,USA,40.7991766,-81.9383187,39169,32372
4243248,Nick,Ford,Utah,77,315,55,3,OL,San Pedro,CA,USA,33.7358518,-118.2922934,06037,40123
4243250,Javelin,Guidry,Utah,69,193,28,3,DB,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,39103
4243251,Tyquez,Hampton,Utah,74,207,5,No data,WR,El Paso,TX,USA,31.7754152,-106.4646348,48141,39019
4243253,Jaylon,Johnson,Utah,72,195,1,3,DB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,38710
4243254,Chayden,Johnston,Utah,73,160,12,2,PK,South Jordan,UT,USA,40.5621704,-111.929658,49035,33431
4243257,John,Penisini,Utah,74,333,52,4,DT,West Jordan,UT,USA,40.6096698,-111.9391031,49035,55670
