ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
529570,Nehemiah,Mitchell,Vanderbilt,76,No data,44,No data,DL,Hayward,CA,USA,37.6688205,-122.0807964,06001,54778
531976,Torey,Agee,Vanderbilt,76,No data,94,No data,DL,Opelika,AL,USA,32.72667,-85.39249304591837,01081,23152
531984,Adam,Butler,Vanderbilt,77,No data,69,No data,DL,Duncanville,TX,USA,32.6518004,-96.9083366,48113,22624
531998,Torren,McGaster,Vanderbilt,72,No data,5,No data,CB,Daphne,AL,USA,30.6035255,-87.9036047,01003,22931
532003,Ja'karri,Thomas,Vanderbilt,73,No data,40,No data,ILB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,23215
546182,Sean,Dowling,Vanderbilt,77,No data,89,No data,TE,Fallbrook,CA,USA,33.3764196,-117.2511466,06073,25536
549965,Jalen,Banks,Vanderbilt,71,No data,24,No data,S,Markham,IL,USA,41.5936453,-87.6947699,17031,25533
549967,Nigel,Bowden,Vanderbilt,73,No data,52,No data,ILB,Macon,GA,USA,32.8406946,-83.6324022,13021,25365
549968,Oren,Burks,Vanderbilt,75,230,20,No data,LB,Fairfax Station,VA,USA,38.800859,-77.3256803,51059,25576
549972,Zach,Cunningham,Vanderbilt,76,No data,41,No data,ILB,Pinson,AL,USA,33.706205,-86.67007895992774,01073,25225
549973,C.J.,Duncan,Vanderbilt,71,203,19,No data,WR,Montgomery,AL,USA,32.3669656,-86.3006485,01101,26772
549974,Taurean,Ferguson,Vanderbilt,69,190,3,No data,CB,Jonesboro,GA,USA,33.5215013,-84.3538128,13063,25771
549975,Nathan,Marcus,Vanderbilt,77,242,83,No data,TE,Glen Ellyn,IL,USA,41.8775293,-88.0670118,17043,25819
549977,Tommy,Openshaw,Vanderbilt,74,200,17,No data,PK,Jacksonville,FL,USA,30.3321838,-81.655651,12031,27759
549980,Latevius,Rayford,Vanderbilt,73,No data,86,No data,WR,Memphis,TN,USA,35.1490215,-90.0516285,47157,25610
549981,Darrius,Sims,Vanderbilt,69,No data,6,No data,WR,Memphis,TN,USA,35.1490215,-90.0516285,47157,25563
549982,Landon,Stokes,Vanderbilt,76,No data,99,No data,OLB,Orlando,FL,USA,28.5421109,-81.3790304,12095,25437
549984,Ralph,Webb,Vanderbilt,70,202,7,No data,RB,Gainesville,FL,USA,29.6519684,-82.3249846,12001,26213
549985,Ryan,White,Vanderbilt,70,190,14,No data,S,Louisville,KY,USA,38.2542376,-85.759407,21111,25277
549987,Jay,Woods,Vanderbilt,75,285,74,No data,DL,Jackson,GA,USA,33.2945651,-83.9660209,13035,25240
549988,Jonathan,Wynn,Vanderbilt,77,265,49,No data,DL,Stone Mountain,GA,USA,33.8080924,-84.1706273,13089,25562
3118891,Louis,Vecchio,Vanderbilt,77,258,29,4,DL,Orange,CA,USA,33.7872568,-117.8503088,06059,29426
3122154,Khari,Blasingame,Vanderbilt,73,235,23,4,RB,New Market,AL,USA,34.895672000000005,-86.41498977939412,01089,29644
3122157,Wade,Freebeck,Vanderbilt,77,No data,12,No data,QB,Davie,FL,USA,26.075729,-80.28410897530864,12011,29348
3122160,Tre,Herndon,Vanderbilt,73,188,31,No data,CB,Chattanooga,TN,USA,35.0457219,-85.3094883,47065,29246
3122161,Nifae,Lealao,Vanderbilt,77,312,77,No data,DL,Sacramento,CA,USA,38.5815719,-121.4943996,06067,28311
3122162,Bryce,Lewis,Vanderbilt,73,185,30,No data,CB,Lilburn,GA,USA,33.8901036,-84.1429719,13135,28943
3122165,Bruno,Reagan,Vanderbilt,75,315,61,4,OL,Clarksville,TN,USA,36.5277607,-87.3588703,47125,29124
3122166,Dallas,Rivers,Vanderbilt,73,225,28,No data,RB,Stone Mountain,GA,USA,33.8080924,-84.1706273,13089,28719
3122167,Caleb,Scott,Vanderbilt,74,202,9,No data,WR,Suwanee,GA,USA,34.0514898,-84.0712997,13135,29166
3122168,Trent,Sherfield,Vanderbilt,73,205,10,No data,WR,Danville,IL,USA,40.125222,-87.6304614,17183,28749
3122169,Emmanuel,Smith,Vanderbilt,74,240,4,No data,LB,Murfreesboro,TN,USA,35.845999,-86.3920452,47149,28513
3122170,Shawn,Stankavage,Vanderbilt,74,201,3,4,QB,Durham,NC,USA,35.996653,-78.9018053,37063,29672
3122174,Charles,Wright,Vanderbilt,75,240,11,4,LB,Irvine,CA,USA,33.6856969,-117.8259819,06059,30367
