ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
511428,Kevin,Asante,Virginia Tech,72,No data,81,No data,WR,Charlotte,NC,USA,35.2272,-80.843083,37119,21217
515565,Demitri,Knowles,Virginia Tech,73,No data,80,No data,?,Freeport,BS,Bahamas,No data,No data,No data,20599
515567,Ryan,Malleck,Virginia Tech,77,No data,88,No data,TE,Point Pleasant,NJ,USA,40.0831714,-74.0681931,34029,20573
530325,Nigel,Williams,Virginia Tech,74,No data,8,No data,DT,Richmond,VA,USA,37.5385087,-77.43428,51760,22646
530326,Jerome,Wright,Virginia Tech,74,238,25,No data,FB,Richmond,VA,USA,37.5385087,-77.43428,51760,57357
530522,J.C.,Coleman,Virginia Tech,66,No data,4,No data,?,Chesapeake,VA,USA,36.7183708,-76.2466798,51550,22286
530526,Woody,Baron,Virginia Tech,74,No data,60,No data,DT,Nashville,TN,USA,36.1622296,-86.7743531,47037,22652
530527,Joel,Caleb,Virginia Tech,74,No data,15,No data,WR,Midlothian,VA,USA,37.5062673,-77.649268,51041,22153
530528,Deon,Clarke,Virginia Tech,73,No data,40,No data,LB,Richmond,VA,USA,37.5385087,-77.43428,51760,22429
530529,Augie,Conte,Virginia Tech,78,No data,72,No data,OL,Richmond,VA,USA,37.5385087,-77.43428,51760,23047
530530,Seth,Dooley,Virginia Tech,77,No data,43,No data,DE,Salem,VA,USA,37.293378,-80.054667,51775,23397
530531,Trey,Edmunds,Virginia Tech,74,No data,9,No data,?,Danville,VA,USA,36.5859718,-79.3950228,51590,22388
530532,Ken,Ekanem,Virginia Tech,75,No data,4,No data,DE,Centreville,VA,USA,38.8403909,-77.4288769,51059,22227
530533,Desmond,Frye,Virginia Tech,74,No data,14,No data,?,Chester,VA,USA,37.3569086,-77.4421818,51041,22771
530534,Der'Woun,Greene,Virginia Tech,70,No data,23,No data,?,Portsmouth,VA,USA,36.8354258,-76.2982742,51740,22510
530541,Brenden,Motley,Virginia Tech,76,No data,9,No data,QB,Christiansburg,VA,USA,37.1298517,-80.4089389,51121,22869
530542,Donovan,Riley,Virginia Tech,71,No data,2,No data,CB,Baltimore,MD,USA,39.2908816,-76.610759,24510,23360
535631,Charley,Meyer,Virginia Tech,72,No data,83,No data,WR,Richmond,VA,USA,37.5385087,-77.43428,51760,24852
547014,Brandon,Facyson,Virginia Tech,74,197,31,No data,CB,Newnan,GA,USA,33.3806716,-84.7996573,13077,25390
547015,Parker,Osterloh,Virginia Tech,80,326,67,No data,OT,Williamsburg,VA,USA,37.2708788,-76.7074042,51830,25867
