ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3914537,Miles,Fox,Wake Forest,73,286,11,4,DL,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,33257
4036232,Terrance,Davis,Wake Forest,75,325,75,4,OL,Temple Hills,MD,USA,38.8140024,-76.9455296,24033,35256
4037215,Traveon,Redd,Wake Forest,72,205,17,4,DB,Martinsville,VA,USA,36.6915262,-79.8725386,51690,36058
4037217,Brandon,Chapman,Wake Forest,77,249,23,4,TE,Grove City,OH,USA,39.8814519,-83.0929645,39049,36167
4037228,Taleni,Suhren,Wake Forest,76,297,60,4,OL,Charlotte,NC,USA,35.2272,-80.843083,37119,35774
4037229,Je'Vionte',Nash,Wake Forest,75,298,53,4,OL,Orange Park,FL,USA,30.1654707,-81.7016346,12019,36455
4037236,Sulaiman,Kamara,Wake Forest,74,300,1,4,DL,Richmond,VA,USA,37.5385087,-77.43428,51760,35577
4037239,Carlos,Basham Jr.,Wake Forest,77,285,9,4,DL,Roanoke,VA,USA,37.270973,-79.9414313,51770,36816
4044454,Donald,Stewart,Wake Forest,76,206,2,4,WR,Hillside,NJ,USA,40.701213,-74.2301459,34039,35866
4240421,Spencer,Clapp,Wake Forest,78,295,52,3,OL,Gibsonville,NC,USA,36.09791955,-79.54583336494393,37081,41281
4240422,Coby,Davis,Wake Forest,71,195,20,3,DB,Upper Marlboro,MD,USA,38.8165274,-76.7519753,24033,40187
4240423,Tyriq,Hardimon,Wake Forest,72,194,No data,3,DB,Marietta,GA,USA,33.9528472,-84.5496148,13067,39514
4240425,Sean,Maginn,Wake Forest,75,305,79,3,OL,Suwanee,GA,USA,34.0514898,-84.0712997,13135,40888
4240426,Chase,Monroe,Wake Forest,74,228,58,3,LB,Huntersville,NC,USA,35.410845,-80.8429094,37119,39505
4240427,Loic,Ngassam Nya,Wake Forest,75,305,59,3,OL,Silver Spring,MD,USA,38.9959461,-77.0276231,24031,41024
4240428,Allan,Rappleyea,Wake Forest,77,295,76,3,OL,Millbrook,NY,USA,41.7865038,-73.6921867,36027,40226
4240429,Jaquarii,Roberson,Wake Forest,73,182,5,3,WR,Murfreesboro,NC,USA,36.4423754,-77.0985753,37091,40022
4240432,Sage,Surratt,Wake Forest,75,215,14,3,WR,Lincolnton,NC,USA,35.473745,-81.2545251,37109,39815
4240434,Ja'Sir,Taylor,Wake Forest,70,187,6,4,DB,Asbury Park,NJ,USA,40.2203907,-74.0120817,34025,40528
4240435,Zach,Tom,Wake Forest,77,305,50,3,OL,Prairieville,LA,USA,30.3029721,-90.9720451,01065,40222
