ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3886621,Ty,Storey,Western Kentucky,74,225,4,4,QB,Charleston,AR,USA,38.3505995,-81.6332812,54039,32081
3915243,Eli,Brown,Western Kentucky,74,220,32,4,LB,Bowing Green,KY,USA,No data,No data,No data,32133
3915800,Parker,Howell,Western Kentucky,76,290,68,4,OL,Nashville,TN,USA,36.1622296,-86.7743531,47037,33864
3915802,Lucky,Jackson,Western Kentucky,73,185,11,4,WR,Lexington,KY,USA,38.0464066,-84.4970393,21067,34787
3915803,Quin,Jernighan,Western Kentucky,75,210,16,4,WR,LaVERGNE,TN,USA,41.8361431,-87.782001,17031,33238
3932148,Miles,Pate,Western Kentucky,74,315,63,4,OL,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,34013
4036002,Malik,Staples,Western Kentucky,73,225,24,4,LB,Suwanee,GA,USA,34.0514898,-84.0712997,13135,36315
4037555,Jeremy,Darvin,Western Kentucky,73,295,No data,4,DT,Nashville,TN,USA,36.1622296,-86.7743531,47037,36169
4037556,Steven,Duncan,Western Kentucky,76,230,10,3,QB,Charleston,SC,USA,32.7876012,-79.9402728,45019,37631
4037557,Kyle,Fourtenbary,Western Kentucky,76,245,42,3,TE,Opelika,AL,USA,32.72667,-85.39249304591837,01081,37361
4037558,Seth,Joest,Western Kentucky,75,295,67,4,OL,Versailles,KY,USA,38.052576,-84.7299464,21239,37328
4037559,Devon,Key,Western Kentucky,73,210,2,4,DB,Lexington,KY,USA,38.0464066,-84.4970393,21067,37530
4037560,Xavier,Lane,Western Kentucky,76,205,9,4,WR,Montgomery,AL,USA,32.3669656,-86.3006485,01101,36191
4037561,Jalen,Madden,Western Kentucky,73,310,99,4,DT,Tuscaloosa,AL,USA,33.2095614,-87.5675258,01125,37153
4037564,Jahcour,Pearson,Western Kentucky,69,180,80,4,WR,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,37038
4037568,Gaej,Walker,Western Kentucky,72,195,5,4,RB,Tampa,FL,USA,27.9477595,-82.458444,12057,38014
4037569,Devon,Wharton,Western Kentucky,75,220,20,4,DE,Hopkinsville,KY,USA,36.8657651,-87.4889532,21047,34091
4037570,Tyler,Witt,Western Kentucky,74,305,78,4,OL,Joliet,IL,USA,41.5263603,-88.0840212,17197,37000
4047708,Trae,Meadows,Western Kentucky,73,190,7,4,DB,Greensboro,NC,USA,36.0726355,-79.7919754,37081,32500
4047708,Trae,Meadows,Western Kentucky,73,190,7,4,DB,Greensboro,NC,USA,36.0726355,-79.7919754,37081,56828
4076803,Jordan,Meredith,Western Kentucky,75,300,61,4,OL,Bowling Green,KY,USA,36.9903199,-86.4436018,21227,41635
4243455,Jacquez,Sloan,Western Kentucky,69,165,2,4,WR,Atlanta,GA,USA,33.7490987,-84.3901849,13121,41646
4243456,Davis,Shanley,Western Kentucky,73,205,12,3,QB,Duluth,GA,USA,34.0028569,-84.1441046,13135,41216
4243457,DeAngelo,Malone,Western Kentucky,76,230,10,4,DE,Atlanta,GA,USA,33.7490987,-84.3901849,13121,41603
4243459,Jakairi,Moses,Western Kentucky,69,190,3,3,RB,Palm Beach,FL,USA,26.7056172,-80.0361517,12099,41381
